date,TAL_adj_close,TAL_cashflow,TAL_cml_units,TAL_cml_cost,TAL_gain_loss,TAL_avg_price,TAL_mktvalue
2019-01-01,0.0,-4989.16,192.308,4989.16,0.0,25.944,0.0
2019-01-02,25.99,-4989.16,192.308,4989.16,0.0,25.944,4998.077
2019-01-03,24.73,-4989.16,192.308,4989.16,0.0,25.944,4755.769
2019-01-04,26.52,-4989.16,192.308,4989.16,0.0,25.944,5100.0
2019-01-07,26.86,-4989.16,192.308,4989.16,0.0,25.944,5165.385
2019-01-08,27.46,-4989.16,192.308,4989.16,0.0,25.944,5280.769
2019-01-09,28.95,-4989.16,192.308,4989.16,0.0,25.944,5567.308
2019-01-10,29.02,-4989.16,192.308,4989.16,0.0,25.944,5580.769
2019-01-11,29.23,-4989.16,192.308,4989.16,0.0,25.944,5621.154
2019-01-14,29.21,-4989.16,192.308,4989.16,0.0,25.944,5617.308
2019-01-15,30.26,-4989.16,192.308,4989.16,0.0,25.944,5819.231
2019-01-16,29.97,-4989.16,192.308,4989.16,0.0,25.944,5763.461
2019-01-17,29.76,-4989.16,192.308,4989.16,0.0,25.944,5723.077
2019-01-18,30.19,-4989.16,192.308,4989.16,0.0,25.944,5805.769
2019-01-22,31.2,-4989.16,192.308,4989.16,0.0,25.944,6000.0
2019-01-23,31.22,-4989.16,192.308,4989.16,0.0,25.944,6003.846
2019-01-24,29.81,-4989.16,192.308,4989.16,0.0,25.944,5732.692
2019-01-25,30.6,-4989.16,192.308,4989.16,0.0,25.944,5884.615
2019-01-28,29.93,-4989.16,192.308,4989.16,0.0,25.944,5755.769
2019-01-29,30.54,-4989.16,192.308,4989.16,0.0,25.944,5873.077
2019-01-30,30.21,-4989.16,192.308,4989.16,0.0,25.944,5809.615
2019-01-31,31.03,-4989.16,192.308,4989.16,0.0,25.944,5967.308
2019-02-01,31.06,-4989.16,192.308,4989.16,0.0,25.944,5973.077
2019-02-04,31.26,-4989.16,192.308,4989.16,0.0,25.944,6011.539
2019-02-05,31.7,-4989.16,192.308,4989.16,0.0,25.944,6096.154
2019-02-06,31.84,-4989.16,192.308,4989.16,0.0,25.944,6123.077
2019-02-07,30.9,-4989.16,192.308,4989.16,0.0,25.944,5942.308
2019-02-08,31.68,-4989.16,192.308,4989.16,0.0,25.944,6092.308
2019-02-11,32.92,-4989.16,192.308,4989.16,0.0,25.944,6330.769
2019-02-12,32.91,-4989.16,192.308,4989.16,0.0,25.944,6328.846
2019-02-13,33.29,-4989.16,192.308,4989.16,0.0,25.944,6401.923
2019-02-14,32.74,-4989.16,192.308,4989.16,0.0,25.944,6296.154
2019-02-15,32.58,-4989.16,192.308,4989.16,0.0,25.944,6265.385
2019-02-19,31.95,-4989.16,192.308,4989.16,0.0,25.944,6144.231
2019-02-20,32.57,-4989.16,192.308,4989.16,0.0,25.944,6263.461
2019-02-21,32.88,-4989.16,192.308,4989.16,0.0,25.944,6323.077
2019-02-22,33.97,-4989.16,192.308,4989.16,0.0,25.944,6532.693
2019-02-25,35.53,-4989.16,192.308,4989.16,0.0,25.944,6832.692
2019-02-26,35.43,-4989.16,192.308,4989.16,0.0,25.944,6813.462
2019-02-27,35.52,-4989.16,192.308,4989.16,0.0,25.944,6830.769
2019-02-28,35.6,-4989.16,192.308,4989.16,0.0,25.944,6846.154
2019-03-01,35.5,-4989.16,192.308,4989.16,0.0,25.944,6826.923
2019-03-04,36.3,-4989.16,192.308,4989.16,0.0,25.944,6980.769
2019-03-05,36.06,-4989.16,192.308,4989.16,0.0,25.944,6934.616
2019-03-06,35.55,-4989.16,192.308,4989.16,0.0,25.944,6836.538
2019-03-07,34.64,-4989.16,192.308,4989.16,0.0,25.944,6661.538
2019-03-08,34.75,-4989.16,192.308,4989.16,0.0,25.944,6682.692
2019-03-11,36.06,-4989.16,192.308,4989.16,0.0,25.944,6934.616
2019-03-12,33.68,-4989.16,192.308,4989.16,0.0,25.944,6476.923
2019-03-13,34.19,-4989.16,192.308,4989.16,0.0,25.944,6575.0
2019-03-14,32.99,-4989.16,192.308,4989.16,0.0,25.944,6344.231
2019-03-15,34.03,-4989.16,192.308,4989.16,0.0,25.944,6544.231
2019-03-18,34.5,-4989.16,192.308,4989.16,0.0,25.944,6634.615
2019-03-19,35.51,-4989.16,192.308,4989.16,0.0,25.944,6828.846
2019-03-20,36.21,-4989.16,192.308,4989.16,0.0,25.944,6963.461
2019-03-21,35.66,-4989.16,192.308,4989.16,0.0,25.944,6857.692
2019-03-22,34.82,-4989.16,192.308,4989.16,0.0,25.944,6696.154
2019-03-25,35.82,-4989.16,192.308,4989.16,0.0,25.944,6888.461
2019-03-26,35.99,-4989.16,192.308,4989.16,0.0,25.944,6921.154
2019-03-27,35.53,-4989.16,192.308,4989.16,0.0,25.944,6832.692
2019-03-28,35.72,-4989.16,192.308,4989.16,0.0,25.944,6869.231
2019-03-29,36.08,-4989.16,192.308,4989.16,0.0,25.944,6938.462
2019-04-01,36.03,-4989.16,192.308,4989.16,0.0,25.944,6928.846
2019-04-02,36.37,-4989.16,192.308,4989.16,0.0,25.944,6994.231
2019-04-03,36.71,-4989.16,192.308,4989.16,0.0,25.944,7059.615
2019-04-04,37.2,-4989.16,192.308,4989.16,0.0,25.944,7153.846
2019-04-05,36.97,-4989.16,192.308,4989.16,0.0,25.944,7109.616
2019-04-08,36.66,-4989.16,192.308,4989.16,0.0,25.944,7050.0
2019-04-09,36.92,-4989.16,192.308,4989.16,0.0,25.944,7100.0
2019-04-10,36.84,-4989.16,192.308,4989.16,0.0,25.944,7084.615
