date,AAPL_adj_close,AAPL_cashflow,AAPL_cml_units,AAPL_cml_cost,AAPL_gain_loss,AAPL_avg_price,AAPL_mktvalue,GOOGL_adj_close,GOOGL_cashflow,GOOGL_cml_units,GOOGL_cml_cost,GOOGL_gain_loss,GOOGL_avg_price,GOOGL_mktvalue
2019-01-01,0.0,-453.84,3.0,453.84,101.932,151.28,0.0,0.0,-8931.12,3.0,8931.12,883.29,2977.04,0.0
2019-01-02,38.326,-453.84,3.0,453.84,101.932,151.28,114.979,1054.68,-8931.12,3.0,8931.12,883.29,2977.04,3164.04
2019-01-03,34.509,-453.84,3.0,453.84,101.932,151.28,103.526,1025.47,-8931.12,3.0,8931.12,883.29,2977.04,3076.41
2019-01-04,35.982,-453.84,3.0,453.84,101.932,151.28,107.946,1078.07,-8931.12,3.0,8931.12,883.29,2977.04,3234.21
2019-01-07,35.902,-453.84,3.0,453.84,101.932,151.28,107.705,1075.92,-8931.12,3.0,8931.12,883.29,2977.04,3227.76
2019-01-08,36.586,-453.84,3.0,453.84,101.932,151.28,109.759,1085.37,-8931.12,3.0,8931.12,883.29,2977.04,3256.11
2019-01-09,37.207,-453.84,3.0,453.84,101.932,151.28,111.622,1081.65,-8931.12,3.0,8931.12,883.29,2977.04,3244.95
2019-01-10,37.326,-453.84,3.0,453.84,101.932,151.28,111.979,1078.83,-8931.12,3.0,8931.12,883.29,2977.04,3236.49
2019-01-11,36.96,-453.84,3.0,453.84,101.932,151.28,110.88,1064.47,-8931.12,3.0,8931.12,883.29,2977.04,3193.41
2019-01-14,36.404,-453.84,3.0,453.84,101.932,151.28,109.212,1051.51,-8931.12,3.0,8931.12,883.29,2977.04,3154.53
2019-01-15,37.149,-453.84,3.0,453.84,101.932,151.28,111.448,1086.51,-8931.12,3.0,8931.12,883.29,2977.04,3259.53
2019-01-16,37.603,-453.84,3.0,453.84,101.932,151.28,112.809,1089.51,-8931.12,3.0,8931.12,883.29,2977.04,3268.53
2019-01-17,37.826,-453.84,3.0,453.84,101.932,151.28,113.479,1099.12,-8931.12,3.0,8931.12,883.29,2977.04,3297.36
2019-01-18,38.059,-453.84,3.0,453.84,101.932,151.28,114.178,1107.3,-8931.12,3.0,8931.12,883.29,2977.04,3321.9
2019-01-22,37.205,-453.84,3.0,453.84,101.932,151.28,111.615,1078.63,-8931.12,3.0,8931.12,883.29,2977.04,3235.89
2019-01-23,37.356,-453.84,3.0,453.84,101.932,151.28,112.067,1084.41,-8931.12,3.0,8931.12,883.29,2977.04,3253.23
2019-01-24,37.059,-453.84,3.0,453.84,101.932,151.28,111.178,1084.0,-8931.12,3.0,8931.12,883.29,2977.04,3252.0
2019-01-25,38.287,-453.84,3.0,453.84,101.932,151.28,114.862,1101.51,-8931.12,3.0,8931.12,883.29,2977.04,3304.53
2019-01-28,37.933,-453.84,3.0,453.84,101.932,151.28,113.799,1079.86,-8931.12,3.0,8931.12,883.29,2977.04,3239.58
2019-01-29,37.54,-453.84,3.0,453.84,101.932,151.28,112.62,1070.06,-8931.12,3.0,8931.12,883.29,2977.04,3210.18
2019-01-30,40.105,-453.84,3.0,453.84,101.932,151.28,120.316,1097.99,-8931.12,3.0,8931.12,883.29,2977.04,3293.97
2019-01-31,40.394,-453.84,3.0,453.84,101.932,151.28,121.182,1125.89,-8931.12,3.0,8931.12,883.29,2977.04,3377.67
2019-02-01,40.413,-453.84,3.0,453.84,101.932,151.28,121.24,1118.62,-8931.12,3.0,8931.12,883.29,2977.04,3355.86
2019-02-04,41.561,-453.84,3.0,453.84,101.932,151.28,124.684,1141.42,-8931.12,3.0,8931.12,883.29,2977.04,3424.26
2019-02-05,42.273,-453.84,3.0,453.84,101.932,151.28,126.818,1151.87,-8931.12,3.0,8931.12,883.29,2977.04,3455.61
