date,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue
2020-01-17,8.038,-4998.685,625.0,4998.685,0.0,7.998,5023.987,52.875,-4954.851,96.154,4954.851,0.0,51.53,5084.109
2020-01-21,7.964,-4998.685,625.0,4998.685,0.0,7.998,4977.682,52.153,-4954.851,96.154,4954.851,0.0,51.53,5014.729
2020-01-22,8.085,-4998.685,625.0,4998.685,0.0,7.998,5052.925,52.557,-4954.851,96.154,4954.851,0.0,51.53,5053.582
2020-01-23,8.029,-4998.685,625.0,4998.685,0.0,7.998,5018.197,52.067,-4954.851,96.154,4954.851,0.0,51.53,5006.404
2020-01-24,7.918,-4998.685,625.0,4998.685,0.0,7.998,4948.741,51.98,-4954.851,96.154,4954.851,0.0,51.53,4998.078
2020-01-27,7.705,-4998.685,625.0,4998.685,0.0,7.998,4815.617,50.652,-4954.851,96.154,4954.851,0.0,51.53,4870.421
2020-01-28,7.825,-4998.685,625.0,4998.685,0.0,7.998,4890.861,51.393,-4954.851,96.154,4954.851,0.0,51.53,4941.65
2020-01-29,7.825,-4998.685,625.0,4998.685,0.0,7.998,4890.861,51.374,-4954.851,96.154,4954.851,0.0,51.53,4939.8
2020-01-30,7.872,-4998.685,625.0,4998.685,0.0,7.998,4919.904,51.287,-4954.851,96.154,4954.851,0.0,51.53,4931.474
2020-01-31,7.853,-4998.685,625.0,4998.685,0.0,7.998,4908.288,50.479,-4954.851,96.154,4954.851,0.0,51.53,4853.77
2020-02-03,7.872,-4998.685,625.0,4998.685,0.0,7.998,4919.904,50.989,-4954.851,96.154,4954.851,0.0,51.53,4902.798
2020-02-04,8.002,-4998.685,625.0,4998.685,0.0,7.998,5001.225,52.538,-4954.851,96.154,4954.851,0.0,51.53,5051.732
2020-02-05,8.067,-4998.685,625.0,4998.685,0.0,7.998,5041.886,52.846,-4954.851,96.154,4954.851,0.0,51.53,5081.334
2020-02-06,8.048,-4998.685,625.0,4998.685,0.0,7.998,5030.268,53.385,-4954.851,96.154,4954.851,0.0,51.53,5133.137
2020-02-07,7.946,-4998.685,625.0,4998.685,0.0,7.998,4966.373,53.298,-4954.851,96.154,4954.851,0.0,51.53,5124.811
2020-02-10,7.89,-4998.685,625.0,4998.685,0.0,7.998,4931.521,52.971,-4954.851,96.154,4954.851,0.0,51.53,5093.359
2020-02-11,7.946,-4998.685,625.0,4998.685,0.0,7.998,4966.373,52.49,-4954.851,96.154,4954.851,0.0,51.53,5047.106
2020-02-12,8.021,-4998.685,625.0,4998.685,0.0,7.998,5012.842,52.875,-4954.851,96.154,4954.851,0.0,51.53,5084.109
2020-02-13,8.076,-4998.685,625.0,4998.685,0.0,7.998,5047.694,52.865,-4954.851,96.154,4954.851,0.0,51.53,5083.184
2020-02-14,8.067,-4998.685,625.0,4998.685,0.0,7.998,5041.886,52.721,-4954.851,96.154,4954.851,0.0,51.53,5069.308
2020-02-18,8.132,-4998.685,625.0,4998.685,0.0,7.998,5082.545,52.461,-4954.851,96.154,4954.851,0.0,51.53,5044.331
2020-02-19,8.197,-4998.685,625.0,4998.685,0.0,7.998,5123.206,53.231,-4954.851,96.154,4954.851,0.0,51.53,5118.336
2020-02-20,8.113,-4998.685,625.0,4998.685,0.0,7.998,5070.928,52.336,-4954.851,96.154,4954.851,0.0,51.53,5032.306
2020-02-21,8.086,-4998.685,625.0,4998.685,0.0,7.998,5053.502,48.305,-4954.851,96.154,4954.851,0.0,51.53,4644.707
2020-02-24,8.011,-4998.685,625.0,4998.685,0.0,7.998,5007.033,46.583,-4954.851,96.154,4954.851,0.0,51.53,4479.122
2020-02-25,8.002,-4998.685,625.0,4998.685,0.0,7.998,5001.225,47.122,-4954.851,96.154,4954.851,0.0,51.53,4530.925
2020-02-26,7.844,-4998.685,625.0,4998.685,0.0,7.998,4902.478,47.074,-4954.851,96.154,4954.851,0.0,51.53,4526.3
