date,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue
2020-01-01,0.0,-24916.27,104.167,4972.84,0.0,47.739,0.0
2020-01-02,40.87,-24916.27,104.167,4972.84,0.0,47.739,4257.292
2020-01-03,40.43,-24916.27,104.167,4972.84,0.0,47.739,4211.458
2020-01-06,40.22,-24916.27,104.167,4972.84,0.0,47.739,4189.583
2020-01-07,40.19,-24916.27,104.167,4972.84,0.0,47.739,4186.458
2020-01-08,39.93,-24916.27,104.167,4972.84,0.0,47.739,4159.375
2020-01-09,39.99,-24916.27,104.167,4972.84,0.0,47.739,4165.625
2020-01-10,39.82,-24916.27,104.167,4972.84,0.0,47.739,4147.917
2020-01-13,40.22,-24916.27,104.167,4972.84,0.0,47.739,4189.583
2020-01-14,40.8,-24916.27,104.167,4972.84,0.0,47.739,4250.0
2020-01-15,40.93,-24916.27,104.167,4972.84,0.0,47.739,4263.542
2020-01-16,41.12,-24916.27,104.167,4972.84,0.0,47.739,4283.333
2020-01-17,41.02,-24916.27,104.167,4972.84,0.0,47.739,4272.917
2020-01-21,40.13,-24916.27,104.167,4972.84,0.0,47.739,4180.208
2020-01-22,40.58,-24916.27,104.167,4972.84,0.0,47.739,4227.084
2020-01-23,39.74,-24916.27,104.167,4972.84,0.0,47.739,4139.584
2020-01-24,39.74,-24916.27,104.167,4972.84,0.0,47.739,4139.584
2020-01-27,38.99,-24916.27,104.167,4972.84,0.0,47.739,4061.459
2020-01-28,38.48,-24916.27,104.167,4972.84,0.0,47.739,4008.333
2020-01-29,37.68,-24916.27,104.167,4972.84,0.0,47.739,3925.0
2020-01-30,37.45,-24916.27,104.167,4972.84,0.0,47.739,3901.042
2020-01-31,36.53,-24916.27,104.167,4972.84,0.0,47.739,3805.208
2020-02-03,36.92,-24916.27,104.167,4972.84,0.0,47.739,3845.833
2020-02-04,36.95,-24916.27,104.167,4972.84,0.0,47.739,3848.958
2020-02-05,37.65,-24916.27,104.167,4972.84,0.0,47.739,3921.875
2020-02-06,37.55,-24916.27,104.167,4972.84,0.0,47.739,3911.458
2020-02-07,37.03,-24916.27,104.167,4972.84,0.0,47.739,3857.292
2020-02-10,36.46,-24916.27,104.167,4972.84,0.0,47.739,3797.917
2020-02-11,36.46,-24916.27,104.167,4972.84,0.0,47.739,3797.917
2020-02-12,36.95,-24916.27,104.167,4972.84,0.0,47.739,3848.958
2020-02-13,36.42,-24916.27,104.167,4972.84,0.0,47.739,3793.75
2020-02-14,36.06,-24916.27,104.167,4972.84,0.0,47.739,3756.25
2020-02-18,35.18,-24916.27,104.167,4972.84,0.0,47.739,3664.583
2020-02-19,34.99,-24916.27,104.167,4972.84,0.0,47.739,3644.792
2020-02-20,34.83,-24916.27,104.167,4972.84,0.0,47.739,3628.125
2020-02-21,34.0,-24916.27,104.167,4972.84,0.0,47.739,3541.667
2020-02-24,31.8,-24916.27,104.167,4972.84,0.0,47.739,3312.5
2020-02-25,31.78,-24916.27,104.167,4972.84,0.0,47.739,3310.417
2020-02-26,32.08,-24916.27,104.167,4972.84,0.0,47.739,3341.667
2020-02-27,31.73,-24916.27,104.167,4972.84,0.0,47.739,3305.208
2020-02-28,32.27,-24916.27,104.167,4972.84,0.0,47.739,3361.458
2020-03-02,32.38,-24916.27,104.167,4972.84,0.0,47.739,3372.917
2020-03-03,31.61,-24916.27,104.167,4972.84,0.0,47.739,3292.708
2020-03-04,33.01,-24916.27,104.167,4972.84,0.0,47.739,3438.541
2020-03-05,32.0,-24916.27,104.167,4972.84,0.0,47.739,3333.333
2020-03-06,31.03,-24916.27,104.167,4972.84,0.0,47.739,3232.292
2020-03-09,28.8,-24916.27,104.167,4972.84,0.0,47.739,3000.0
2020-03-10,29.56,-24916.27,104.167,4972.84,0.0,47.739,3079.167
2020-03-11,29.01,-24916.27,104.167,4972.84,0.0,47.739,3021.875
2020-03-12,25.71,-24916.27,104.167,4972.84,0.0,47.739,2678.125
2020-03-13,28.05,-24916.27,104.167,4972.84,0.0,47.739,2921.875
2020-03-16,24.62,-24916.27,104.167,4972.84,0.0,47.739,2564.583
2020-03-17,24.53,-24916.27,104.167,4972.84,0.0,47.739,2555.208
2020-03-18,22.89,-24916.27,104.167,4972.84,0.0,47.739,2384.375
2020-03-19,21.56,-24916.27,104.167,4972.84,0.0,47.739,2245.833
2020-03-20,22.54,-24916.27,104.167,4972.84,0.0,47.739,2347.917
2020-03-23,21.14,-24916.27,104.167,4972.84,0.0,47.739,2202.083
2020-03-24,23.99,-24916.27,104.167,4972.84,0.0,47.739,2498.958
2020-03-25,25.78,-24916.27,104.167,4972.84,0.0,47.739,2685.417
2020-03-26,27.55,-24916.27,104.167,4972.84,0.0,47.739,2869.792
2020-03-27,27.55,-24916.27,104.167,4972.84,0.0,47.739,2869.792
2020-03-30,27.76,-24916.27,104.167,4972.84,0.0,47.739,2891.667
2020-03-31,27.19,-24916.27,104.167,4972.84,0.0,47.739,2832.292
2020-04-01,24.82,-24916.27,104.167,4972.84,0.0,47.739,2585.417
2020-04-02,25.52,-24916.27,104.167,4972.84,0.0,47.739,2658.333
2020-04-03,24.88,-24916.27,104.167,4972.84,0.0,47.739,2591.667
2020-04-06,26.77,-24916.27,104.167,4972.84,0.0,47.739,2788.542
2020-04-07,27.04,-24916.27,104.167,4972.84,0.0,47.739,2816.667
2020-04-08,26.41,-24916.27,104.167,4972.84,0.0,47.739,2751.042
2020-04-09,26.6,-24916.27,104.167,4972.84,0.0,47.739,2770.833
2020-04-13,26.8,-24916.27,104.167,4972.84,0.0,47.739,2791.667
2020-04-14,27.08,-24916.27,104.167,4972.84,0.0,47.739,2820.833
2020-04-15,26.11,-24916.27,104.167,4972.84,0.0,47.739,2719.792
2020-04-16,25.36,-24916.27,104.167,4972.84,0.0,47.739,2641.667
2020-04-17,26.4,-24916.27,104.167,4972.84,0.0,47.739,2750.0
2020-04-20,25.43,-24916.27,104.167,4972.84,0.0,47.739,2648.958
2020-04-21,24.87,-24916.27,104.167,4972.84,0.0,47.739,2590.625
2020-04-22,25.47,-24916.27,104.167,4972.84,0.0,47.739,2653.125
2020-04-23,24.66,-24916.27,104.167,4972.84,0.0,47.739,2568.75
2020-04-24,25.32,-24916.27,104.167,4972.84,0.0,47.739,2637.5
2020-04-27,28.0,-24916.27,104.167,4972.84,0.0,47.739,2916.667
2020-04-28,27.99,-24916.27,104.167,4972.84,0.0,47.739,2915.625
2020-04-29,28.87,-24916.27,104.167,4972.84,0.0,47.739,3007.292
2020-04-30,28.14,-24916.27,104.167,4972.84,0.0,47.739,2931.25
2020-05-01,27.23,-24916.27,104.167,4972.84,0.0,47.739,2836.458
2020-05-04,26.61,-24916.27,104.167,4972.84,0.0,47.739,2771.875
2020-05-05,26.69,-24916.27,104.167,4972.84,0.0,47.739,2780.208
2020-05-06,26.3,-24916.27,104.167,4972.84,0.0,47.739,2739.583
2020-05-07,26.74,-24916.27,104.167,4972.84,0.0,47.739,2785.417
2020-05-08,26.92,-24916.27,104.167,4972.84,0.0,47.739,2804.167
2020-05-11,26.47,-24916.27,104.167,4972.84,0.0,47.739,2757.292
2020-05-12,25.61,-24916.27,104.167,4972.84,0.0,47.739,2667.708
2020-05-13,25.39,-24916.27,104.167,4972.84,0.0,47.739,2644.792
2020-05-14,25.33,-24916.27,104.167,4972.84,0.0,47.739,2638.542
2020-05-15,25.51,-24916.27,104.167,4972.84,0.0,47.739,2657.292
2020-05-18,26.48,-24916.27,104.167,4972.84,0.0,47.739,2758.333
2020-05-19,25.95,-24916.27,104.167,4972.84,0.0,47.739,2703.125
2020-05-20,26.32,-24916.27,104.167,4972.84,0.0,47.739,2741.667
2020-05-21,25.87,-24916.27,104.167,4972.84,0.0,47.739,2694.792
2020-05-22,24.97,-24916.27,104.167,4972.84,0.0,47.739,2601.042
2020-05-26,26.58,-24916.27,104.167,4972.84,0.0,47.739,2768.75
2020-05-27,27.23,-24916.27,104.167,4972.84,0.0,47.739,2836.458
2020-05-28,27.4,-24916.27,104.167,4972.84,0.0,47.739,2854.167
2020-05-29,27.35,-24916.27,104.167,4972.84,0.0,47.739,2848.958
2020-06-01,28.23,-24916.27,104.167,4972.84,0.0,47.739,2940.625
2020-06-02,29.71,-24916.27,104.167,4972.84,0.0,47.739,3094.792
2020-06-03,31.64,-24916.27,104.167,4972.84,0.0,47.739,3295.833
2020-06-04,30.08,-24916.27,104.167,4972.84,0.0,47.739,3133.333
2020-06-05,31.56,-24916.27,104.167,4972.84,0.0,47.739,3287.5
2020-06-08,31.65,-24916.27,104.167,4972.84,0.0,47.739,3296.875
2020-06-09,31.49,-24916.27,104.167,4972.84,0.0,47.739,3280.208
2020-06-10,30.79,-24916.27,104.167,4972.84,0.0,47.739,3207.292
2020-06-11,28.08,-24916.27,104.167,4972.84,0.0,47.739,2925.0
2020-06-12,28.81,-24916.27,104.167,4972.84,0.0,47.739,3001.042
2020-06-15,27.83,-24916.27,104.167,4972.84,0.0,47.739,2898.958
2020-06-16,28.83,-24916.27,104.167,4972.84,0.0,47.739,3003.125
2020-06-17,28.21,-24916.27,104.167,4972.84,0.0,47.739,2938.542
2020-06-18,28.73,-24916.27,104.167,4972.84,0.0,47.739,2992.708
2020-06-19,29.04,-24916.27,104.167,4972.84,0.0,47.739,3025.0
2020-06-22,28.45,-24916.27,104.167,4972.84,0.0,47.739,2963.542
2020-06-23,28.6,-24916.27,104.167,4972.84,0.0,47.739,2979.167
2020-06-24,28.14,-24916.27,104.167,4972.84,0.0,47.739,2931.25
2020-06-25,28.05,-24916.27,104.167,4972.84,0.0,47.739,2921.875
2020-06-26,28.16,-24916.27,104.167,4972.84,0.0,47.739,2933.333
2020-06-29,28.08,-24916.27,104.167,4972.84,0.0,47.739,2925.0
2020-06-30,27.82,-24916.27,104.167,4972.84,0.0,47.739,2897.917
2020-07-01,28.43,-24916.27,104.167,4972.84,0.0,47.739,2961.458
2020-07-02,28.77,-24916.27,104.167,4972.84,0.0,47.739,2996.875
