date,VICI_adj_close,VICI_cashflow,VICI_cml_units,VICI_cml_cost,VICI_gain_loss,VICI_avg_price,VICI_mktvalue
2019-02-07,18.539,-4996.81,182.0,4996.81,1232.14,27.455,3374.107
2019-02-08,18.738,-4996.81,182.0,4996.81,1232.14,27.455,3410.27
2019-02-11,18.755,-4996.81,182.0,4996.81,1232.14,27.455,3413.414
2019-02-12,18.625,-4996.81,182.0,4996.81,1232.14,27.455,3389.83
2019-02-13,18.634,-4996.81,182.0,4996.81,1232.14,27.455,3391.402
2019-02-14,18.712,-4996.81,182.0,4996.81,1232.14,27.455,3405.553
2019-02-15,18.47,-4996.81,182.0,4996.81,1232.14,27.455,3361.528
2019-02-19,18.418,-4996.81,182.0,4996.81,1232.14,27.455,3352.095
2019-02-20,18.565,-4996.81,182.0,4996.81,1232.14,27.455,3378.825
2019-02-21,18.712,-4996.81,182.0,4996.81,1232.14,27.455,3405.553
2019-02-22,18.548,-4996.81,182.0,4996.81,1232.14,27.455,3375.679
2019-02-25,18.453,-4996.81,182.0,4996.81,1232.14,27.455,3358.384
2019-02-26,18.366,-4996.81,182.0,4996.81,1232.14,27.455,3342.662
2019-02-27,18.34,-4996.81,182.0,4996.81,1232.14,27.455,3337.945
2019-02-28,18.409,-4996.81,182.0,4996.81,1232.14,27.455,3350.523
2019-03-01,18.193,-4996.81,182.0,4996.81,1232.14,27.455,3311.216
2019-03-04,18.409,-4996.81,182.0,4996.81,1232.14,27.455,3350.523
2019-03-05,18.228,-4996.81,182.0,4996.81,1232.14,27.455,3317.505
2019-03-06,18.168,-4996.81,182.0,4996.81,1232.14,27.455,3306.5
2019-03-07,18.09,-4996.81,182.0,4996.81,1232.14,27.455,3292.349
2019-03-08,18.28,-4996.81,182.0,4996.81,1232.14,27.455,3326.939
2019-03-11,18.548,-4996.81,182.0,4996.81,1232.14,27.455,3375.679
2019-03-12,18.539,-4996.81,182.0,4996.81,1232.14,27.455,3374.107
2019-03-13,18.556,-4996.81,182.0,4996.81,1232.14,27.455,3377.252
2019-03-14,18.504,-4996.81,182.0,4996.81,1232.14,27.455,3367.819
2019-03-15,18.608,-4996.81,182.0,4996.81,1232.14,27.455,3386.686
2019-03-18,18.556,-4996.81,182.0,4996.81,1232.14,27.455,3377.252
2019-03-19,18.479,-4996.81,182.0,4996.81,1232.14,27.455,3363.101
2019-03-20,18.53,-4996.81,182.0,4996.81,1232.14,27.455,3372.535
2019-03-21,18.798,-4996.81,182.0,4996.81,1232.14,27.455,3421.276
2019-03-22,18.919,-4996.81,182.0,4996.81,1232.14,27.455,3443.287
2019-03-25,18.928,-4996.81,182.0,4996.81,1232.14,27.455,3444.86
2019-03-26,19.083,-4996.81,182.0,4996.81,1232.14,27.455,3473.161
2019-03-27,18.971,-4996.81,182.0,4996.81,1232.14,27.455,3452.721
2019-03-28,19.083,-4996.81,182.0,4996.81,1232.14,27.455,3473.113
2019-03-29,19.153,-4996.81,182.0,4996.81,1232.14,27.455,3485.859
2019-04-01,19.074,-4996.81,182.0,4996.81,1232.14,27.455,3471.521
2019-04-02,19.074,-4996.81,182.0,4996.81,1232.14,27.455,3471.521
2019-04-03,19.188,-4996.81,182.0,4996.81,1232.14,27.455,3492.232
2019-04-04,19.197,-4996.81,182.0,4996.81,1232.14,27.455,3493.825
2019-04-05,19.363,-4996.81,182.0,4996.81,1232.14,27.455,3524.095
2019-04-08,19.328,-4996.81,182.0,4996.81,1232.14,27.455,3517.723
2019-04-09,19.284,-4996.81,182.0,4996.81,1232.14,27.455,3509.757
2019-04-10,19.468,-4996.81,182.0,4996.81,1232.14,27.455,3543.213
2019-04-11,19.416,-4996.81,182.0,4996.81,1232.14,27.455,3533.654
2019-04-12,19.389,-4996.81,182.0,4996.81,1232.14,27.455,3528.875
2019-04-15,19.477,-4996.81,182.0,4996.81,1232.14,27.455,3544.806
2019-04-16,19.258,-4996.81,182.0,4996.81,1232.14,27.455,3504.977
2019-04-17,19.136,-4996.81,182.0,4996.81,1232.14,27.455,3482.673
2019-04-18,19.171,-4996.81,182.0,4996.81,1232.14,27.455,3489.046
2019-04-22,19.039,-4996.81,182.0,4996.81,1232.14,27.455,3465.148
2019-04-23,19.372,-4996.81,182.0,4996.81,1232.14,27.455,3525.688
2019-04-24,19.678,-4996.81,182.0,4996.81,1232.14,27.455,3581.45
2019-04-25,19.775,-4996.81,182.0,4996.81,1232.14,27.455,3598.975
2019-04-26,19.915,-4996.81,182.0,4996.81,1232.14,27.455,3624.465
2019-04-29,19.783,-4996.81,182.0,4996.81,1232.14,27.455,3600.567
2019-04-30,19.958,-4996.81,182.0,4996.81,1232.14,27.455,3632.431
2019-05-01,19.985,-4996.81,182.0,4996.81,1232.14,27.455,3637.21
2019-05-02,19.985,-4996.81,182.0,4996.81,1232.14,27.455,3637.21
2019-05-03,20.011,-4996.81,182.0,4996.81,1232.14,27.455,3641.99
2019-05-06,19.915,-4996.81,182.0,4996.81,1232.14,27.455,3624.465
2019-05-07,19.608,-4996.81,182.0,4996.81,1232.14,27.455,3568.704
2019-05-08,19.451,-4996.81,182.0,4996.81,1232.14,27.455,3540.027
2019-05-09,19.319,-4996.81,182.0,4996.81,1232.14,27.455,3516.129
2019-05-10,19.626,-4996.81,182.0,4996.81,1232.14,27.455,3571.891
2019-05-13,19.652,-4996.81,182.0,4996.81,1232.14,27.455,3576.67
2019-05-14,19.486,-4996.81,182.0,4996.81,1232.14,27.455,3546.4
2019-05-15,19.521,-4996.81,182.0,4996.81,1232.14,27.455,3552.772
2019-05-16,19.818,-4996.81,182.0,4996.81,1232.14,27.455,3606.94
2019-05-17,19.81,-4996.81,182.0,4996.81,1232.14,27.455,3605.346
2019-05-20,19.521,-4996.81,182.0,4996.81,1232.14,27.455,3552.772
2019-05-21,19.582,-4996.81,182.0,4996.81,1232.14,27.455,3563.924
2019-05-22,19.678,-4996.81,182.0,4996.81,1232.14,27.455,3581.45
2019-05-23,19.783,-4996.81,182.0,4996.81,1232.14,27.455,3600.567
2019-05-24,19.932,-4996.81,182.0,4996.81,1232.14,27.455,3627.652
2019-05-28,19.757,-4996.81,182.0,4996.81,1232.14,27.455,3595.788
2019-05-29,19.591,-4996.81,182.0,4996.81,1232.14,27.455,3565.517
2019-05-30,19.573,-4996.81,182.0,4996.81,1232.14,27.455,3562.331
2019-05-31,19.416,-4996.81,182.0,4996.81,1232.14,27.455,3533.654
2019-06-03,19.346,-4996.81,182.0,4996.81,1232.14,27.455,3520.909
2019-06-04,19.127,-4996.81,182.0,4996.81,1232.14,27.455,3481.079
2019-06-05,19.591,-4996.81,182.0,4996.81,1232.14,27.455,3565.517
2019-06-06,19.696,-4996.81,182.0,4996.81,1232.14,27.455,3584.635
2019-06-07,19.389,-4996.81,182.0,4996.81,1232.14,27.455,3528.875
2019-06-10,19.512,-4996.81,182.0,4996.81,1232.14,27.455,3551.18
2019-06-11,19.6,-4996.81,182.0,4996.81,1232.14,27.455,3567.111
2019-06-12,19.635,-4996.81,182.0,4996.81,1232.14,27.455,3573.484
2019-06-13,19.731,-4996.81,182.0,4996.81,1232.14,27.455,3591.009
2019-06-14,19.897,-4996.81,182.0,4996.81,1232.14,27.455,3621.279
2019-06-17,19.958,-4996.81,182.0,4996.81,1232.14,27.455,3632.431
2019-06-18,19.915,-4996.81,182.0,4996.81,1232.14,27.455,3624.465
2019-06-19,20.028,-4996.81,182.0,4996.81,1232.14,27.455,3645.176
2019-06-20,20.142,-4996.81,182.0,4996.81,1232.14,27.455,3665.888
2019-06-21,19.95,-4996.81,182.0,4996.81,1232.14,27.455,3630.838
2019-06-24,19.503,-4996.81,182.0,4996.81,1232.14,27.455,3549.586
2019-06-25,19.083,-4996.81,182.0,4996.81,1232.14,27.455,3473.113
2019-06-26,18.89,-4996.81,182.0,4996.81,1232.14,27.455,3438.064
2019-06-27,19.261,-4996.81,182.0,4996.81,1232.14,27.455,3505.56
2019-06-28,19.554,-4996.81,182.0,4996.81,1232.14,27.455,3558.846
2019-07-01,19.776,-4996.81,182.0,4996.81,1232.14,27.455,3599.214
2019-07-02,19.953,-4996.81,182.0,4996.81,1232.14,27.455,3631.508
2019-07-03,20.175,-4996.81,182.0,4996.81,1232.14,27.455,3671.876
2019-07-05,19.803,-4996.81,182.0,4996.81,1232.14,27.455,3604.057
2019-07-08,19.652,-4996.81,182.0,4996.81,1232.14,27.455,3576.607
2019-07-09,19.732,-4996.81,182.0,4996.81,1232.14,27.455,3591.14
2019-07-10,19.794,-4996.81,182.0,4996.81,1232.14,27.455,3602.442
2019-07-11,19.59,-4996.81,182.0,4996.81,1232.14,27.455,3565.304
2019-07-12,19.758,-4996.81,182.0,4996.81,1232.14,27.455,3595.984
2019-07-15,19.953,-4996.81,182.0,4996.81,1232.14,27.455,3631.508
2019-07-16,19.723,-4996.81,182.0,4996.81,1232.14,27.455,3589.525
2019-07-17,19.421,-4996.81,182.0,4996.81,1232.14,27.455,3534.624
2019-07-18,19.51,-4996.81,182.0,4996.81,1232.14,27.455,3550.772
2019-07-19,19.199,-4996.81,182.0,4996.81,1232.14,27.455,3494.256
2019-07-22,19.137,-4996.81,182.0,4996.81,1232.14,27.455,3482.953
2019-07-23,19.04,-4996.81,182.0,4996.81,1232.14,27.455,3465.191
2019-07-24,19.031,-4996.81,182.0,4996.81,1232.14,27.455,3463.577
2019-07-25,18.88,-4996.81,182.0,4996.81,1232.14,27.455,3436.127
2019-07-26,18.96,-4996.81,182.0,4996.81,1232.14,27.455,3450.659
2019-07-29,18.871,-4996.81,182.0,4996.81,1232.14,27.455,3434.512
2019-07-30,19.066,-4996.81,182.0,4996.81,1232.14,27.455,3470.036
2019-07-31,18.933,-4996.81,182.0,4996.81,1232.14,27.455,3445.815
2019-08-01,18.605,-4996.81,182.0,4996.81,1232.14,27.455,3386.07
2019-08-02,18.835,-4996.81,182.0,4996.81,1232.14,27.455,3428.053
2019-08-05,18.498,-4996.81,182.0,4996.81,1232.14,27.455,3366.693
2019-08-06,18.507,-4996.81,182.0,4996.81,1232.14,27.455,3368.308
2019-08-07,18.614,-4996.81,182.0,4996.81,1232.14,27.455,3387.685
2019-08-08,18.8,-4996.81,182.0,4996.81,1232.14,27.455,3421.594
2019-08-09,18.782,-4996.81,182.0,4996.81,1232.14,27.455,3418.365
2019-08-12,18.818,-4996.81,182.0,4996.81,1232.14,27.455,3424.824
2019-08-13,18.862,-4996.81,182.0,4996.81,1232.14,27.455,3432.897
2019-08-14,18.33,-4996.81,182.0,4996.81,1232.14,27.455,3336.013
2019-08-15,18.25,-4996.81,182.0,4996.81,1232.14,27.455,3321.481
2019-08-16,18.392,-4996.81,182.0,4996.81,1232.14,27.455,3347.317
2019-08-19,18.729,-4996.81,182.0,4996.81,1232.14,27.455,3408.676
2019-08-20,18.392,-4996.81,182.0,4996.81,1232.14,27.455,3347.317
2019-08-21,18.596,-4996.81,182.0,4996.81,1232.14,27.455,3384.455
2019-08-22,18.871,-4996.81,182.0,4996.81,1232.14,27.455,3434.512
2019-08-23,18.631,-4996.81,182.0,4996.81,1232.14,27.455,3390.914
2019-08-26,19.235,-4996.81,182.0,4996.81,1232.14,27.455,3500.716
2019-08-27,19.323,-4996.81,182.0,4996.81,1232.14,27.455,3516.863
2019-08-28,19.341,-4996.81,182.0,4996.81,1232.14,27.455,3520.091
2019-08-29,19.59,-4996.81,182.0,4996.81,1232.14,27.455,3565.304
2019-08-30,19.661,-4996.81,182.0,4996.81,1232.14,27.455,3578.222
2019-09-03,19.661,-4996.81,182.0,4996.81,1232.14,27.455,3578.222
2019-09-04,19.678,-4996.81,182.0,4996.81,1232.14,27.455,3581.451
2019-09-05,19.687,-4996.81,182.0,4996.81,1232.14,27.455,3583.066
2019-09-06,19.794,-4996.81,182.0,4996.81,1232.14,27.455,3602.442
2019-09-09,19.474,-4996.81,182.0,4996.81,1232.14,27.455,3544.313
2019-09-10,19.332,-4996.81,182.0,4996.81,1232.14,27.455,3518.477
2019-09-11,19.483,-4996.81,182.0,4996.81,1232.14,27.455,3545.928
2019-09-12,19.519,-4996.81,182.0,4996.81,1232.14,27.455,3552.386
2019-09-13,19.306,-4996.81,182.0,4996.81,1232.14,27.455,3513.633
2019-09-16,19.607,-4996.81,182.0,4996.81,1232.14,27.455,3568.533
2019-09-17,19.82,-4996.81,182.0,4996.81,1232.14,27.455,3607.287
2019-09-18,19.927,-4996.81,182.0,4996.81,1232.14,27.455,3626.663
2019-09-19,20.157,-4996.81,182.0,4996.81,1232.14,27.455,3668.647
2019-09-20,20.353,-4996.81,182.0,4996.81,1232.14,27.455,3704.17
2019-09-23,20.335,-4996.81,182.0,4996.81,1232.14,27.455,3700.941
2019-09-24,20.388,-4996.81,182.0,4996.81,1232.14,27.455,3710.629
2019-09-25,20.441,-4996.81,182.0,4996.81,1232.14,27.455,3720.317
2019-09-26,20.224,-4996.81,182.0,4996.81,1232.14,27.455,3680.73
2019-09-27,20.233,-4996.81,182.0,4996.81,1232.14,27.455,3682.365
2019-09-30,20.359,-4996.81,182.0,4996.81,1232.14,27.455,3705.267
2019-10-01,20.305,-4996.81,182.0,4996.81,1232.14,27.455,3695.452
2019-10-02,20.323,-4996.81,182.0,4996.81,1232.14,27.455,3698.724
2019-10-03,20.538,-4996.81,182.0,4996.81,1232.14,27.455,3737.985
2019-10-04,20.628,-4996.81,182.0,4996.81,1232.14,27.455,3754.344
2019-10-07,20.709,-4996.81,182.0,4996.81,1232.14,27.455,3769.067
2019-10-08,20.727,-4996.81,182.0,4996.81,1232.14,27.455,3772.338
2019-10-09,20.655,-4996.81,182.0,4996.81,1232.14,27.455,3759.251
2019-10-10,20.727,-4996.81,182.0,4996.81,1232.14,27.455,3772.338
2019-10-11,20.628,-4996.81,182.0,4996.81,1232.14,27.455,3754.344
2019-10-14,20.664,-4996.81,182.0,4996.81,1232.14,27.455,3760.887
2019-10-15,20.781,-4996.81,182.0,4996.81,1232.14,27.455,3782.154
2019-10-16,20.727,-4996.81,182.0,4996.81,1232.14,27.455,3772.338
2019-10-17,20.799,-4996.81,182.0,4996.81,1232.14,27.455,3785.425
2019-10-18,20.799,-4996.81,182.0,4996.81,1232.14,27.455,3785.425
2019-10-21,21.114,-4996.81,182.0,4996.81,1232.14,27.455,3842.681
2019-10-22,21.213,-4996.81,182.0,4996.81,1232.14,27.455,3860.676
2019-10-23,21.257,-4996.81,182.0,4996.81,1232.14,27.455,3868.855
2019-10-24,21.311,-4996.81,182.0,4996.81,1232.14,27.455,3878.671
2019-10-25,21.266,-4996.81,182.0,4996.81,1232.14,27.455,3870.492
2019-10-28,21.365,-4996.81,182.0,4996.81,1232.14,27.455,3888.486
2019-10-29,21.338,-4996.81,182.0,4996.81,1232.14,27.455,3883.578
2019-10-30,21.563,-4996.81,182.0,4996.81,1232.14,27.455,3924.475
2019-10-31,21.168,-4996.81,182.0,4996.81,1232.14,27.455,3852.496
2019-11-01,22.048,-4996.81,182.0,4996.81,1232.14,27.455,4012.812
2019-11-04,22.093,-4996.81,182.0,4996.81,1232.14,27.455,4020.992
2019-11-05,21.626,-4996.81,182.0,4996.81,1232.14,27.455,3935.926
2019-11-06,21.734,-4996.81,182.0,4996.81,1232.14,27.455,3955.557
2019-11-07,21.563,-4996.81,182.0,4996.81,1232.14,27.455,3924.475
2019-11-08,21.824,-4996.81,182.0,4996.81,1232.14,27.455,3971.916
2019-11-11,22.093,-4996.81,182.0,4996.81,1232.14,27.455,4020.992
2019-11-12,21.914,-4996.81,182.0,4996.81,1232.14,27.455,3988.274
2019-11-13,21.887,-4996.81,182.0,4996.81,1232.14,27.455,3983.367
2019-11-14,22.102,-4996.81,182.0,4996.81,1232.14,27.455,4022.628
2019-11-15,22.147,-4996.81,182.0,4996.81,1232.14,27.455,4030.808
2019-11-18,22.075,-4996.81,182.0,4996.81,1232.14,27.455,4017.72
2019-11-19,22.003,-4996.81,182.0,4996.81,1232.14,27.455,4004.633
2019-11-20,22.201,-4996.81,182.0,4996.81,1232.14,27.455,4040.623
2019-11-21,21.887,-4996.81,182.0,4996.81,1232.14,27.455,3983.367
2019-11-22,21.86,-4996.81,182.0,4996.81,1232.14,27.455,3978.459
2019-11-25,22.003,-4996.81,182.0,4996.81,1232.14,27.455,4004.633
2019-11-26,22.111,-4996.81,182.0,4996.81,1232.14,27.455,4024.264
2019-11-27,22.372,-4996.81,182.0,4996.81,1232.14,27.455,4071.704
2019-11-29,22.228,-4996.81,182.0,4996.81,1232.14,27.455,4045.53
2019-12-02,21.994,-4996.81,182.0,4996.81,1232.14,27.455,4002.997
2019-12-03,22.165,-4996.81,182.0,4996.81,1232.14,27.455,4034.079
2019-12-04,22.003,-4996.81,182.0,4996.81,1232.14,27.455,4004.633
2019-12-05,22.201,-4996.81,182.0,4996.81,1232.14,27.455,4040.623
2019-12-06,22.417,-4996.81,182.0,4996.81,1232.14,27.455,4079.884
2019-12-09,22.399,-4996.81,182.0,4996.81,1232.14,27.455,4076.613
2019-12-10,22.381,-4996.81,182.0,4996.81,1232.14,27.455,4073.34
2019-12-11,22.192,-4996.81,182.0,4996.81,1232.14,27.455,4038.987
2019-12-12,22.156,-4996.81,182.0,4996.81,1232.14,27.455,4032.443
2019-12-13,21.869,-4996.81,182.0,4996.81,1232.14,27.455,3980.095
2019-12-16,22.12,-4996.81,182.0,4996.81,1232.14,27.455,4025.899
2019-12-17,22.336,-4996.81,182.0,4996.81,1232.14,27.455,4065.16
2019-12-18,22.498,-4996.81,182.0,4996.81,1232.14,27.455,4094.606
2019-12-19,22.759,-4996.81,182.0,4996.81,1232.14,27.455,4142.047
2019-12-20,22.794,-4996.81,182.0,4996.81,1232.14,27.455,4148.591
2019-12-23,22.776,-4996.81,182.0,4996.81,1232.14,27.455,4145.319
2019-12-24,22.651,-4996.81,182.0,4996.81,1232.14,27.455,4122.416
2019-12-26,22.767,-4996.81,182.0,4996.81,1232.14,27.455,4143.606
2019-12-27,22.958,-4996.81,182.0,4996.81,1232.14,27.455,4178.371
2019-12-30,22.994,-4996.81,182.0,4996.81,1232.14,27.455,4184.993
2019-12-31,23.24,-4996.81,182.0,4996.81,1232.14,27.455,4229.69
2020-01-02,22.994,-4996.81,182.0,4996.81,1232.14,27.455,4184.993
2020-01-03,23.013,-4996.81,182.0,4996.81,1232.14,27.455,4188.304
2020-01-06,22.776,-4996.81,182.0,4996.81,1232.14,27.455,4145.262
2020-01-07,22.685,-4996.81,182.0,4996.81,1232.14,27.455,4128.707
2020-01-08,22.831,-4996.81,182.0,4996.81,1232.14,27.455,4155.194
2020-01-09,23.058,-4996.81,182.0,4996.81,1232.14,27.455,4196.581
2020-01-10,23.076,-4996.81,182.0,4996.81,1232.14,27.455,4199.892
2020-01-13,23.058,-4996.81,182.0,4996.81,1232.14,27.455,4196.581
2020-01-14,23.167,-4996.81,182.0,4996.81,1232.14,27.455,4216.446
2020-01-15,23.631,-4996.81,182.0,4996.81,1232.14,27.455,4300.875
2020-01-16,23.822,-4996.81,182.0,4996.81,1232.14,27.455,4335.639
2020-01-17,23.895,-4996.81,182.0,4996.81,1232.14,27.455,4348.883
2020-01-21,23.986,-4996.81,182.0,4996.81,1232.14,27.455,4365.438
2020-01-22,24.15,-4996.81,182.0,4996.81,1232.14,27.455,4395.235
2020-01-23,24.204,-4996.81,182.0,4996.81,1232.14,27.455,4405.169
2020-01-24,24.241,-4996.81,182.0,4996.81,1232.14,27.455,4411.79
2020-01-27,23.986,-4996.81,182.0,4996.81,1232.14,27.455,4365.438
2020-01-28,23.931,-4996.81,182.0,4996.81,1232.14,27.455,4355.505
2020-01-29,24.313,-4996.81,182.0,4996.81,1232.14,27.455,4425.034
2020-01-30,24.404,-4996.81,182.0,4996.81,1232.14,27.455,4441.589
2020-01-31,24.377,-4996.81,182.0,4996.81,1232.14,27.455,4436.622
2020-02-03,24.423,-4996.81,182.0,4996.81,1232.14,27.455,4444.899
2020-02-04,24.586,-4996.81,182.0,4996.81,1232.14,27.455,4474.698
2020-02-05,24.523,-4996.81,182.0,4996.81,1232.14,27.455,4463.109
2020-02-06,24.695,-4996.81,182.0,4996.81,1232.14,27.455,4494.563
2020-02-07,24.668,-4996.81,182.0,4996.81,1232.14,27.455,4489.597
2020-02-10,24.996,-4996.81,182.0,4996.81,1232.14,27.455,4549.193
2020-02-11,25.187,-4996.81,182.0,4996.81,1232.14,27.455,4583.957
2020-02-12,25.214,-4996.81,182.0,4996.81,1232.14,27.455,4588.924
2020-02-13,25.368,-4996.81,182.0,4996.81,1232.14,27.455,4617.067
2020-02-14,25.569,-4996.81,182.0,4996.81,1232.14,27.455,4653.487
2020-02-18,25.359,-4996.81,182.0,4996.81,1232.14,27.455,4615.411
2020-02-19,24.986,-4996.81,182.0,4996.81,1232.14,27.455,4547.538
2020-02-20,25.587,-4996.81,182.0,4996.81,1232.14,27.455,4656.798
2020-02-21,25.605,-4996.81,182.0,4996.81,1232.14,27.455,4660.109
2020-02-24,25.014,-4996.81,182.0,4996.81,1232.14,27.455,4552.504
2020-02-25,24.277,-4996.81,182.0,4996.81,1232.14,27.455,4418.412
2020-02-26,23.322,-4996.81,182.0,4996.81,1232.14,27.455,4244.589
2020-02-27,22.558,-4996.81,182.0,4996.81,1232.14,27.455,4105.531
2020-02-28,22.794,-4996.81,182.0,4996.81,1232.14,27.455,4148.573
2020-03-02,22.431,-4996.81,182.0,4996.81,1232.14,27.455,4082.354
2020-03-03,22.485,-4996.81,182.0,4996.81,1232.14,27.455,4092.287
2020-03-04,23.331,-4996.81,182.0,4996.81,1232.14,27.455,4246.245
2020-03-05,22.649,-4996.81,182.0,4996.81,1232.14,27.455,4122.085
2020-03-06,22.03,-4996.81,182.0,4996.81,1232.14,27.455,4009.515
2020-03-09,19.711,-4996.81,182.0,4996.81,1232.14,27.455,3587.374
2020-03-10,20.939,-4996.81,182.0,4996.81,1232.14,27.455,3810.86
2020-03-11,18.756,-4996.81,182.0,4996.81,1232.14,27.455,3413.55
2020-03-12,14.763,-4996.81,182.0,4996.81,1232.14,27.455,2686.805
2020-03-13,16.009,-4996.81,182.0,4996.81,1232.14,27.455,2913.603
2020-03-16,11.424,-4996.81,182.0,4996.81,1232.14,27.455,2079.253
2020-03-17,11.843,-4996.81,182.0,4996.81,1232.14,27.455,2155.404
2020-03-18,10.187,-4996.81,182.0,4996.81,1232.14,27.455,1854.111
2020-03-19,10.451,-4996.81,182.0,4996.81,1232.14,27.455,1902.119
2020-03-20,11.197,-4996.81,182.0,4996.81,1232.14,27.455,2037.866
2020-03-23,10.679,-4996.81,182.0,4996.81,1232.14,27.455,1943.505
2020-03-24,11.925,-4996.81,182.0,4996.81,1232.14,27.455,2170.303
2020-03-25,14.035,-4996.81,182.0,4996.81,1232.14,27.455,2554.368
2020-03-26,14.69,-4996.81,182.0,4996.81,1232.14,27.455,2673.561
2020-03-27,14.654,-4996.81,182.0,4996.81,1232.14,27.455,2666.94
2020-03-30,14.865,-4996.81,182.0,4996.81,1232.14,27.455,2705.396
2020-03-31,15.421,-4996.81,182.0,4996.81,1232.14,27.455,2806.595
2020-04-01,13.938,-4996.81,182.0,4996.81,1232.14,27.455,2536.73
2020-04-02,13.743,-4996.81,182.0,4996.81,1232.14,27.455,2501.31
2020-04-03,12.77,-4996.81,182.0,4996.81,1232.14,27.455,2324.211
2020-04-06,13.215,-4996.81,182.0,4996.81,1232.14,27.455,2405.171
2020-04-07,13.456,-4996.81,182.0,4996.81,1232.14,27.455,2449.024
2020-04-08,14.754,-4996.81,182.0,4996.81,1232.14,27.455,2685.156
2020-04-09,15.903,-4996.81,182.0,4996.81,1232.14,27.455,2894.301
2020-04-13,15.365,-4996.81,182.0,4996.81,1232.14,27.455,2796.475
2020-04-14,15.736,-4996.81,182.0,4996.81,1232.14,27.455,2863.941
2020-04-15,14.911,-4996.81,182.0,4996.81,1232.14,27.455,2713.829
2020-04-16,14.596,-4996.81,182.0,4996.81,1232.14,27.455,2656.482
2020-04-17,14.911,-4996.81,182.0,4996.81,1232.14,27.455,2713.829
2020-04-20,14.531,-4996.81,182.0,4996.81,1232.14,27.455,2644.676
2020-04-21,14.225,-4996.81,182.0,4996.81,1232.14,27.455,2589.016
2020-04-22,14.364,-4996.81,182.0,4996.81,1232.14,27.455,2614.316
2020-04-23,14.16,-4996.81,182.0,4996.81,1232.14,27.455,2577.21
2020-04-24,14.439,-4996.81,182.0,4996.81,1232.14,27.455,2627.809
2020-04-27,15.115,-4996.81,182.0,4996.81,1232.14,27.455,2750.935
2020-04-28,15.551,-4996.81,182.0,4996.81,1232.14,27.455,2830.208
2020-04-29,16.589,-4996.81,182.0,4996.81,1232.14,27.455,3019.113
2020-04-30,16.144,-4996.81,182.0,4996.81,1232.14,27.455,2938.154
2020-05-01,15.347,-4996.81,182.0,4996.81,1232.14,27.455,2793.101
2020-05-04,15.18,-4996.81,182.0,4996.81,1232.14,27.455,2762.741
2020-05-05,15.226,-4996.81,182.0,4996.81,1232.14,27.455,2771.175
2020-05-06,15.059,-4996.81,182.0,4996.81,1232.14,27.455,2740.815
2020-05-07,15.356,-4996.81,182.0,4996.81,1232.14,27.455,2794.788
2020-05-08,15.838,-4996.81,182.0,4996.81,1232.14,27.455,2882.494
2020-05-11,15.476,-4996.81,182.0,4996.81,1232.14,27.455,2816.715
2020-05-12,14.615,-4996.81,182.0,4996.81,1232.14,27.455,2659.856
2020-05-13,13.781,-4996.81,182.0,4996.81,1232.14,27.455,2508.057
2020-05-14,14.077,-4996.81,182.0,4996.81,1232.14,27.455,2562.03
