date,VICI_adj_close,VICI_cashflow,VICI_cml_units,VICI_cml_cost,VICI_gain_loss,VICI_avg_price,VICI_mktvalue
2019-01-01,0.0,-4996.81,182.0,4996.81,1232.14,27.455,0.0
2019-01-02,15.965,-4996.81,182.0,4996.81,1232.14,27.455,2905.568
2019-01-03,16.215,-4996.81,182.0,4996.81,1232.14,27.455,2951.165
2019-01-04,16.397,-4996.81,182.0,4996.81,1232.14,27.455,2984.182
2019-01-07,16.44,-4996.81,182.0,4996.81,1232.14,27.455,2992.044
2019-01-08,16.941,-4996.81,182.0,4996.81,1232.14,27.455,3083.236
2019-01-09,17.165,-4996.81,182.0,4996.81,1232.14,27.455,3124.115
2019-01-10,17.338,-4996.81,182.0,4996.81,1232.14,27.455,3155.56
2019-01-11,17.537,-4996.81,182.0,4996.81,1232.14,27.455,3191.723
2019-01-14,17.667,-4996.81,182.0,4996.81,1232.14,27.455,3215.308
2019-01-15,17.779,-4996.81,182.0,4996.81,1232.14,27.455,3235.747
2019-01-16,18.029,-4996.81,182.0,4996.81,1232.14,27.455,3281.343
2019-01-17,18.133,-4996.81,182.0,4996.81,1232.14,27.455,3300.21
2019-01-18,18.237,-4996.81,182.0,4996.81,1232.14,27.455,3319.078
2019-01-22,18.107,-4996.81,182.0,4996.81,1232.14,27.455,3295.494
2019-01-23,18.159,-4996.81,182.0,4996.81,1232.14,27.455,3304.927
2019-01-24,18.254,-4996.81,182.0,4996.81,1232.14,27.455,3322.222
2019-01-25,18.53,-4996.81,182.0,4996.81,1232.14,27.455,3372.535
2019-01-28,18.539,-4996.81,182.0,4996.81,1232.14,27.455,3374.107
2019-01-29,18.582,-4996.81,182.0,4996.81,1232.14,27.455,3381.969
2019-01-30,18.479,-4996.81,182.0,4996.81,1232.14,27.455,3363.101
2019-01-31,18.6,-4996.81,182.0,4996.81,1232.14,27.455,3385.114
2019-02-01,18.695,-4996.81,182.0,4996.81,1232.14,27.455,3402.408
2019-02-04,18.591,-4996.81,182.0,4996.81,1232.14,27.455,3383.541
2019-02-05,18.591,-4996.81,182.0,4996.81,1232.14,27.455,3383.541
2019-02-06,18.539,-4996.81,182.0,4996.81,1232.14,27.455,3374.107
