date,TSLA_adj_close,TSLA_cashflow,TSLA_cml_units,TSLA_cml_cost,TSLA_gain_loss,TSLA_avg_price,TSLA_mktvalue
2020-01-02,86.052,0.0,0.0,0.0,0.0,,0.0
2020-01-03,88.602,0.0,0.0,0.0,0.0,,0.0
2020-01-06,90.308,0.0,0.0,0.0,0.0,,0.0
2020-01-07,93.812,0.0,0.0,0.0,0.0,,0.0
2020-01-08,98.428,-477.0,5.0,477.0,0.0,95.4,492.14
2020-01-09,96.268,-477.0,5.0,477.0,0.0,95.4,481.34
2020-01-10,95.63,-477.0,5.0,477.0,0.0,95.4,478.15
2020-01-13,104.972,-477.0,5.0,477.0,0.0,95.4,524.86
2020-01-14,107.584,-477.0,5.0,477.0,0.0,95.4,537.92
2020-01-15,103.7,-477.0,5.0,477.0,0.0,95.4,518.5
2020-01-16,102.698,-477.0,5.0,477.0,0.0,95.4,513.49
2020-01-17,102.1,-477.0,5.0,477.0,0.0,95.4,510.5
2020-01-21,109.44,-477.0,5.0,477.0,0.0,95.4,547.2
2020-01-22,113.912,-477.0,5.0,477.0,0.0,95.4,569.56
2020-01-23,114.44,-477.0,5.0,477.0,0.0,95.4,572.2
2020-01-24,112.964,-477.0,5.0,477.0,0.0,95.4,564.82
2020-01-27,111.604,-477.0,5.0,477.0,0.0,95.4,558.02
2020-01-28,113.38,-477.0,5.0,477.0,0.0,95.4,566.9
2020-01-29,116.198,-477.0,5.0,477.0,0.0,95.4,580.99
2020-01-30,128.162,-477.0,5.0,477.0,0.0,95.4,640.81
2020-01-31,130.114,-477.0,5.0,477.0,0.0,95.4,650.57
2020-02-03,156.0,-477.0,5.0,477.0,0.0,95.4,780.0
2020-02-04,177.412,-477.0,5.0,477.0,0.0,95.4,887.06
2020-02-05,146.94,-477.0,5.0,477.0,0.0,95.4,734.7
2020-02-06,149.792,-477.0,5.0,477.0,0.0,95.4,748.96
2020-02-07,149.614,-477.0,5.0,477.0,0.0,95.4,748.07
2020-02-10,154.256,-477.0,5.0,477.0,0.0,95.4,771.28
2020-02-11,154.876,-477.0,5.0,477.0,0.0,95.4,774.38
2020-02-12,153.458,-477.0,5.0,477.0,0.0,95.4,767.29
2020-02-13,160.8,-477.0,5.0,477.0,0.0,95.4,804.0
2020-02-14,160.006,-477.0,5.0,477.0,0.0,95.4,800.03
2020-02-18,171.68,-477.0,5.0,477.0,0.0,95.4,858.4
2020-02-19,183.484,-477.0,5.0,477.0,0.0,95.4,917.42
2020-02-20,179.882,-477.0,5.0,477.0,0.0,95.4,899.41
2020-02-21,180.2,-477.0,5.0,477.0,0.0,95.4,901.0
2020-02-24,166.758,-477.0,5.0,477.0,0.0,95.4,833.79
2020-02-25,159.982,-477.0,5.0,477.0,0.0,95.4,799.91
2020-02-26,155.76,-477.0,5.0,477.0,0.0,95.4,778.8
2020-02-27,135.8,-477.0,5.0,477.0,0.0,95.4,679.0
2020-02-28,133.598,-477.0,5.0,477.0,0.0,95.4,667.99
2020-03-02,148.724,-477.0,5.0,477.0,0.0,95.4,743.62
2020-03-03,149.102,-477.0,5.0,477.0,0.0,95.4,745.51
2020-03-04,149.9,-477.0,5.0,477.0,0.0,95.4,749.5
2020-03-05,144.908,-477.0,5.0,477.0,0.0,95.4,724.54
2020-03-06,140.696,-477.0,5.0,477.0,0.0,95.4,703.48
2020-03-09,121.6,-477.0,5.0,477.0,0.0,95.4,608.0
2020-03-10,129.066,-477.0,5.0,477.0,0.0,95.4,645.33
2020-03-11,126.846,-477.0,5.0,477.0,0.0,95.4,634.23
2020-03-12,112.11,-477.0,5.0,477.0,0.0,95.4,560.55
2020-03-13,109.324,-477.0,5.0,477.0,0.0,95.4,546.62
2020-03-16,89.014,-477.0,5.0,477.0,0.0,95.4,445.07
