date,TSLA_adj_close,TSLA_cashflow,TSLA_cml_units,TSLA_cml_cost,TSLA_gain_loss,TSLA_avg_price,TSLA_mktvalue
2020-03-17,86.04,-477.0,5.0,477.0,0.0,95.4,430.2
2020-03-18,72.244,-477.0,5.0,477.0,0.0,95.4,361.22
2020-03-19,85.528,-477.0,5.0,477.0,0.0,95.4,427.64
2020-03-20,85.506,-477.0,5.0,477.0,0.0,95.4,427.53
2020-03-23,86.858,-477.0,5.0,477.0,0.0,95.4,434.29
2020-03-24,101.0,-477.0,5.0,477.0,0.0,95.4,505.0
2020-03-25,107.85,-477.0,5.0,477.0,0.0,95.4,539.25
2020-03-26,105.632,-159.37,2.0,190.8,31.43,95.4,211.264
2020-03-27,102.872,-159.37,2.0,190.8,31.43,95.4,205.744
2020-03-30,100.426,-159.37,2.0,190.8,31.43,95.4,200.852
2020-03-31,104.8,-159.37,2.0,190.8,31.43,95.4,209.6
2020-04-01,96.312,-159.37,2.0,190.8,31.43,95.4,192.624
2020-04-02,90.894,-159.37,2.0,190.8,31.43,95.4,181.788
2020-04-03,96.002,-159.37,2.0,190.8,31.43,95.4,192.004
2020-04-06,103.248,-159.37,2.0,190.8,31.43,95.4,206.496
2020-04-07,109.09,-159.37,2.0,190.8,31.43,95.4,218.18
2020-04-08,109.768,-159.37,2.0,190.8,31.43,95.4,219.536
2020-04-09,114.6,-159.37,2.0,190.8,31.43,95.4,229.2
2020-04-13,130.19,-159.37,2.0,190.8,31.43,95.4,260.38
2020-04-14,141.978,-159.37,2.0,190.8,31.43,95.4,283.956
2020-04-15,145.966,-159.37,2.0,190.8,31.43,95.4,291.932
2020-04-16,149.042,-159.37,2.0,190.8,31.43,95.4,298.084
2020-04-17,150.778,-159.37,2.0,190.8,31.43,95.4,301.556
2020-04-20,149.272,-159.37,2.0,190.8,31.43,95.4,298.544
2020-04-21,137.344,-159.37,2.0,190.8,31.43,95.4,274.688
2020-04-22,146.422,-159.37,2.0,190.8,31.43,95.4,292.844
2020-04-23,141.126,-159.37,2.0,190.8,31.43,95.4,282.252
2020-04-24,145.03,-159.37,2.0,190.8,31.43,95.4,290.06
2020-04-27,159.75,-159.37,2.0,190.8,31.43,95.4,319.5
2020-04-28,153.824,-159.37,2.0,190.8,31.43,95.4,307.648
2020-04-29,160.102,-159.37,2.0,190.8,31.43,95.4,320.204
2020-04-30,156.376,-159.37,2.0,190.8,31.43,95.4,312.752
2020-05-01,140.264,-159.37,2.0,190.8,31.43,95.4,280.528
2020-05-04,152.238,-159.37,2.0,190.8,31.43,95.4,304.476
2020-05-05,153.642,-159.37,2.0,190.8,31.43,95.4,307.284
2020-05-06,156.516,-159.37,2.0,190.8,31.43,95.4,313.032
2020-05-07,156.008,-159.37,2.0,190.8,31.43,95.4,312.016
2020-05-08,163.884,-159.37,2.0,190.8,31.43,95.4,327.768
2020-05-11,162.258,-159.37,2.0,190.8,31.43,95.4,324.516
2020-05-12,161.882,-159.37,2.0,190.8,31.43,95.4,323.764
2020-05-13,158.192,-159.37,2.0,190.8,31.43,95.4,316.384
2020-05-14,160.666,-159.37,2.0,190.8,31.43,95.4,321.332
2020-05-15,159.834,-159.37,2.0,190.8,31.43,95.4,319.668
2020-05-18,162.726,-159.37,2.0,190.8,31.43,95.4,325.452
2020-05-19,161.602,-159.37,2.0,190.8,31.43,95.4,323.204
2020-05-20,163.112,-159.37,2.0,190.8,31.43,95.4,326.224
2020-05-21,165.52,-159.37,2.0,190.8,31.43,95.4,331.04
2020-05-22,163.376,-159.37,2.0,190.8,31.43,95.4,326.752
2020-05-26,163.774,-159.37,2.0,190.8,31.43,95.4,327.548
2020-05-27,164.046,-159.37,2.0,190.8,31.43,95.4,328.092
2020-05-28,161.162,-159.37,2.0,190.8,31.43,95.4,322.324
2020-05-29,167.0,-159.37,2.0,190.8,31.43,95.4,334.0
2020-06-01,179.62,-159.37,2.0,190.8,31.43,95.4,359.24
2020-06-02,176.312,-159.37,2.0,190.8,31.43,95.4,352.624
2020-06-03,176.592,-159.37,2.0,190.8,31.43,95.4,353.184
2020-06-04,172.876,-159.37,2.0,190.8,31.43,95.4,345.752
2020-06-05,177.132,-159.37,2.0,190.8,31.43,95.4,354.264
2020-06-08,189.984,-159.37,2.0,190.8,31.43,95.4,379.968
2020-06-09,188.134,-159.37,2.0,190.8,31.43,95.4,376.268
2020-06-10,205.01,-230.4,2.35,261.83,31.43,111.417,481.773
2020-06-11,194.568,-230.4,2.35,261.83,31.43,111.417,457.235
2020-06-12,187.056,-230.4,2.35,261.83,31.43,111.417,439.582
2020-06-15,198.18,-230.4,2.35,261.83,31.43,111.417,465.723
2020-06-16,196.426,-230.4,2.35,261.83,31.43,111.417,461.601
2020-06-17,198.358,-230.4,2.35,261.83,31.43,111.417,466.141
2020-06-18,200.792,-230.4,2.35,261.83,31.43,111.417,471.861
2020-06-19,200.18,-230.4,2.35,261.83,31.43,111.417,470.423
2020-06-22,198.864,-230.4,2.35,261.83,31.43,111.417,467.33
2020-06-23,200.356,-230.4,2.35,261.83,31.43,111.417,470.837
2020-06-24,192.17,-230.4,2.35,261.83,31.43,111.417,451.599
2020-06-25,197.196,-230.4,2.35,261.83,31.43,111.417,463.411
2020-06-26,191.948,-230.4,2.35,261.83,31.43,111.417,451.078
2020-06-29,201.87,-230.4,2.35,261.83,31.43,111.417,474.394
2020-06-30,215.962,-230.4,2.35,261.83,31.43,111.417,507.511
2020-07-01,223.926,-230.4,2.35,261.83,31.43,111.417,526.226
2020-07-02,241.732,-230.4,2.35,261.83,31.43,111.417,568.07
2020-07-06,274.316,-230.4,2.35,261.83,31.43,111.417,644.643
2020-07-07,277.972,-230.4,2.35,261.83,31.43,111.417,653.234
2020-07-08,273.176,-230.4,2.35,261.83,31.43,111.417,641.964
2020-07-09,278.856,-230.4,2.35,261.83,31.43,111.417,655.312
2020-07-10,308.93,-230.4,2.35,261.83,31.43,111.417,725.985
2020-07-13,299.412,414.46,0.35,38.996,422.026,111.417,104.794
2020-07-14,303.36,414.46,0.35,38.996,422.026,111.417,106.176
2020-07-15,309.202,414.46,0.35,38.996,422.026,111.417,108.221
2020-07-16,300.128,414.46,0.35,38.996,422.026,111.417,105.045
2020-07-17,300.168,414.46,0.35,38.996,422.026,111.417,105.059
2020-07-20,328.6,414.46,0.35,38.996,422.026,111.417,115.01
2020-07-21,313.672,414.46,0.35,38.996,422.026,111.417,109.785
2020-07-22,318.466,414.46,0.35,38.996,422.026,111.417,111.463
2020-07-23,302.614,414.46,0.35,38.996,422.026,111.417,105.915
2020-07-24,283.4,129.06,1.35,324.396,422.026,240.293,382.59
2020-07-27,307.92,129.06,1.35,324.396,422.026,240.293,415.692
2020-07-28,295.298,129.06,1.35,324.396,422.026,240.293,398.652
2020-07-29,299.822,129.06,1.35,324.396,422.026,240.293,404.76
2020-07-30,297.498,129.06,1.35,324.396,422.026,240.293,401.622
2020-07-31,286.152,129.06,1.35,324.396,422.026,240.293,386.305
2020-08-03,297.0,129.06,1.35,324.396,422.026,240.293,400.95
2020-08-04,297.4,129.06,1.35,324.396,422.026,240.293,401.49
2020-08-05,297.004,129.06,1.35,324.396,422.026,240.293,400.955
2020-08-06,297.916,129.06,1.35,324.396,422.026,240.293,402.187
2020-08-07,290.542,129.06,1.35,324.396,422.026,240.293,392.232
2020-08-10,283.714,129.06,1.35,324.396,422.026,240.293,383.014
2020-08-11,274.878,129.06,1.35,324.396,422.026,240.293,371.085
2020-08-12,310.952,129.06,1.35,324.396,422.026,240.293,419.785
2020-08-13,324.2,129.06,1.35,324.396,422.026,240.293,437.67
2020-08-14,330.142,129.06,1.35,324.396,422.026,240.293,445.692
2020-08-17,367.128,129.06,1.35,324.396,422.026,240.293,495.623
2020-08-18,377.418,129.06,1.35,324.396,422.026,240.293,509.514
2020-08-19,375.706,129.06,1.35,324.396,422.026,240.293,507.203
2020-08-20,400.366,129.06,1.35,324.396,422.026,240.293,540.494
2020-08-21,409.996,129.06,1.35,324.396,422.026,240.293,553.495
2020-08-24,402.84,129.06,1.35,324.396,422.026,240.293,543.834
2020-08-25,404.668,129.06,1.35,324.396,422.026,240.293,546.302
2020-08-26,430.634,129.06,1.35,324.396,422.026,240.293,581.356
2020-08-27,447.75,129.06,1.35,324.396,422.026,240.293,604.463
2020-08-28,442.68,129.06,1.35,324.396,422.026,240.293,597.618
2020-08-31,498.32,129.06,1.35,324.396,422.026,240.293,672.732
2020-09-01,475.05,129.06,1.35,324.396,422.026,240.293,641.317
2020-09-02,447.37,129.06,1.35,324.396,422.026,240.293,603.949
2020-09-03,407.0,129.06,1.35,324.396,422.026,240.293,549.45
2020-09-04,418.32,66.29,1.5,387.166,422.026,258.111,627.48
2020-09-08,330.21,66.29,1.5,387.166,422.026,258.111,495.315
2020-09-09,366.28,66.29,1.5,387.166,422.026,258.111,549.42
2020-09-10,371.34,66.29,1.5,387.166,422.026,258.111,557.01
2020-09-11,372.72,66.29,1.5,387.166,422.026,258.111,559.08
2020-09-14,419.62,66.29,1.5,387.166,422.026,258.111,629.43
2020-09-15,449.76,66.29,1.5,387.166,422.026,258.111,674.64
2020-09-16,441.76,66.29,1.5,387.166,422.026,258.111,662.64
2020-09-17,423.43,66.29,1.5,387.166,422.026,258.111,635.145
2020-09-18,442.15,66.29,1.5,387.166,422.026,258.111,663.225
2020-09-21,449.39,66.29,1.5,387.166,422.026,258.111,674.085
2020-09-22,424.23,66.29,1.5,387.166,422.026,258.111,636.345
2020-09-23,380.36,66.29,1.5,387.166,422.026,258.111,570.54
2020-09-24,387.79,66.29,1.5,387.166,422.026,258.111,581.685
2020-09-25,407.34,66.29,1.5,387.166,422.026,258.111,611.01
2020-09-28,421.2,66.29,1.5,387.166,422.026,258.111,631.8
2020-09-29,419.07,66.29,1.5,387.166,422.026,258.111,628.605
2020-09-30,429.01,66.29,1.5,387.166,422.026,258.111,643.515
2020-10-01,448.16,66.29,1.5,387.166,422.026,258.111,672.24
2020-10-02,415.09,66.29,1.5,387.166,422.026,258.111,622.635
2020-10-05,425.68,66.29,1.5,387.166,422.026,258.111,638.52
2020-10-06,413.98,66.29,1.5,387.166,422.026,258.111,620.97
2020-10-07,425.3,66.29,1.5,387.166,422.026,258.111,637.95
2020-10-08,425.92,66.29,1.5,387.166,422.026,258.111,638.88
2020-10-09,434.0,66.29,1.5,387.166,422.026,258.111,651.0
2020-10-12,442.3,66.29,1.5,387.166,422.026,258.111,663.45
2020-10-13,446.65,66.29,1.5,387.166,422.026,258.111,669.975
2020-10-14,461.3,66.29,1.5,387.166,422.026,258.111,691.95
2020-10-15,448.88,66.29,1.5,387.166,422.026,258.111,673.32
2020-10-16,439.67,66.29,1.5,387.166,422.026,258.111,659.505
2020-10-19,430.83,66.29,1.5,387.166,422.026,258.111,646.245
2020-10-20,421.94,66.29,1.5,387.166,422.026,258.111,632.91
2020-10-21,422.64,66.29,1.5,387.166,422.026,258.111,633.96
2020-10-22,425.79,66.29,1.5,387.166,422.026,258.111,638.685
2020-10-23,420.63,66.29,1.5,387.166,422.026,258.111,630.945
2020-10-26,420.28,66.29,1.5,387.166,422.026,258.111,630.42
2020-10-27,424.68,66.29,1.5,387.166,422.026,258.111,637.02
2020-10-28,406.02,66.29,1.5,387.166,422.026,258.111,609.03
2020-10-29,410.83,66.29,1.5,387.166,422.026,258.111,616.245
2020-10-30,388.04,66.29,1.5,387.166,422.026,258.111,582.06
2020-11-02,400.51,66.29,1.5,387.166,422.026,258.111,600.765
2020-11-03,423.9,66.29,1.5,387.166,422.026,258.111,635.85
2020-11-04,420.98,66.29,1.5,387.166,422.026,258.111,631.47
2020-11-05,438.09,66.29,1.5,387.166,422.026,258.111,657.135
2020-11-06,429.95,66.29,1.5,387.166,422.026,258.111,644.925
2020-11-09,421.26,66.29,1.5,387.166,422.026,258.111,631.89
2020-11-10,410.36,66.29,1.5,387.166,422.026,258.111,615.54
2020-11-11,417.13,66.29,1.5,387.166,422.026,258.111,625.695
2020-11-12,411.76,66.29,1.5,387.166,422.026,258.111,617.64
2020-11-13,408.5,66.29,1.5,387.166,422.026,258.111,612.75
2020-11-16,408.09,66.29,1.5,387.166,422.026,258.111,612.135
2020-11-17,441.61,66.29,1.5,387.166,422.026,258.111,662.415
2020-11-18,486.64,66.29,1.5,387.166,422.026,258.111,729.96
2020-11-19,499.27,66.29,1.5,387.166,422.026,258.111,748.905
2020-11-20,489.61,66.29,1.5,387.166,422.026,258.111,734.415
2020-11-23,521.85,66.29,1.5,387.166,422.026,258.111,782.775
2020-11-24,555.38,66.29,1.5,387.166,422.026,258.111,833.07
2020-11-25,574.0,66.29,1.5,387.166,422.026,258.111,861.0
2020-11-27,585.76,66.29,1.5,387.166,422.026,258.111,878.64
2020-11-30,567.6,66.29,1.5,387.166,422.026,258.111,851.4
2020-12-01,584.76,66.29,1.5,387.166,422.026,258.111,877.14
2020-12-02,568.82,66.29,1.5,387.166,422.026,258.111,853.23
2020-12-03,593.38,66.29,1.5,387.166,422.026,258.111,890.07
2020-12-04,599.04,66.29,1.5,387.166,422.026,258.111,898.56
2020-12-07,641.76,66.29,1.5,387.166,422.026,258.111,962.64
2020-12-08,649.88,66.29,1.5,387.166,422.026,258.111,974.82
2020-12-09,604.48,66.29,1.5,387.166,422.026,258.111,906.72
2020-12-10,627.07,66.29,1.5,387.166,422.026,258.111,940.605
2020-12-11,609.99,66.29,1.5,387.166,422.026,258.111,914.985
2020-12-14,639.83,66.29,1.5,387.166,422.026,258.111,959.745
2020-12-15,633.25,66.29,1.5,387.166,422.026,258.111,949.875
2020-12-16,622.77,66.29,1.5,387.166,422.026,258.111,934.155
2020-12-17,655.9,66.29,1.5,387.166,422.026,258.111,983.85
2020-12-18,695.0,66.29,1.5,387.166,422.026,258.111,1042.5
2020-12-21,649.86,66.29,1.5,387.166,422.026,258.111,974.79
2020-12-22,640.34,66.29,1.5,387.166,422.026,258.111,960.51
2020-12-23,645.98,66.29,1.5,387.166,422.026,258.111,968.97
2020-12-24,661.77,66.29,1.5,387.166,422.026,258.111,992.655
2020-12-28,663.69,66.29,1.5,387.166,422.026,258.111,995.535
2020-12-29,665.99,66.29,1.5,387.166,422.026,258.111,998.985
2020-12-30,694.78,66.29,1.5,387.166,422.026,258.111,1042.17
2020-12-31,705.67,66.29,1.5,387.166,422.026,258.111,1058.505
2021-01-04,729.77,66.29,1.5,387.166,422.026,258.111,1094.655
2021-01-05,735.11,66.29,1.5,387.166,422.026,258.111,1102.665
2021-01-06,755.98,66.29,1.5,387.166,422.026,258.111,1133.97
2021-01-07,816.04,66.29,1.5,387.166,422.026,258.111,1224.06
2021-01-08,880.02,66.29,1.5,387.166,422.026,258.111,1320.03
2021-01-11,811.19,66.29,1.5,387.166,422.026,258.111,1216.785
2021-01-12,849.44,66.29,1.5,387.166,422.026,258.111,1274.16
2021-01-13,854.41,66.29,1.5,387.166,422.026,258.111,1281.615
2021-01-14,845.0,66.29,1.5,387.166,422.026,258.111,1267.5
2021-01-15,826.16,66.29,1.5,387.166,422.026,258.111,1239.24
2021-01-19,844.55,66.29,1.5,387.166,422.026,258.111,1266.825
2021-01-20,850.45,66.29,1.5,387.166,422.026,258.111,1275.675
2021-01-21,844.99,66.29,1.5,387.166,422.026,258.111,1267.485
2021-01-22,846.64,66.29,1.5,387.166,422.026,258.111,1269.96
2021-01-25,880.8,66.29,1.5,387.166,422.026,258.111,1321.2
2021-01-26,883.09,66.29,1.5,387.166,422.026,258.111,1324.635
2021-01-27,864.16,66.29,1.5,387.166,422.026,258.111,1296.24
2021-01-28,835.43,66.29,1.5,387.166,422.026,258.111,1253.145
2021-01-29,793.53,66.29,1.5,387.166,422.026,258.111,1190.295
2021-02-01,839.81,66.29,1.5,387.166,422.026,258.111,1259.715
2021-02-02,872.79,66.29,1.5,387.166,422.026,258.111,1309.185
2021-02-03,854.69,66.29,1.5,387.166,422.026,258.111,1282.035
2021-02-04,849.99,66.29,1.5,387.166,422.026,258.111,1274.985
2021-02-05,852.23,66.29,1.5,387.166,422.026,258.111,1278.345
2021-02-08,863.42,66.29,1.5,387.166,422.026,258.111,1295.13
2021-02-09,849.46,66.29,1.5,387.166,422.026,258.111,1274.19
2021-02-10,804.82,66.29,1.5,387.166,422.026,258.111,1207.23
2021-02-11,811.66,66.29,1.5,387.166,422.026,258.111,1217.49
2021-02-12,816.12,66.29,1.5,387.166,422.026,258.111,1224.18
2021-02-16,796.22,66.29,1.5,387.166,422.026,258.111,1194.33
2021-02-17,798.15,66.29,1.5,387.166,422.026,258.111,1197.225
2021-02-18,787.38,66.29,1.5,387.166,422.026,258.111,1181.07
2021-02-19,781.3,66.29,1.5,387.166,422.026,258.111,1171.95
2021-02-22,714.5,66.29,1.5,387.166,422.026,258.111,1071.75
2021-02-23,698.84,66.29,1.5,387.166,422.026,258.111,1048.26
2021-02-24,742.02,66.29,1.5,387.166,422.026,258.111,1113.03
2021-02-25,682.22,66.29,1.5,387.166,422.026,258.111,1023.33
2021-02-26,675.5,66.29,1.5,387.166,422.026,258.111,1013.25
2021-03-01,718.43,66.29,1.5,387.166,422.026,258.111,1077.645
2021-03-02,686.44,66.29,1.5,387.166,422.026,258.111,1029.66
2021-03-03,653.2,66.29,1.5,387.166,422.026,258.111,979.8
2021-03-04,621.44,66.29,1.5,387.166,422.026,258.111,932.16
2021-03-05,597.95,66.29,1.5,387.166,422.026,258.111,896.925
2021-03-08,563.0,66.29,1.5,387.166,422.026,258.111,844.5
2021-03-09,673.58,66.29,1.5,387.166,422.026,258.111,1010.37
2021-03-10,668.06,66.29,1.5,387.166,422.026,258.111,1002.09
2021-03-11,699.6,66.29,1.5,387.166,422.026,258.111,1049.4
2021-03-12,693.73,66.29,1.5,387.166,422.026,258.111,1040.595
2021-03-15,707.94,66.29,1.5,387.166,422.026,258.111,1061.91
2021-03-16,676.88,66.29,1.5,387.166,422.026,258.111,1015.32
2021-03-17,701.81,66.29,1.5,387.166,422.026,258.111,1052.715
2021-03-18,653.16,66.29,1.5,387.166,422.026,258.111,979.74
2021-03-19,654.87,66.29,1.5,387.166,422.026,258.111,982.305
2021-03-22,670.0,66.29,1.5,387.166,422.026,258.111,1005.0
2021-03-23,662.16,66.29,1.5,387.166,422.026,258.111,993.24
2021-03-24,630.27,66.29,1.5,387.166,422.026,258.111,945.405
2021-03-25,640.39,66.29,1.5,387.166,422.026,258.111,960.585
2021-03-26,618.71,66.29,1.5,387.166,422.026,258.111,928.065
2021-03-29,611.29,66.29,1.5,387.166,422.026,258.111,916.935
2021-03-30,635.62,66.29,1.5,387.166,422.026,258.111,953.43
2021-03-31,667.93,66.29,1.5,387.166,422.026,258.111,1001.895
2021-04-01,661.75,66.29,1.5,387.166,422.026,258.111,992.625
2021-04-05,691.05,66.29,1.5,387.166,422.026,258.111,1036.575
2021-04-06,691.62,66.29,1.5,387.166,422.026,258.111,1037.43
2021-04-07,670.97,66.29,1.5,387.166,422.026,258.111,1006.455
2021-04-08,683.8,66.29,1.5,387.166,422.026,258.111,1025.7
2021-04-09,677.02,66.29,1.5,387.166,422.026,258.111,1015.53
2021-04-12,701.98,66.29,1.5,387.166,422.026,258.111,1052.97
2021-04-13,762.32,66.29,1.5,387.166,422.026,258.111,1143.48
2021-04-14,732.23,66.29,1.5,387.166,422.026,258.111,1098.345
2021-04-15,738.85,66.29,1.5,387.166,422.026,258.111,1108.275
2021-04-16,739.78,66.29,1.5,387.166,422.026,258.111,1109.67
2021-04-19,714.63,66.29,1.5,387.166,422.026,258.111,1071.945
2021-04-20,718.99,66.29,1.5,387.166,422.026,258.111,1078.485
2021-04-21,744.12,66.29,1.5,387.166,422.026,258.111,1116.18
2021-04-22,719.69,66.29,1.5,387.166,422.026,258.111,1079.535
2021-04-23,729.4,66.29,1.5,387.166,422.026,258.111,1094.1
2021-04-26,738.2,66.29,1.5,387.166,422.026,258.111,1107.3
2021-04-27,704.74,66.29,1.5,387.166,422.026,258.111,1057.11
2021-04-28,694.4,66.29,1.5,387.166,422.026,258.111,1041.6
2021-04-29,677.0,66.29,1.5,387.166,422.026,258.111,1015.5
2021-04-30,709.44,66.29,1.5,387.166,422.026,258.111,1064.16
2021-05-03,684.9,66.29,1.5,387.166,422.026,258.111,1027.35
2021-05-04,673.6,66.29,1.5,387.166,422.026,258.111,1010.4
2021-05-05,670.94,66.29,1.5,387.166,422.026,258.111,1006.41
2021-05-06,663.54,66.29,1.5,387.166,422.026,258.111,995.31
2021-05-07,672.37,66.29,1.5,387.166,422.026,258.111,1008.555
2021-05-10,629.04,66.29,1.5,387.166,422.026,258.111,943.56
2021-05-11,617.2,66.29,1.5,387.166,422.026,258.111,925.8
2021-05-12,589.89,66.29,1.5,387.166,422.026,258.111,884.835
2021-05-13,571.69,66.29,1.5,387.166,422.026,258.111,857.535
2021-05-14,589.74,66.29,1.5,387.166,422.026,258.111,884.61
2021-05-17,576.83,66.29,1.5,387.166,422.026,258.111,865.245
2021-05-18,577.87,66.29,1.5,387.166,422.026,258.111,866.805
2021-05-19,563.46,66.29,1.5,387.166,422.026,258.111,845.19
2021-05-20,586.78,66.29,1.5,387.166,422.026,258.111,880.17
2021-05-21,580.88,66.29,1.5,387.166,422.026,258.111,871.32
2021-05-24,606.44,66.29,1.5,387.166,422.026,258.111,909.66
2021-05-25,604.69,66.29,1.5,387.166,422.026,258.111,907.035
2021-05-26,619.13,66.29,1.5,387.166,422.026,258.111,928.695
2021-05-27,630.85,66.29,1.5,387.166,422.026,258.111,946.275
2021-05-28,625.22,66.29,1.5,387.166,422.026,258.111,937.83
2021-06-01,623.9,66.29,1.5,387.166,422.026,258.111,935.85
2021-06-02,605.12,66.29,1.5,387.166,422.026,258.111,907.68
2021-06-03,572.84,66.29,1.5,387.166,422.026,258.111,859.26
2021-06-04,599.05,66.29,1.5,387.166,422.026,258.111,898.575
2021-06-07,605.13,66.29,1.5,387.166,422.026,258.111,907.695
2021-06-08,603.59,66.29,1.5,387.166,422.026,258.111,905.385
2021-06-09,598.78,66.29,1.5,387.166,422.026,258.111,898.17
2021-06-10,610.12,66.29,1.5,387.166,422.026,258.111,915.18
2021-06-11,609.89,66.29,1.5,387.166,422.026,258.111,914.835
2021-06-14,617.69,66.29,1.5,387.166,422.026,258.111,926.535
2021-06-15,599.36,66.29,1.5,387.166,422.026,258.111,899.04
2021-06-16,604.87,66.29,1.5,387.166,422.026,258.111,907.305
2021-06-17,616.6,66.29,1.5,387.166,422.026,258.111,924.9
2021-06-18,623.31,66.29,1.5,387.166,422.026,258.111,934.965
2021-06-21,620.83,66.29,1.5,387.166,422.026,258.111,931.245
2021-06-22,623.71,66.29,1.5,387.166,422.026,258.111,935.565
2021-06-23,656.57,66.29,1.5,387.166,422.026,258.111,984.855
2021-06-24,679.82,66.29,1.5,387.166,422.026,258.111,1019.73
2021-06-25,671.87,66.29,1.5,387.166,422.026,258.111,1007.805
2021-06-28,688.72,66.29,1.5,387.166,422.026,258.111,1033.08
2021-06-29,680.76,66.29,1.5,387.166,422.026,258.111,1021.14
2021-06-30,679.7,66.29,1.5,387.166,422.026,258.111,1019.55
2021-07-01,677.92,66.29,1.5,387.166,422.026,258.111,1016.88
2021-07-02,678.9,66.29,1.5,387.166,422.026,258.111,1018.35
2021-07-06,659.58,66.29,1.5,387.166,422.026,258.111,989.37
2021-07-07,644.65,66.29,1.5,387.166,422.026,258.111,966.975
2021-07-08,652.81,66.29,1.5,387.166,422.026,258.111,979.215
2021-07-09,656.95,66.29,1.5,387.166,422.026,258.111,985.425
2021-07-12,685.7,66.29,1.5,387.166,422.026,258.111,1028.55
2021-07-13,668.54,66.29,1.5,387.166,422.026,258.111,1002.81
2021-07-14,653.38,66.29,1.5,387.166,422.026,258.111,980.07
2021-07-15,650.6,66.29,1.5,387.166,422.026,258.111,975.9
2021-07-16,644.22,66.29,1.5,387.166,422.026,258.111,966.33
2021-07-19,646.22,66.29,1.5,387.166,422.026,258.111,969.33
