date,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue
2019-03-14,4.01,-4991.0,310.0,4991.0,446.4,16.1,1243.1
2019-03-15,4.05,-4991.0,310.0,4991.0,446.4,16.1,1255.5
2019-03-18,3.92,-4991.0,310.0,4991.0,446.4,16.1,1215.2
2019-03-19,3.9,-4991.0,310.0,4991.0,446.4,16.1,1209.0
2019-03-20,3.92,-4991.0,310.0,4991.0,446.4,16.1,1215.2
2019-03-21,3.92,-4991.0,310.0,4991.0,446.4,16.1,1215.2
2019-03-22,3.84,-4991.0,310.0,4991.0,446.4,16.1,1190.4
2019-03-25,3.68,-4991.0,310.0,4991.0,446.4,16.1,1140.8
2019-03-26,3.65,-4991.0,310.0,4991.0,446.4,16.1,1131.5
2019-03-27,3.69,-4991.0,310.0,4991.0,446.4,16.1,1143.9
2019-03-28,3.6,-4991.0,310.0,4991.0,446.4,16.1,1116.0
2019-03-29,3.56,-4991.0,310.0,4991.0,446.4,16.1,1103.6
2019-04-01,3.77,-4991.0,310.0,4991.0,446.4,16.1,1168.7
2019-04-02,3.69,-4991.0,310.0,4991.0,446.4,16.1,1143.9
2019-04-03,3.66,-4991.0,310.0,4991.0,446.4,16.1,1134.6
2019-04-04,3.6,-4991.0,310.0,4991.0,446.4,16.1,1116.0
2019-04-05,3.69,-4991.0,310.0,4991.0,446.4,16.1,1143.9
2019-04-08,3.56,-4991.0,310.0,4991.0,446.4,16.1,1103.6
2019-04-09,3.77,-4991.0,310.0,4991.0,446.4,16.1,1168.7
