date,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue
2019-01-01,0.0,-4995.62,42.017,5418.07,0.0,128.95,0.0
2019-01-02,41.9,-4995.62,42.017,5418.07,0.0,128.95,1760.504
2019-01-03,41.28,-4995.62,42.017,5418.07,0.0,128.95,1734.454
2019-01-04,41.75,-4995.62,42.017,5418.07,0.0,128.95,1754.202
2019-01-07,41.13,-4995.62,42.017,5418.07,0.0,128.95,1728.151
2019-01-08,40.92,-4995.62,42.017,5418.07,0.0,128.95,1719.328
2019-01-09,41.88,-4995.62,42.017,5418.07,0.0,128.95,1759.664
2019-01-10,40.88,-4995.62,42.017,5418.07,0.0,128.95,1717.647
2019-01-11,41.08,-4995.62,42.017,5418.07,0.0,128.95,1726.05
2019-01-14,40.14,-4995.62,42.017,5418.07,0.0,128.95,1686.555
2019-01-15,41.5,-4995.62,42.017,5418.07,0.0,128.95,1743.697
2019-01-16,42.35,-4995.62,42.017,5418.07,0.0,128.95,1779.412
2019-01-17,42.51,-4995.62,42.017,5418.07,0.0,128.95,1786.134
2019-01-18,41.98,-4995.62,42.017,5418.07,0.0,128.95,1763.866
2019-01-22,40.51,-4995.62,42.017,5418.07,0.0,128.95,1702.101
2019-01-23,40.19,-4995.62,42.017,5418.07,0.0,128.95,1688.655
2019-01-24,40.44,-4995.62,42.017,5418.07,0.0,128.95,1699.16
2019-01-25,41.36,-4995.62,42.017,5418.07,0.0,128.95,1737.815
2019-01-28,40.95,-4995.62,42.017,5418.07,0.0,128.95,1720.588
2019-01-29,41.16,-4995.62,42.017,5418.07,0.0,128.95,1729.412
2019-01-30,41.84,-4995.62,42.017,5418.07,0.0,128.95,1757.983
2019-01-31,42.71,-4995.62,42.017,5418.07,0.0,128.95,1794.538
2019-02-01,42.95,-4995.62,42.017,5418.07,0.0,128.95,1804.622
2019-02-04,42.92,-4995.62,42.017,5418.07,0.0,128.95,1803.361
2019-02-05,43.39,-4995.62,42.017,5418.07,0.0,128.95,1823.109
2019-02-06,43.47,-4995.62,42.017,5418.07,0.0,128.95,1826.471
2019-02-07,42.7,-4995.62,42.017,5418.07,0.0,128.95,1794.118
2019-02-08,40.94,-4995.62,42.017,5418.07,0.0,128.95,1720.168
2019-02-11,40.99,-4995.62,42.017,5418.07,0.0,128.95,1722.269
2019-02-12,40.48,-4995.62,42.017,5418.07,0.0,128.95,1700.84
2019-02-13,40.67,-4995.62,42.017,5418.07,0.0,128.95,1708.823
2019-02-14,40.75,-4995.62,42.017,5418.07,0.0,128.95,1712.185
2019-02-15,40.9,-4995.62,42.017,5418.07,0.0,128.95,1718.487
2019-02-19,40.73,-4995.62,42.017,5418.07,0.0,128.95,1711.345
2019-02-20,40.47,-4995.62,42.017,5418.07,0.0,128.95,1700.42
2019-02-21,39.68,-4995.62,42.017,5418.07,0.0,128.95,1667.227
2019-02-22,40.44,-4995.62,42.017,5418.07,0.0,128.95,1699.16
