date,NVAX_adj_close,NVAX_cashflow,NVAX_cml_units,NVAX_cml_cost,NVAX_gain_loss,NVAX_avg_price,NVAX_mktvalue,KIRK_adj_close,KIRK_cashflow,KIRK_cml_units,KIRK_cml_cost,KIRK_gain_loss,KIRK_avg_price,KIRK_mktvalue,RIOT_adj_close,RIOT_cashflow,RIOT_cml_units,RIOT_cml_cost,RIOT_gain_loss,RIOT_avg_price,RIOT_mktvalue,BLNK_adj_close,BLNK_cashflow,BLNK_cml_units,BLNK_cml_cost,BLNK_gain_loss,BLNK_avg_price,BLNK_mktvalue,NIO_adj_close,NIO_cashflow,NIO_cml_units,NIO_cml_cost,NIO_gain_loss,NIO_avg_price,NIO_mktvalue,LUMO_adj_close,LUMO_cashflow,LUMO_cml_units,LUMO_cml_cost,LUMO_gain_loss,LUMO_avg_price,LUMO_mktvalue
2020-01-01,0.0,-4998.88,1666.667,4998.88,0.0,2.999,0.0,0.0,-4999.68,5000.0,4999.68,0.0,1.0,0.0,0.0,-4999.68,5000.0,4999.68,0.0,1.0,0.0,0.0,-4999.68,5000.0,4999.68,0.0,1.0,0.0,0.0,-4996.86,1250.0,4996.86,0.0,3.997,0.0,0.0,-4999.28,2500.0,4999.28,0.0,2.0,0.0
2020-01-02,4.49,-4998.88,1666.667,4998.88,0.0,2.999,7483.333,1.23,-4999.68,5000.0,4999.68,0.0,1.0,6150.0,1.22,-4999.68,5000.0,4999.68,0.0,1.0,6100.0,1.89,-4999.68,5000.0,4999.68,0.0,1.0,9450.0,3.72,-4996.86,1250.0,4996.86,0.0,3.997,4650.0,2.26,-4999.28,2500.0,4999.28,0.0,2.0,5650.0
2020-01-03,4.44,-4998.88,1666.667,4998.88,0.0,2.999,7400.0,1.23,-4999.68,5000.0,4999.68,0.0,1.0,6150.0,1.18,-4999.68,5000.0,4999.68,0.0,1.0,5900.0,1.93,-4999.68,5000.0,4999.68,0.0,1.0,9650.0,3.83,-4996.86,1250.0,4996.86,0.0,3.997,4787.5,2.21,-4999.28,2500.0,4999.28,0.0,2.0,5525.0
2020-01-06,4.58,-4998.88,1666.667,4998.88,0.0,2.999,7633.333,1.27,-4999.68,5000.0,4999.68,0.0,1.0,6350.0,1.3,-4999.68,5000.0,4999.68,0.0,1.0,6500.0,1.91,-4999.68,5000.0,4999.68,0.0,1.0,9550.0,3.68,-4996.86,1250.0,4996.86,0.0,3.997,4600.0,2.22,-4999.28,2500.0,4999.28,0.0,2.0,5550.0
2020-01-07,4.57,-4998.88,1666.667,4998.88,0.0,2.999,7616.667,1.36,-4999.68,5000.0,4999.68,0.0,1.0,6800.0,1.49,-4999.68,5000.0,4999.68,0.0,1.0,7450.0,1.913,-4999.68,5000.0,4999.68,0.0,1.0,9565.0,3.24,-4996.86,1250.0,4996.86,0.0,3.997,4050.0,2.12,-4999.28,2500.0,4999.28,0.0,2.0,5300.0
2020-01-08,4.28,-4998.88,1666.667,4998.88,0.0,2.999,7133.334,1.34,-4999.68,5000.0,4999.68,0.0,1.0,6700.0,1.37,-4999.68,5000.0,4999.68,0.0,1.0,6850.0,1.89,-4999.68,5000.0,4999.68,0.0,1.0,9450.0,3.39,-4996.86,1250.0,4996.86,0.0,3.997,4237.5,2.12,-4999.28,2500.0,4999.28,0.0,2.0,5300.0
2020-01-09,4.01,-4998.88,1666.667,4998.88,0.0,2.999,6683.334,1.28,-4999.68,5000.0,4999.68,0.0,1.0,6400.0,1.33,-4999.68,5000.0,4999.68,0.0,1.0,6650.0,1.88,-4999.68,5000.0,4999.68,0.0,1.0,9400.0,3.46,-4996.86,1250.0,4996.86,0.0,3.997,4325.0,2.19,-4999.28,2500.0,4999.28,0.0,2.0,5475.0
2020-01-10,3.93,-4998.88,1666.667,4998.88,0.0,2.999,6550.0,1.27,-4999.68,5000.0,4999.68,0.0,1.0,6350.0,1.41,-4999.68,5000.0,4999.68,0.0,1.0,7050.0,1.975,-4999.68,5000.0,4999.68,0.0,1.0,9875.0,3.51,-4996.86,1250.0,4996.86,0.0,3.997,4387.5,2.1,-4999.28,2500.0,4999.28,0.0,2.0,5250.0
2020-01-13,3.95,-4998.88,1666.667,4998.88,0.0,2.999,6583.333,1.23,-4999.68,5000.0,4999.68,0.0,1.0,6150.0,1.36,-4999.68,5000.0,4999.68,0.0,1.0,6800.0,1.93,-4999.68,5000.0,4999.68,0.0,1.0,9650.0,3.7,-4996.86,1250.0,4996.86,0.0,3.997,4625.0,1.97,-4999.28,2500.0,4999.28,0.0,2.0,4925.0
2020-01-14,3.99,-4998.88,1666.667,4998.88,0.0,2.999,6650.0,1.2,-4999.68,5000.0,4999.68,0.0,1.0,6000.0,1.42,-4999.68,5000.0,4999.68,0.0,1.0,7100.0,2.03,-4999.68,5000.0,4999.68,0.0,1.0,10150.0,3.76,-4996.86,1250.0,4996.86,0.0,3.997,4700.0,1.99,-4999.28,2500.0,4999.28,0.0,2.0,4975.0
2020-01-15,4.38,-4998.88,1666.667,4998.88,0.0,2.999,7300.0,1.21,-4999.68,5000.0,4999.68,0.0,1.0,6050.0,1.4,-4999.68,5000.0,4999.68,0.0,1.0,7000.0,2.09,-4999.68,5000.0,4999.68,0.0,1.0,10450.0,4.29,-4996.86,1250.0,4996.86,0.0,3.997,5362.5,1.99,-4999.28,2500.0,4999.28,0.0,2.0,4975.0
2020-01-16,4.78,-4998.88,1666.667,4998.88,0.0,2.999,7966.667,1.27,-4999.68,5000.0,4999.68,0.0,1.0,6350.0,1.43,-4999.68,5000.0,4999.68,0.0,1.0,7150.0,2.14,-4999.68,5000.0,4999.68,0.0,1.0,10700.001,4.37,-4996.86,1250.0,4996.86,0.0,3.997,5462.5,1.99,-4999.28,2500.0,4999.28,0.0,2.0,4975.0
2020-01-17,5.74,-4998.88,1666.667,4998.88,0.0,2.999,9566.666,1.6,-4999.68,5000.0,4999.68,0.0,1.0,8000.0,1.46,-4999.68,5000.0,4999.68,0.0,1.0,7300.0,2.05,-4999.68,5000.0,4999.68,0.0,1.0,10250.0,4.67,-4996.86,1250.0,4996.86,0.0,3.997,5837.5,2.04,-4999.28,2500.0,4999.28,0.0,2.0,5100.0
2020-01-21,9.82,-4998.88,1666.667,4998.88,0.0,2.999,16366.666,1.64,-4999.68,5000.0,4999.68,0.0,1.0,8200.0,1.4,-4999.68,5000.0,4999.68,0.0,1.0,7000.0,2.1,-4999.68,5000.0,4999.68,0.0,1.0,10500.0,5.17,-4996.86,1250.0,4996.86,0.0,3.997,6462.5,2.26,-4999.28,2500.0,4999.28,0.0,2.0,5650.0
2020-01-22,7.09,-4998.88,1666.667,4998.88,0.0,2.999,11816.667,1.51,-4999.68,5000.0,4999.68,0.0,1.0,7550.0,1.34,-4999.68,5000.0,4999.68,0.0,1.0,6700.0,2.05,-4999.68,5000.0,4999.68,0.0,1.0,10250.0,4.79,-4996.86,1250.0,4996.86,0.0,3.997,5987.5,2.04,-4999.28,2500.0,4999.28,0.0,2.0,5100.0
2020-01-23,7.66,-4998.88,1666.667,4998.88,0.0,2.999,12766.666,1.53,-4999.68,5000.0,4999.68,0.0,1.0,7650.0,1.26,-4999.68,5000.0,4999.68,0.0,1.0,6300.0,2.12,-4999.68,5000.0,4999.68,0.0,1.0,10599.999,4.92,-4996.86,1250.0,4996.86,0.0,3.997,6150.0,2.0,-4999.28,2500.0,4999.28,0.0,2.0,5000.0
2020-01-24,7.8,-4998.88,1666.667,4998.88,0.0,2.999,13000.0,1.42,-4999.68,5000.0,4999.68,0.0,1.0,7100.0,1.26,-4999.68,5000.0,4999.68,0.0,1.0,6300.0,2.04,-4999.68,5000.0,4999.68,0.0,1.0,10200.0,4.66,-4996.86,1250.0,4996.86,0.0,3.997,5825.0,1.82,-4999.28,2500.0,4999.28,0.0,2.0,4550.0
2020-01-27,8.5,-4998.88,1666.667,4998.88,0.0,2.999,14166.667,1.34,-4999.68,5000.0,4999.68,0.0,1.0,6700.0,1.24,-4999.68,5000.0,4999.68,0.0,1.0,6200.0,1.95,-4999.68,5000.0,4999.68,0.0,1.0,9750.0,4.01,-4996.86,1250.0,4996.86,0.0,3.997,5012.5,1.71,-4999.28,2500.0,4999.28,0.0,2.0,4275.0
2020-01-28,7.17,-4998.88,1666.667,4998.88,0.0,2.999,11950.0,1.3,-4999.68,5000.0,4999.68,0.0,1.0,6500.0,1.31,-4999.68,5000.0,4999.68,0.0,1.0,6550.0,1.95,-4999.68,5000.0,4999.68,0.0,1.0,9750.0,4.21,-4996.86,1250.0,4996.86,0.0,3.997,5262.5,1.72,-4999.28,2500.0,4999.28,0.0,2.0,4300.0
2020-01-29,6.84,-4998.88,1666.667,4998.88,0.0,2.999,11400.0,1.24,-4999.68,5000.0,4999.68,0.0,1.0,6200.0,1.31,-4999.68,5000.0,4999.68,0.0,1.0,6550.0,1.933,-4999.68,5000.0,4999.68,0.0,1.0,9665.0,4.27,-4996.86,1250.0,4996.86,0.0,3.997,5337.5,1.65,-4999.28,2500.0,4999.28,0.0,2.0,4125.0
2020-01-30,7.0,-4998.88,1666.667,4998.88,0.0,2.999,11666.667,1.24,-4999.68,5000.0,4999.68,0.0,1.0,6200.0,1.43,-4999.68,5000.0,4999.68,0.0,1.0,7150.0,1.92,-4999.68,5000.0,4999.68,0.0,1.0,9600.0,4.08,-4996.86,1250.0,4996.86,0.0,3.997,5100.0,1.63,-4999.28,2500.0,4999.28,0.0,2.0,4075.0
2020-01-31,7.62,-4998.88,1666.667,4998.88,0.0,2.999,12700.0,1.15,-4999.68,5000.0,4999.68,0.0,1.0,5750.0,1.35,-4999.68,5000.0,4999.68,0.0,1.0,6750.0,1.89,-4999.68,5000.0,4999.68,0.0,1.0,9450.0,3.78,-4996.86,1250.0,4996.86,0.0,3.997,4725.0,1.64,-4999.28,2500.0,4999.28,0.0,2.0,4100.0
2020-02-03,6.81,-4998.88,1666.667,4998.88,0.0,2.999,11350.0,1.18,-4999.68,5000.0,4999.68,0.0,1.0,5900.0,1.36,-4999.68,5000.0,4999.68,0.0,1.0,6800.0,2.07,-4999.68,5000.0,4999.68,0.0,1.0,10350.0,4.06,-4996.86,1250.0,4996.86,0.0,3.997,5075.0,1.66,-4999.28,2500.0,4999.28,0.0,2.0,4150.0
2020-02-04,7.01,-4998.88,1666.667,4998.88,0.0,2.999,11683.334,1.26,-4999.68,5000.0,4999.68,0.0,1.0,6300.0,1.38,-4999.68,5000.0,4999.68,0.0,1.0,6900.0,2.49,-4999.68,5000.0,4999.68,0.0,1.0,12450.0,4.51,-4996.86,1250.0,4996.86,0.0,3.997,5637.5,1.74,-4999.28,2500.0,4999.28,0.0,2.0,4350.0
2020-02-05,6.97,-4998.88,1666.667,4998.88,0.0,2.999,11616.666,1.22,-4999.68,5000.0,4999.68,0.0,1.0,6100.0,1.48,-4999.68,5000.0,4999.68,0.0,1.0,7400.0,2.25,-4999.68,5000.0,4999.68,0.0,1.0,11250.0,4.39,-4996.86,1250.0,4996.86,0.0,3.997,5487.5,1.75,-4999.28,2500.0,4999.28,0.0,2.0,4375.0
