date,HSBC_adj_close,HSBC_cashflow,HSBC_cml_units,HSBC_cml_cost,HSBC_gain_loss,HSBC_avg_price,HSBC_mktvalue
2019-01-02,0.0,-5000.0,122.309,5000.0,0.0,40.88,0.0
2019-01-10,0.0,66.66,120.395,5000.0,79.3,41.53,0.0
2019-02-25,0.0,-5000.0,124.825,5066.66,79.3,40.59,0.0
2019-04-03,0.0,191.1,119.075,5066.66,239.12,42.55,0.0
2019-05-14,0.0,-5000.0,123.158,5191.1,239.12,42.15,0.0
2019-07-01,0.0,108.14,123.981,5191.1,-34.16,41.87,0.0
2019-07-23,0.0,-5000.0,122.644,5108.14,-34.16,41.65,0.0
2019-09-10,0.0,-349.36,134.002,5108.14,-430.66,38.12,0.0
2019-10-08,0.0,-5000.0,126.79,4650.64,-430.66,36.68,0.0
2019-10-21,0.0,-223.7,118.79,4650.64,301.34,39.15,0.0
2019-11-05,0.0,-5000.0,124.286,4776.3,301.34,38.43,0.0
2019-11-07,0.0,-310.32,124.253,4776.3,1.22,38.44,0.0
2019-11-13,0.0,-5000.0,127.092,4689.68,1.22,36.9,0.0
2019-12-16,0.0,-251.76,120.495,4689.68,246.44,38.92,0.0
2020-01-02,36.819,-251.76,120.495,4689.68,246.44,38.92,4436.543
2020-01-03,36.249,-251.76,120.495,4689.68,246.44,38.92,4367.803
2020-01-06,36.127,-251.76,120.495,4689.68,246.44,38.92,4353.153
2020-01-07,35.856,-251.76,120.495,4689.68,246.44,38.92,4320.474
2020-01-08,35.772,-251.76,120.495,4689.68,246.44,38.92,4310.332
2020-01-09,36.006,-251.76,120.495,4689.68,246.44,38.92,4338.504
2020-01-10,35.669,-251.76,120.495,4689.68,246.44,38.92,4297.937
2020-01-13,36.024,-251.76,120.495,4689.68,246.44,38.92,4340.758
2020-01-14,35.893,-251.76,120.495,4689.68,246.44,38.92,4324.982
2020-01-15,35.865,-251.76,120.495,4689.68,246.44,38.92,4321.6
2020-01-16,36.118,-251.76,120.495,4689.68,246.44,38.92,4352.027
2020-01-17,36.258,-251.76,120.495,4689.68,246.44,38.92,4368.93
2020-01-21,35.472,-251.76,120.495,4689.68,246.44,38.92,4274.272
2020-01-22,35.603,-251.76,120.495,4689.68,246.44,38.92,4290.048
2020-01-23,35.276,-251.76,120.495,4689.68,246.44,38.92,4250.607
2020-01-24,35.089,-251.76,120.495,4689.68,246.44,38.92,4228.07
2020-01-27,34.144,-251.76,120.495,4689.68,246.44,38.92,4114.254
2020-01-28,34.35,-251.76,120.495,4689.68,246.44,38.92,4139.045
2020-01-29,34.322,-251.76,120.495,4689.68,246.44,38.92,4135.665
2020-01-30,34.64,-251.76,120.495,4689.68,246.44,38.92,4173.979
2020-01-31,33.939,-251.76,120.495,4689.68,246.44,38.92,4089.463
2020-02-03,33.724,-251.76,120.495,4689.68,246.44,38.92,4063.545
2020-02-04,34.173,-251.76,120.495,4689.68,246.44,38.92,4117.635
2020-02-05,34.584,-251.76,120.495,4689.68,246.44,38.92,4167.218
2020-02-06,34.696,-251.76,120.495,4689.68,246.44,38.92,4180.74
2020-02-07,34.883,-251.76,120.495,4689.68,246.44,38.92,4203.278
2020-02-10,35.014,-251.76,120.495,4689.68,246.44,38.92,4219.054
