date,BAC_adj_close,BAC_cashflow,BAC_cml_units,BAC_cml_cost,BAC_gain_loss,BAC_avg_price,BAC_mktvalue,AAPL_adj_close,AAPL_cashflow,AAPL_cml_units,AAPL_cml_cost,AAPL_gain_loss,AAPL_avg_price,AAPL_mktvalue,WFC_adj_close,WFC_cashflow,WFC_cml_units,WFC_cml_cost,WFC_gain_loss,WFC_avg_price,WFC_mktvalue,BABA_adj_close,BABA_cashflow,BABA_cml_units,BABA_cml_cost,BABA_gain_loss,BABA_avg_price,BABA_mktvalue,IBN_adj_close,IBN_cashflow,IBN_cml_units,IBN_cml_cost,IBN_gain_loss,IBN_avg_price,IBN_mktvalue,BCS_adj_close,BCS_cashflow,BCS_cml_units,BCS_cml_cost,BCS_gain_loss,BCS_avg_price,BCS_mktvalue,TAL_adj_close,TAL_cashflow,TAL_cml_units,TAL_cml_cost,TAL_gain_loss,TAL_avg_price,TAL_mktvalue,AMZN_adj_close,AMZN_cashflow,AMZN_cml_units,AMZN_cml_cost,AMZN_gain_loss,AMZN_avg_price,AMZN_mktvalue,YNDX_adj_close,YNDX_cashflow,YNDX_cml_units,YNDX_cml_cost,YNDX_gain_loss,YNDX_avg_price,YNDX_mktvalue,GOOGL_adj_close,GOOGL_cashflow,GOOGL_cml_units,GOOGL_cml_cost,GOOGL_gain_loss,GOOGL_avg_price,GOOGL_mktvalue,GOOG_adj_close,GOOG_cashflow,GOOG_cml_units,GOOG_cml_cost,GOOG_gain_loss,GOOG_avg_price,GOOG_mktvalue,HDB_adj_close,HDB_cashflow,HDB_cml_units,HDB_cml_cost,HDB_gain_loss,HDB_avg_price,HDB_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue,NMR_adj_close,NMR_cashflow,NMR_cml_units,NMR_cml_cost,NMR_gain_loss,NMR_avg_price,NMR_mktvalue,CLSD_adj_close,CLSD_cashflow,CLSD_cml_units,CLSD_cml_cost,CLSD_gain_loss,CLSD_avg_price,CLSD_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,BTZ_adj_close,BTZ_cashflow,BTZ_cml_units,BTZ_cml_cost,BTZ_gain_loss,BTZ_avg_price,BTZ_mktvalue,ZLAB_adj_close,ZLAB_cashflow,ZLAB_cml_units,ZLAB_cml_cost,ZLAB_gain_loss,ZLAB_avg_price,ZLAB_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,TAK_adj_close,TAK_cashflow,TAK_cml_units,TAK_cml_cost,TAK_gain_loss,TAK_avg_price,TAK_mktvalue,PDD_adj_close,PDD_cashflow,PDD_cml_units,PDD_cml_cost,PDD_gain_loss,PDD_avg_price,PDD_mktvalue,FRHC_adj_close,FRHC_cashflow,FRHC_cml_units,FRHC_cml_cost,FRHC_gain_loss,FRHC_avg_price,FRHC_mktvalue,FMCC_adj_close,FMCC_cashflow,FMCC_cml_units,FMCC_cml_cost,FMCC_gain_loss,FMCC_avg_price,FMCC_mktvalue,HSTI_adj_close,HSTI_cashflow,HSTI_cml_units,HSTI_cml_cost,HSTI_gain_loss,HSTI_avg_price,HSTI_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue,FNMA_adj_close,FNMA_cashflow,FNMA_cml_units,FNMA_cml_cost,FNMA_gain_loss,FNMA_avg_price,FNMA_mktvalue
2019-01-01,0.0,-4996.146,217.391,4996.146,0.0,22.982,0.0,0.0,-4976.74,131.579,4976.74,0.0,37.823,0.0,0.0,-4999.966,119.048,4999.966,0.0,42.0,0.0,0.0,-4934.52,36.496,4934.52,0.0,135.206,0.0,0.0,-4994.313,500.0,4994.313,0.0,9.989,0.0,0.0,-4994.9,833.333,4994.9,0.0,5.994,0.0,0.0,-4989.16,192.308,4989.16,0.0,25.944,0.0,0.0,-4505.91,3.331,4505.91,0.0,1352.674,0.0,0.0,-4977.7,185.185,4977.7,0.0,26.88,0.0,0.0,-4179.84,4.789,4179.84,0.0,872.751,0.0,0.0,-4142.44,4.831,4142.44,0.0,857.485,0.0,0.0,-4971.436,98.039,4971.436,0.0,50.709,0.0,0.0,-4968.993,142.857,4968.993,0.0,34.783,0.0,0.0,-4999.02,2500.0,4999.02,0.0,2.0,0.0,0.0,-4999.68,1666.667,4999.68,0.0,3.0,0.0,0.0,-4999.04,5000.0,4999.04,0.0,1.0,0.0,0.0,-4997.449,1000.0,4997.449,0.0,4.997,0.0,0.0,-4993.332,555.556,4993.332,0.0,8.988,0.0,0.0,-4992.3,217.391,4992.3,0.0,22.965,0.0,0.0,-4999.54,2500.0,4999.54,0.0,2.0,0.0,0.0,-4998.737,1250.0,4998.737,0.0,3.999,0.0,0.0,-4995.54,312.5,4995.54,0.0,15.986,0.0,0.0,-4981.68,227.273,4981.68,0.0,21.919,0.0,0.0,-4997.3,625.0,4997.3,0.0,7.996,0.0,0.0,-4998.96,5000.0,4998.96,0.0,1.0,0.0,0.0,-5000.0,5000.0,5000.0,0.0,1.0,0.0,0.0,-4998.0,833.333,4998.0,0.0,5.998,0.0,0.0,-4998.96,5000.0,4998.96,0.0,1.0,0.0
2019-01-02,23.431,-4996.146,217.391,4996.146,0.0,22.982,5093.63,38.44,-4976.74,131.579,4976.74,0.0,37.823,5057.86,42.801,-4999.966,119.048,4999.966,0.0,42.0,5095.318,136.7,-4934.52,36.496,4934.52,0.0,135.206,4989.051,10.403,-4994.313,500.0,4994.313,0.0,9.989,5201.663,6.887,-4994.9,833.333,4994.9,0.0,5.994,5738.988,25.99,-4989.16,192.308,4989.16,0.0,25.944,4998.077,1539.13,-4505.91,3.331,4505.91,0.0,1352.674,5127.015,27.51,-4977.7,185.185,4977.7,0.0,26.88,5094.444,1054.68,-4179.84,4.789,4179.84,0.0,872.751,5051.15,1045.85,-4142.44,4.831,4142.44,0.0,857.485,5052.415,51.291,-4971.436,98.039,4971.436,0.0,50.709,5028.578,36.444,-4968.993,142.857,4968.993,0.0,34.783,5206.236,2.41,-4999.02,2500.0,4999.02,0.0,2.0,6025.0,3.397,-4999.68,1666.667,4999.68,0.0,3.0,5662.265,1.15,-4999.04,5000.0,4999.04,0.0,1.0,5750.0,5.22,-4997.449,1000.0,4997.449,0.0,4.997,5220.353,9.279,-4993.332,555.556,4993.332,0.0,8.988,5154.99,22.3,-4992.3,217.391,4992.3,0.0,22.965,4847.826,2.89,-4999.54,2500.0,4999.54,0.0,2.0,7225.0,4.437,-4998.737,1250.0,4998.737,0.0,3.999,5546.867,15.317,-4995.54,312.5,4995.54,0.0,15.986,4786.561,22.21,-4981.68,227.273,4981.68,0.0,21.919,5047.727,8.28,-4997.3,625.0,4997.3,0.0,7.996,5175.0,1.09,-4998.96,5000.0,4998.96,0.0,1.0,5450.0,1.25,-5000.0,5000.0,5000.0,0.0,1.0,6250.0,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667,1.1,-4998.96,5000.0,4998.96,0.0,1.0,5500.0
2019-01-03,23.055,-4996.146,217.391,4996.146,0.0,22.982,5012.001,34.611,-4976.74,131.579,4976.74,0.0,37.823,4554.059,42.463,-4999.966,119.048,4999.966,0.0,42.0,5055.156,130.6,-4934.52,36.496,4934.52,0.0,135.206,4766.424,10.095,-4994.313,500.0,4994.313,0.0,9.989,5047.503,6.86,-4994.9,833.333,4994.9,0.0,5.994,5716.335,24.73,-4989.16,192.308,4989.16,0.0,25.944,4755.769,1500.28,-4505.91,3.331,4505.91,0.0,1352.674,4997.602,26.8,-4977.7,185.185,4977.7,0.0,26.88,4962.963,1025.47,-4179.84,4.789,4179.84,0.0,872.751,4911.255,1016.06,-4142.44,4.831,4142.44,0.0,857.485,4908.502,50.376,-4971.436,98.039,4971.436,0.0,50.709,4938.843,36.221,-4968.993,142.857,4968.993,0.0,34.783,5174.466,2.41,-4999.02,2500.0,4999.02,0.0,2.0,6025.0,3.388,-4999.68,1666.667,4999.68,0.0,3.0,5647.403,1.25,-4999.04,5000.0,4999.04,0.0,1.0,6250.0,5.255,-4997.449,1000.0,4997.449,0.0,4.997,5254.753,9.254,-4993.332,555.556,4993.332,0.0,8.988,5141.278,21.71,-4992.3,217.391,4992.3,0.0,22.965,4719.565,2.62,-4999.54,2500.0,4999.54,0.0,2.0,6550.0,4.351,-4998.737,1250.0,4998.737,0.0,3.999,5439.16,15.208,-4995.54,312.5,4995.54,0.0,15.986,4752.412,21.52,-4981.68,227.273,4981.68,0.0,21.919,4890.909,7.99,-4997.3,625.0,4997.3,0.0,7.996,4993.75,1.13,-4998.96,5000.0,4998.96,0.0,1.0,5650.0,1.25,-5000.0,5000.0,5000.0,0.0,1.0,6250.0,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667,1.15,-4998.96,5000.0,4998.96,0.0,1.0,5750.0
2019-01-04,24.013,-4996.146,217.391,4996.146,0.0,22.982,5220.154,36.088,-4976.74,131.579,4976.74,0.0,37.823,4748.469,43.722,-4999.966,119.048,4999.966,0.0,42.0,5204.954,139.75,-4934.52,36.496,4934.52,0.0,135.206,5100.365,10.443,-4994.313,500.0,4994.313,0.0,9.989,5221.555,7.141,-4994.9,833.333,4994.9,0.0,5.994,5950.424,26.52,-4989.16,192.308,4989.16,0.0,25.944,5100.0,1575.39,-4505.91,3.331,4505.91,0.0,1352.674,5247.802,28.56,-4977.7,185.185,4977.7,0.0,26.88,5288.889,1078.07,-4179.84,4.789,4179.84,0.0,872.751,5163.17,1070.71,-4142.44,4.831,4142.44,0.0,857.485,5172.512,51.247,-4971.436,98.039,4971.436,0.0,50.709,5024.212,37.787,-4968.993,142.857,4968.993,0.0,34.783,5398.177,2.68,-4999.02,2500.0,4999.02,0.0,2.0,6700.0,3.576,-4999.68,1666.667,4999.68,0.0,3.0,5959.497,1.24,-4999.04,5000.0,4999.04,0.0,1.0,6200.0,5.547,-4997.449,1000.0,4997.449,0.0,4.997,5547.163,9.411,-4993.332,555.556,4993.332,0.0,8.988,5228.109,22.0,-4992.3,217.391,4992.3,0.0,22.965,4782.609,2.63,-4999.54,2500.0,4999.54,0.0,2.0,6575.0,4.532,-4998.737,1250.0,4998.737,0.0,3.999,5665.343,16.2,-4995.54,312.5,4995.54,0.0,15.986,5062.6,22.69,-4981.68,227.273,4981.68,0.0,21.919,5156.818,8.53,-4997.3,625.0,4997.3,0.0,7.996,5331.25,1.24,-4998.96,5000.0,4998.96,0.0,1.0,6200.0,1.25,-5000.0,5000.0,5000.0,0.0,1.0,6250.0,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667,1.23,-4998.96,5000.0,4998.96,0.0,1.0,6150.0
2019-01-07,23.994,-4996.146,217.391,4996.146,0.0,22.982,5216.072,36.008,-4976.74,131.579,4976.74,0.0,37.823,4737.9,43.439,-4999.966,119.048,4999.966,0.0,42.0,5171.304,143.1,-4934.52,36.496,4934.52,0.0,135.206,5222.628,10.393,-4994.313,500.0,4994.313,0.0,9.989,5196.69,7.213,-4994.9,833.333,4994.9,0.0,5.994,6010.835,26.86,-4989.16,192.308,4989.16,0.0,25.944,5165.385,1629.51,-4505.91,3.331,4505.91,0.0,1352.674,5428.081,29.02,-4977.7,185.185,4977.7,0.0,26.88,5374.074,1075.92,-4179.84,4.789,4179.84,0.0,872.751,5152.874,1068.39,-4142.44,4.831,4142.44,0.0,857.485,5161.304,50.985,-4971.436,98.039,4971.436,0.0,50.709,4998.505,37.704,-4968.993,142.857,4968.993,0.0,34.783,5386.263,3.22,-4999.02,2500.0,4999.02,0.0,2.0,8050.0,3.549,-4999.68,1666.667,4999.68,0.0,3.0,5914.912,1.19,-4999.04,5000.0,4999.04,0.0,1.0,5950.0,5.556,-4997.449,1000.0,4997.449,0.0,4.997,5555.762,9.616,-4993.332,555.556,4993.332,0.0,8.988,5342.359,22.6,-4992.3,217.391,4992.3,0.0,22.965,4913.044,2.67,-4999.54,2500.0,4999.54,0.0,2.0,6675.0,4.575,-4998.737,1250.0,4998.737,0.0,3.999,5719.196,16.92,-4995.54,312.5,4995.54,0.0,15.986,5287.415,23.21,-4981.68,227.273,4981.68,0.0,21.919,5275.0,8.64,-4997.3,625.0,4997.3,0.0,7.996,5400.0,1.41,-4998.96,5000.0,4998.96,0.0,1.0,7050.0,1.25,-5000.0,5000.0,5000.0,0.0,1.0,6250.0,6.0,-4998.0,833.333,4998.0,0.0,5.998,5000.0,1.43,-4998.96,5000.0,4998.96,0.0,1.0,7150.0
2019-01-08,23.947,-4996.146,217.391,4996.146,0.0,22.982,5205.869,36.694,-4976.74,131.579,4976.74,0.0,37.823,4828.219,43.348,-4999.966,119.048,4999.966,0.0,42.0,5160.449,146.79,-4934.52,36.496,4934.52,0.0,135.206,5357.299,10.702,-4994.313,500.0,4994.313,0.0,9.989,5350.851,7.258,-4994.9,833.333,4994.9,0.0,5.994,6048.592,27.46,-4989.16,192.308,4989.16,0.0,25.944,5280.769,1656.58,-4505.91,3.331,4505.91,0.0,1352.674,5518.254,29.09,-4977.7,185.185,4977.7,0.0,26.88,5387.037,1085.37,-4179.84,4.789,4179.84,0.0,872.751,5198.132,1076.28,-4142.44,4.831,4142.44,0.0,857.485,5199.42,51.361,-4971.436,98.039,4971.436,0.0,50.709,5035.369,38.482,-4968.993,142.857,4968.993,0.0,34.783,5497.457,3.34,-4999.02,2500.0,4999.02,0.0,2.0,8350.0,3.558,-4999.68,1666.667,4999.68,0.0,3.0,5929.773,1.2,-4999.04,5000.0,4999.04,0.0,1.0,6000.0,5.582,-4997.449,1000.0,4997.449,0.0,4.997,5581.563,9.608,-4993.332,555.556,4993.332,0.0,8.988,5337.789,22.73,-4992.3,217.391,4992.3,0.0,22.965,4941.304,2.58,-4999.54,2500.0,4999.54,0.0,2.0,6450.0,4.67,-4998.737,1250.0,4998.737,0.0,3.999,5837.673,17.302,-4995.54,312.5,4995.54,0.0,15.986,5406.936,24.0,-4981.68,227.273,4981.68,0.0,21.919,5454.545,8.82,-4997.3,625.0,4997.3,0.0,7.996,5512.5,1.62,-4998.96,5000.0,4998.96,0.0,1.0,8100.0,1.25,-5000.0,5000.0,5000.0,0.0,1.0,6250.0,7.0,-4998.0,833.333,4998.0,0.0,5.998,5833.333,1.61,-4998.96,5000.0,4998.96,0.0,1.0,8050.0
2019-01-09,24.182,-4996.146,217.391,4996.146,0.0,22.982,5256.887,37.318,-4976.74,131.579,4976.74,0.0,37.823,4910.211,43.585,-4999.966,119.048,4999.966,0.0,42.0,5188.672,151.92,-4934.52,36.496,4934.52,0.0,135.206,5544.525,10.722,-4994.313,500.0,4994.313,0.0,9.989,5360.796,7.258,-4994.9,833.333,4994.9,0.0,5.994,6048.592,28.95,-4989.16,192.308,4989.16,0.0,25.944,5567.308,1659.42,-4505.91,3.331,4505.91,0.0,1352.674,5527.715,29.78,-4977.7,185.185,4977.7,0.0,26.88,5514.815,1081.65,-4179.84,4.789,4179.84,0.0,872.751,5180.316,1074.66,-4142.44,4.831,4142.44,0.0,857.485,5191.594,50.911,-4971.436,98.039,4971.436,0.0,50.709,4991.229,39.918,-4968.993,142.857,4968.993,0.0,34.783,5702.636,3.75,-4999.02,2500.0,4999.02,0.0,2.0,9375.0,3.567,-4999.68,1666.667,4999.68,0.0,3.0,5944.635,1.18,-4999.04,5000.0,4999.04,0.0,1.0,5900.0,5.668,-4997.449,1000.0,4997.449,0.0,4.997,5667.566,9.641,-4993.332,555.556,4993.332,0.0,8.988,5356.07,23.18,-4992.3,217.391,4992.3,0.0,22.965,5039.131,2.64,-4999.54,2500.0,4999.54,0.0,2.0,6600.0,4.748,-4998.737,1250.0,4998.737,0.0,3.999,5934.609,17.493,-4995.54,312.5,4995.54,0.0,15.986,5466.697,25.54,-4981.68,227.273,4981.68,0.0,21.919,5804.546,8.9,-4997.3,625.0,4997.3,0.0,7.996,5562.5,1.86,-4998.96,5000.0,4998.96,0.0,1.0,9300.0,1.25,-5000.0,5000.0,5000.0,0.0,1.0,6250.0,7.5,-4998.0,833.333,4998.0,0.0,5.998,6250.0,1.88,-4998.96,5000.0,4998.96,0.0,1.0,9400.0
2019-01-10,24.154,-4996.146,217.391,4996.146,0.0,22.982,5250.765,37.437,-4976.74,131.579,4976.74,0.0,37.823,4925.905,43.539,-4999.966,119.048,4999.966,0.0,42.0,5183.244,151.69,-4934.52,36.496,4934.52,0.0,135.206,5536.131,10.712,-4994.313,500.0,4994.313,0.0,9.989,5355.824,7.349,-4994.9,833.333,4994.9,0.0,5.994,6124.105,29.02,-4989.16,192.308,4989.16,0.0,25.944,5580.769,1656.22,-4505.91,3.331,4505.91,0.0,1352.674,5517.055,29.7,-4977.7,185.185,4977.7,0.0,26.88,5500.0,1078.83,-4179.84,4.789,4179.84,0.0,872.751,5166.81,1070.33,-4142.44,4.831,4142.44,0.0,857.485,5170.676,50.802,-4971.436,98.039,4971.436,0.0,50.709,4980.557,40.141,-4968.993,142.857,4968.993,0.0,34.783,5734.404,3.46,-4999.02,2500.0,4999.02,0.0,2.0,8650.0,3.602,-4999.68,1666.667,4999.68,0.0,3.0,6004.082,1.2,-4999.04,5000.0,4999.04,0.0,1.0,6000.0,5.857,-4997.449,1000.0,4997.449,0.0,4.997,5856.771,9.592,-4993.332,555.556,4993.332,0.0,8.988,5328.648,24.33,-4992.3,217.391,4992.3,0.0,22.965,5289.13,2.74,-4999.54,2500.0,4999.54,0.0,2.0,6850.0,4.877,-4998.737,1250.0,4998.737,0.0,3.999,6096.168,17.421,-4995.54,312.5,4995.54,0.0,15.986,5443.931,26.38,-4981.68,227.273,4981.68,0.0,21.919,5995.454,8.99,-4997.3,625.0,4997.3,0.0,7.996,5618.75,1.77,-4998.96,5000.0,4998.96,0.0,1.0,8850.0,1.25,-5000.0,5000.0,5000.0,0.0,1.0,6250.0,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667,1.79,-4998.96,5000.0,4998.96,0.0,1.0,8950.0
2019-01-11,24.435,-4996.146,217.391,4996.146,0.0,22.982,5311.986,37.069,-4976.74,131.579,4976.74,0.0,37.823,4877.542,43.649,-4999.966,119.048,4999.966,0.0,42.0,5196.27,151.32,-4934.52,36.496,4934.52,0.0,135.206,5522.628,10.612,-4994.313,500.0,4994.313,0.0,9.989,5306.095,7.349,-4994.9,833.333,4994.9,0.0,5.994,6124.105,29.23,-4989.16,192.308,4989.16,0.0,25.944,5621.154,1640.56,-4505.91,3.331,4505.91,0.0,1352.674,5464.89,29.89,-4977.7,185.185,4977.7,0.0,26.88,5535.185,1064.47,-4179.84,4.789,4179.84,0.0,872.751,5098.036,1057.19,-4142.44,4.831,4142.44,0.0,857.485,5107.198,50.782,-4971.436,98.039,4971.436,0.0,50.709,4978.617,40.289,-4968.993,142.857,4968.993,0.0,34.783,5755.584,3.3,-4999.02,2500.0,4999.02,0.0,2.0,8250.0,3.62,-4999.68,1666.667,4999.68,0.0,3.0,6033.804,1.21,-4999.04,5000.0,4999.04,0.0,1.0,6050.0,5.883,-4997.449,1000.0,4997.449,0.0,4.997,5882.57,9.583,-4993.332,555.556,4993.332,0.0,8.988,5324.078,24.6,-4992.3,217.391,4992.3,0.0,22.965,5347.826,2.76,-4999.54,2500.0,4999.54,0.0,2.0,6900.0,5.032,-4998.737,1250.0,4998.737,0.0,3.999,6290.039,18.231,-4995.54,312.5,4995.54,0.0,15.986,5697.203,26.16,-4981.68,227.273,4981.68,0.0,21.919,5945.455,9.0,-4997.3,625.0,4997.3,0.0,7.996,5625.0,1.63,-4998.96,5000.0,4998.96,0.0,1.0,8150.0,1.25,-5000.0,5000.0,5000.0,0.0,1.0,6250.0,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667,1.64,-4998.96,5000.0,4998.96,0.0,1.0,8200.0
2019-01-14,24.754,-4996.146,217.391,4996.146,0.0,22.982,5381.371,36.512,-4976.74,131.579,4976.74,0.0,37.823,4804.198,44.15,-4999.966,119.048,4999.966,0.0,42.0,5255.972,149.27,-4934.52,36.496,4934.52,0.0,135.206,5447.81,10.373,-4994.313,500.0,4994.313,0.0,9.989,5186.745,7.485,-4994.9,833.333,4994.9,0.0,5.994,6237.375,29.21,-4989.16,192.308,4989.16,0.0,25.944,5617.308,1617.21,-4505.91,3.331,4505.91,0.0,1352.674,5387.108,29.55,-4977.7,185.185,4977.7,0.0,26.88,5472.222,1051.51,-4179.84,4.789,4179.84,0.0,872.751,5035.967,1044.69,-4142.44,4.831,4142.44,0.0,857.485,5046.811,49.901,-4971.436,98.039,4971.436,0.0,50.709,4892.277,40.4,-4968.993,142.857,4968.993,0.0,34.783,5771.469,3.33,-4999.02,2500.0,4999.02,0.0,2.0,8325.0,3.611,-4999.68,1666.667,4999.68,0.0,3.0,6018.943,1.12,-4999.04,5000.0,4999.04,0.0,1.0,5600.0,5.9,-4997.449,1000.0,4997.449,0.0,4.997,5899.771,9.608,-4993.332,555.556,4993.332,0.0,8.988,5337.789,23.99,-4992.3,217.391,4992.3,0.0,22.965,5215.217,2.66,-4999.54,2500.0,4999.54,0.0,2.0,6650.0,4.929,-4998.737,1250.0,4998.737,0.0,3.999,6160.792,18.286,-4995.54,312.5,4995.54,0.0,15.986,5714.278,24.37,-4981.68,227.273,4981.68,0.0,21.919,5538.637,8.95,-4997.3,625.0,4997.3,0.0,7.996,5593.75,1.75,-4998.96,5000.0,4998.96,0.0,1.0,8750.0,1.25,-5000.0,5000.0,5000.0,0.0,1.0,6250.0,8.1,-4998.0,833.333,4998.0,0.0,5.998,6750.0,1.76,-4998.96,5000.0,4998.96,0.0,1.0,8800.0
