date,GWRE_adj_close,GWRE_cashflow,GWRE_cml_units,GWRE_cml_cost,GWRE_gain_loss,GWRE_avg_price,GWRE_mktvalue
2019-01-01,0.0,-4883.19,39.0,4883.19,1152.06,125.21,0.0
2019-01-02,78.73,-4883.19,39.0,4883.19,1152.06,125.21,3070.47
2019-01-03,76.84,-4883.19,39.0,4883.19,1152.06,125.21,2996.76
2019-01-04,79.54,-4883.19,39.0,4883.19,1152.06,125.21,3102.06
2019-01-07,82.66,-4883.19,39.0,4883.19,1152.06,125.21,3223.74
2019-01-08,84.07,-4883.19,39.0,4883.19,1152.06,125.21,3278.73
2019-01-09,84.31,-4883.19,39.0,4883.19,1152.06,125.21,3288.09
2019-01-10,83.56,-4883.19,39.0,4883.19,1152.06,125.21,3258.84
2019-01-11,82.9,-4883.19,39.0,4883.19,1152.06,125.21,3233.1
2019-01-14,81.26,-4883.19,39.0,4883.19,1152.06,125.21,3169.14
2019-01-15,83.32,-4883.19,39.0,4883.19,1152.06,125.21,3249.48
2019-01-16,83.06,-4883.19,39.0,4883.19,1152.06,125.21,3239.34
2019-01-17,83.75,-4883.19,39.0,4883.19,1152.06,125.21,3266.25
2019-01-18,85.71,-4883.19,39.0,4883.19,1152.06,125.21,3342.69
2019-01-22,84.94,-4883.19,39.0,4883.19,1152.06,125.21,3312.66
2019-01-23,84.01,-4883.19,39.0,4883.19,1152.06,125.21,3276.39
2019-01-24,84.5,-4883.19,39.0,4883.19,1152.06,125.21,3295.5
2019-01-25,86.26,-4883.19,39.0,4883.19,1152.06,125.21,3364.14
2019-01-28,85.34,-4883.19,39.0,4883.19,1152.06,125.21,3328.26
2019-01-29,84.15,-4883.19,39.0,4883.19,1152.06,125.21,3281.85
2019-01-30,85.55,-4883.19,39.0,4883.19,1152.06,125.21,3336.45
2019-01-31,86.68,-4883.19,39.0,4883.19,1152.06,125.21,3380.52
2019-02-01,89.59,-4883.19,39.0,4883.19,1152.06,125.21,3494.01
2019-02-04,93.11,-4883.19,39.0,4883.19,1152.06,125.21,3631.29
2019-02-05,93.15,-4883.19,39.0,4883.19,1152.06,125.21,3632.85
2019-02-06,92.99,-4883.19,39.0,4883.19,1152.06,125.21,3626.61
2019-02-07,91.99,-4883.19,39.0,4883.19,1152.06,125.21,3587.61
2019-02-08,93.24,-4883.19,39.0,4883.19,1152.06,125.21,3636.36
2019-02-11,93.96,-4883.19,39.0,4883.19,1152.06,125.21,3664.44
2019-02-12,95.51,-4883.19,39.0,4883.19,1152.06,125.21,3724.89
2019-02-13,92.63,-4883.19,39.0,4883.19,1152.06,125.21,3612.57
2019-02-14,93.0,-4883.19,39.0,4883.19,1152.06,125.21,3627.0
2019-02-15,92.91,-4883.19,39.0,4883.19,1152.06,125.21,3623.49
2019-02-19,92.71,-4883.19,39.0,4883.19,1152.06,125.21,3615.69
2019-02-20,91.66,-4883.19,39.0,4883.19,1152.06,125.21,3574.74
2019-02-21,91.04,-4883.19,39.0,4883.19,1152.06,125.21,3550.56
2019-02-22,92.0,-4883.19,39.0,4883.19,1152.06,125.21,3588.0
2019-02-25,91.53,-4883.19,39.0,4883.19,1152.06,125.21,3569.67
2019-02-26,91.0,-4883.19,39.0,4883.19,1152.06,125.21,3549.0
2019-02-27,92.16,-4883.19,39.0,4883.19,1152.06,125.21,3594.24
2019-02-28,91.74,-4883.19,39.0,4883.19,1152.06,125.21,3577.86
2019-03-01,93.62,-4883.19,39.0,4883.19,1152.06,125.21,3651.18
2019-03-04,86.35,-4883.19,39.0,4883.19,1152.06,125.21,3367.65
2019-03-05,87.86,-4883.19,39.0,4883.19,1152.06,125.21,3426.54
2019-03-06,86.46,-4883.19,39.0,4883.19,1152.06,125.21,3371.94
2019-03-07,90.22,-4883.19,39.0,4883.19,1152.06,125.21,3518.58
2019-03-08,88.64,-4883.19,39.0,4883.19,1152.06,125.21,3456.96
2019-03-11,89.96,-4883.19,39.0,4883.19,1152.06,125.21,3508.44
2019-03-12,91.55,-4883.19,39.0,4883.19,1152.06,125.21,3570.45
2019-03-13,93.54,-4883.19,39.0,4883.19,1152.06,125.21,3648.06
2019-03-14,94.02,-4883.19,39.0,4883.19,1152.06,125.21,3666.78
2019-03-15,93.9,-4883.19,39.0,4883.19,1152.06,125.21,3662.1
2019-03-18,95.04,-4883.19,39.0,4883.19,1152.06,125.21,3706.56
