date,GWRE_adj_close,GWRE_cashflow,GWRE_cml_units,GWRE_cml_cost,GWRE_gain_loss,GWRE_avg_price,GWRE_mktvalue
2019-03-19,95.43,-4883.19,39.0,4883.19,1152.06,125.21,3721.77
2019-03-20,94.57,-4883.19,39.0,4883.19,1152.06,125.21,3688.23
2019-03-21,96.25,-4883.19,39.0,4883.19,1152.06,125.21,3753.75
2019-03-22,93.59,-4883.19,39.0,4883.19,1152.06,125.21,3650.01
2019-03-25,93.4,-4883.19,39.0,4883.19,1152.06,125.21,3642.6
2019-03-26,94.92,-4883.19,39.0,4883.19,1152.06,125.21,3701.88
2019-03-27,93.98,-4883.19,39.0,4883.19,1152.06,125.21,3665.22
2019-03-28,95.77,-4883.19,39.0,4883.19,1152.06,125.21,3735.03
2019-03-29,97.16,-4883.19,39.0,4883.19,1152.06,125.21,3789.24
2019-04-01,98.74,-4883.19,39.0,4883.19,1152.06,125.21,3850.86
2019-04-02,99.3,-4883.19,39.0,4883.19,1152.06,125.21,3872.7
2019-04-03,99.99,-4883.19,39.0,4883.19,1152.06,125.21,3899.61
2019-04-04,99.45,-4883.19,39.0,4883.19,1152.06,125.21,3878.55
2019-04-05,99.99,-4883.19,39.0,4883.19,1152.06,125.21,3899.61
2019-04-08,100.12,-4883.19,39.0,4883.19,1152.06,125.21,3904.68
2019-04-09,100.76,-4883.19,39.0,4883.19,1152.06,125.21,3929.64
2019-04-10,102.02,-4883.19,39.0,4883.19,1152.06,125.21,3978.78
2019-04-11,102.26,-4883.19,39.0,4883.19,1152.06,125.21,3988.14
2019-04-12,103.09,-4883.19,39.0,4883.19,1152.06,125.21,4020.51
2019-04-15,103.61,-4883.19,39.0,4883.19,1152.06,125.21,4040.79
2019-04-16,103.25,-4883.19,39.0,4883.19,1152.06,125.21,4026.75
2019-04-17,102.05,-4883.19,39.0,4883.19,1152.06,125.21,3979.95
2019-04-18,102.2,-4883.19,39.0,4883.19,1152.06,125.21,3985.8
2019-04-22,104.05,-4883.19,39.0,4883.19,1152.06,125.21,4057.95
2019-04-23,103.96,-4883.19,39.0,4883.19,1152.06,125.21,4054.44
2019-04-24,104.75,-4883.19,39.0,4883.19,1152.06,125.21,4085.25
2019-04-25,105.63,-4883.19,39.0,4883.19,1152.06,125.21,4119.57
2019-04-26,106.34,-4883.19,39.0,4883.19,1152.06,125.21,4147.26
2019-04-29,106.98,-4883.19,39.0,4883.19,1152.06,125.21,4172.22
2019-04-30,106.5,-4883.19,39.0,4883.19,1152.06,125.21,4153.5
2019-05-01,104.89,-4883.19,39.0,4883.19,1152.06,125.21,4090.71
2019-05-02,104.17,-4883.19,39.0,4883.19,1152.06,125.21,4062.63
2019-05-03,104.5,-4883.19,39.0,4883.19,1152.06,125.21,4075.5
2019-05-06,104.64,-4883.19,39.0,4883.19,1152.06,125.21,4080.96
2019-05-07,102.41,-4883.19,39.0,4883.19,1152.06,125.21,3993.99
2019-05-08,102.89,-4883.19,39.0,4883.19,1152.06,125.21,4012.71
2019-05-09,103.29,-4883.19,39.0,4883.19,1152.06,125.21,4028.31
2019-05-10,104.22,-4883.19,39.0,4883.19,1152.06,125.21,4064.58
2019-05-13,101.65,-4883.19,39.0,4883.19,1152.06,125.21,3964.35
2019-05-14,103.36,-4883.19,39.0,4883.19,1152.06,125.21,4031.04
2019-05-15,104.53,-4883.19,39.0,4883.19,1152.06,125.21,4076.67
2019-05-16,108.38,-4883.19,39.0,4883.19,1152.06,125.21,4226.82
2019-05-17,106.21,-4883.19,39.0,4883.19,1152.06,125.21,4142.19
2019-05-20,104.96,-4883.19,39.0,4883.19,1152.06,125.21,4093.44
2019-05-21,105.85,-4883.19,39.0,4883.19,1152.06,125.21,4128.15
2019-05-22,107.66,-4883.19,39.0,4883.19,1152.06,125.21,4198.74
2019-05-23,105.2,-4883.19,39.0,4883.19,1152.06,125.21,4102.8
2019-05-24,105.74,-4883.19,39.0,4883.19,1152.06,125.21,4123.86
2019-05-28,105.92,-4883.19,39.0,4883.19,1152.06,125.21,4130.88
2019-05-29,102.76,-4883.19,39.0,4883.19,1152.06,125.21,4007.64
2019-05-30,102.98,-4883.19,39.0,4883.19,1152.06,125.21,4016.22
2019-05-31,100.52,-4883.19,39.0,4883.19,1152.06,125.21,3920.28
2019-06-03,96.87,-4883.19,39.0,4883.19,1152.06,125.21,3777.93
2019-06-04,98.1,-4883.19,39.0,4883.19,1152.06,125.21,3825.9
2019-06-05,95.15,-4883.19,39.0,4883.19,1152.06,125.21,3710.85
2019-06-06,96.23,-4883.19,39.0,4883.19,1152.06,125.21,3752.97
2019-06-07,97.02,-4883.19,39.0,4883.19,1152.06,125.21,3783.78
2019-06-10,98.24,-4883.19,39.0,4883.19,1152.06,125.21,3831.36
2019-06-11,97.01,-4883.19,39.0,4883.19,1152.06,125.21,3783.39
2019-06-12,97.71,-4883.19,39.0,4883.19,1152.06,125.21,3810.69
2019-06-13,97.83,-4883.19,39.0,4883.19,1152.06,125.21,3815.37
2019-06-14,97.81,-4883.19,39.0,4883.19,1152.06,125.21,3814.59
2019-06-17,98.85,-4883.19,39.0,4883.19,1152.06,125.21,3855.15
2019-06-18,99.25,-4883.19,39.0,4883.19,1152.06,125.21,3870.75
2019-06-19,100.62,-4883.19,39.0,4883.19,1152.06,125.21,3924.18
2019-06-20,100.25,-4883.19,39.0,4883.19,1152.06,125.21,3909.75
2019-06-21,100.75,-4883.19,39.0,4883.19,1152.06,125.21,3929.25
2019-06-24,100.6,-4883.19,39.0,4883.19,1152.06,125.21,3923.4
2019-06-25,98.75,-4883.19,39.0,4883.19,1152.06,125.21,3851.25
2019-06-26,99.16,-4883.19,39.0,4883.19,1152.06,125.21,3867.24
2019-06-27,100.2,-4883.19,39.0,4883.19,1152.06,125.21,3907.8
2019-06-28,101.38,-4883.19,39.0,4883.19,1152.06,125.21,3953.82
2019-07-01,101.18,-4883.19,39.0,4883.19,1152.06,125.21,3946.02
2019-07-02,101.89,-4883.19,39.0,4883.19,1152.06,125.21,3973.71
2019-07-03,102.55,-4883.19,39.0,4883.19,1152.06,125.21,3999.45
2019-07-05,102.21,-4883.19,39.0,4883.19,1152.06,125.21,3986.19
2019-07-08,101.69,-4883.19,39.0,4883.19,1152.06,125.21,3965.91
2019-07-09,102.38,-4883.19,39.0,4883.19,1152.06,125.21,3992.82
2019-07-10,102.71,-4883.19,39.0,4883.19,1152.06,125.21,4005.69
2019-07-11,101.36,-4883.19,39.0,4883.19,1152.06,125.21,3953.04
2019-07-12,101.81,-4883.19,39.0,4883.19,1152.06,125.21,3970.59
2019-07-15,101.53,-4883.19,39.0,4883.19,1152.06,125.21,3959.67
2019-07-16,100.72,-4883.19,39.0,4883.19,1152.06,125.21,3928.08
2019-07-17,101.65,-4883.19,39.0,4883.19,1152.06,125.21,3964.35
2019-07-18,102.2,-4883.19,39.0,4883.19,1152.06,125.21,3985.8
2019-07-19,101.66,-4883.19,39.0,4883.19,1152.06,125.21,3964.74
2019-07-22,102.05,-4883.19,39.0,4883.19,1152.06,125.21,3979.95
2019-07-23,100.72,-4883.19,39.0,4883.19,1152.06,125.21,3928.08
2019-07-24,101.31,-4883.19,39.0,4883.19,1152.06,125.21,3951.09
2019-07-25,102.32,-4883.19,39.0,4883.19,1152.06,125.21,3990.48
2019-07-26,103.63,-4883.19,39.0,4883.19,1152.06,125.21,4041.57
2019-07-29,103.61,-4883.19,39.0,4883.19,1152.06,125.21,4040.79
2019-07-30,103.34,-4883.19,39.0,4883.19,1152.06,125.21,4030.26
2019-07-31,102.08,-4883.19,39.0,4883.19,1152.06,125.21,3981.12
2019-08-01,103.46,-4883.19,39.0,4883.19,1152.06,125.21,4034.94
2019-08-02,101.59,-4883.19,39.0,4883.19,1152.06,125.21,3962.01
2019-08-05,96.78,-4883.19,39.0,4883.19,1152.06,125.21,3774.42
2019-08-06,93.26,-4883.19,39.0,4883.19,1152.06,125.21,3637.14
2019-08-07,95.69,-4883.19,39.0,4883.19,1152.06,125.21,3731.91
2019-08-08,98.47,-4883.19,39.0,4883.19,1152.06,125.21,3840.33
2019-08-09,96.76,-4883.19,39.0,4883.19,1152.06,125.21,3773.64
2019-08-12,96.21,-4883.19,39.0,4883.19,1152.06,125.21,3752.19
2019-08-13,95.99,-4883.19,39.0,4883.19,1152.06,125.21,3743.61
2019-08-14,93.95,-4883.19,39.0,4883.19,1152.06,125.21,3664.05
2019-08-15,93.3,-4883.19,39.0,4883.19,1152.06,125.21,3638.7
2019-08-16,94.75,-4883.19,39.0,4883.19,1152.06,125.21,3695.25
2019-08-19,94.71,-4883.19,39.0,4883.19,1152.06,125.21,3693.69
2019-08-20,93.37,-4883.19,39.0,4883.19,1152.06,125.21,3641.43
2019-08-21,95.07,-4883.19,39.0,4883.19,1152.06,125.21,3707.73
2019-08-22,94.88,-4883.19,39.0,4883.19,1152.06,125.21,3700.32
2019-08-23,93.65,-4883.19,39.0,4883.19,1152.06,125.21,3652.35
2019-08-26,94.44,-4883.19,39.0,4883.19,1152.06,125.21,3683.16
2019-08-27,94.86,-4883.19,39.0,4883.19,1152.06,125.21,3699.54
2019-08-28,94.18,-4883.19,39.0,4883.19,1152.06,125.21,3673.02
2019-08-29,96.1,-4883.19,39.0,4883.19,1152.06,125.21,3747.9
2019-08-30,96.18,-4883.19,39.0,4883.19,1152.06,125.21,3751.02
2019-09-03,93.55,-4883.19,39.0,4883.19,1152.06,125.21,3648.45
2019-09-04,94.2,-4883.19,39.0,4883.19,1152.06,125.21,3673.8
2019-09-05,95.41,-4883.19,39.0,4883.19,1152.06,125.21,3720.99
2019-09-06,109.41,-4883.19,39.0,4883.19,1152.06,125.21,4266.99
2019-09-09,104.14,-4883.19,39.0,4883.19,1152.06,125.21,4061.46
2019-09-10,106.47,-4883.19,39.0,4883.19,1152.06,125.21,4152.33
2019-09-11,109.09,-4883.19,39.0,4883.19,1152.06,125.21,4254.51
2019-09-12,107.49,-4883.19,39.0,4883.19,1152.06,125.21,4192.11
2019-09-13,105.9,-4883.19,39.0,4883.19,1152.06,125.21,4130.1
2019-09-16,106.62,-4883.19,39.0,4883.19,1152.06,125.21,4158.18
2019-09-17,107.82,-4883.19,39.0,4883.19,1152.06,125.21,4204.98
2019-09-18,108.55,-4883.19,39.0,4883.19,1152.06,125.21,4233.45
2019-09-19,108.0,-4883.19,39.0,4883.19,1152.06,125.21,4212.0
2019-09-20,109.24,-4883.19,39.0,4883.19,1152.06,125.21,4260.36
2019-09-23,108.81,-4883.19,39.0,4883.19,1152.06,125.21,4243.59
2019-09-24,106.62,-4883.19,39.0,4883.19,1152.06,125.21,4158.18
2019-09-25,107.37,-4883.19,39.0,4883.19,1152.06,125.21,4187.43
2019-09-26,104.55,-4883.19,39.0,4883.19,1152.06,125.21,4077.45
2019-09-27,101.86,-4883.19,39.0,4883.19,1152.06,125.21,3972.54
2019-09-30,105.38,-4883.19,39.0,4883.19,1152.06,125.21,4109.82
2019-10-01,105.26,-4883.19,39.0,4883.19,1152.06,125.21,4105.14
2019-10-02,104.04,-4883.19,39.0,4883.19,1152.06,125.21,4057.56
2019-10-03,103.99,-4883.19,39.0,4883.19,1152.06,125.21,4055.61
2019-10-04,106.08,-4883.19,39.0,4883.19,1152.06,125.21,4137.12
2019-10-07,106.9,-4883.19,39.0,4883.19,1152.06,125.21,4169.1
2019-10-08,103.97,-4883.19,39.0,4883.19,1152.06,125.21,4054.83
2019-10-09,104.88,-4883.19,39.0,4883.19,1152.06,125.21,4090.32
2019-10-10,105.59,-4883.19,39.0,4883.19,1152.06,125.21,4118.01
2019-10-11,108.0,-4883.19,39.0,4883.19,1152.06,125.21,4212.0
2019-10-14,109.07,-4883.19,39.0,4883.19,1152.06,125.21,4253.73
2019-10-15,110.3,-4883.19,39.0,4883.19,1152.06,125.21,4301.7
2019-10-16,109.48,-4883.19,39.0,4883.19,1152.06,125.21,4269.72
2019-10-17,111.16,-4883.19,39.0,4883.19,1152.06,125.21,4335.24
2019-10-18,109.25,-4883.19,39.0,4883.19,1152.06,125.21,4260.75
2019-10-21,110.2,-4883.19,39.0,4883.19,1152.06,125.21,4297.8
2019-10-22,109.21,-4883.19,39.0,4883.19,1152.06,125.21,4259.19
2019-10-23,108.89,-4883.19,39.0,4883.19,1152.06,125.21,4246.71
2019-10-24,111.0,-4883.19,39.0,4883.19,1152.06,125.21,4329.0
2019-10-25,111.32,-4883.19,39.0,4883.19,1152.06,125.21,4341.48
2019-10-28,112.9,-4883.19,39.0,4883.19,1152.06,125.21,4403.1
2019-10-29,112.36,-4883.19,39.0,4883.19,1152.06,125.21,4382.04
2019-10-30,112.95,-4883.19,39.0,4883.19,1152.06,125.21,4405.05
2019-10-31,112.74,-4883.19,39.0,4883.19,1152.06,125.21,4396.86
2019-11-01,114.14,-4883.19,39.0,4883.19,1152.06,125.21,4451.46
2019-11-04,114.75,-4883.19,39.0,4883.19,1152.06,125.21,4475.25
2019-11-05,113.59,-4883.19,39.0,4883.19,1152.06,125.21,4430.01
2019-11-06,113.11,-4883.19,39.0,4883.19,1152.06,125.21,4411.29
2019-11-07,114.29,-4883.19,39.0,4883.19,1152.06,125.21,4457.31
2019-11-08,118.44,-4883.19,39.0,4883.19,1152.06,125.21,4619.16
2019-11-11,117.74,-4883.19,39.0,4883.19,1152.06,125.21,4591.86
2019-11-12,117.87,-4883.19,39.0,4883.19,1152.06,125.21,4596.93
2019-11-13,116.28,-4883.19,39.0,4883.19,1152.06,125.21,4534.92
2019-11-14,117.34,-4883.19,39.0,4883.19,1152.06,125.21,4576.26
2019-11-15,119.3,-4883.19,39.0,4883.19,1152.06,125.21,4652.7
2019-11-18,118.55,-4883.19,39.0,4883.19,1152.06,125.21,4623.45
2019-11-19,118.75,-4883.19,39.0,4883.19,1152.06,125.21,4631.25
2019-11-20,119.11,-4883.19,39.0,4883.19,1152.06,125.21,4645.29
2019-11-21,118.58,-4883.19,39.0,4883.19,1152.06,125.21,4624.62
2019-11-22,119.42,-4883.19,39.0,4883.19,1152.06,125.21,4657.38
2019-11-25,121.01,-4883.19,39.0,4883.19,1152.06,125.21,4719.39
2019-11-26,122.51,-4883.19,39.0,4883.19,1152.06,125.21,4777.89
2019-11-27,121.25,-4883.19,39.0,4883.19,1152.06,125.21,4728.75
2019-11-29,121.83,-4883.19,39.0,4883.19,1152.06,125.21,4751.37
2019-12-02,119.21,-4883.19,39.0,4883.19,1152.06,125.21,4649.19
2019-12-03,120.02,-4883.19,39.0,4883.19,1152.06,125.21,4680.78
2019-12-04,118.62,-4883.19,39.0,4883.19,1152.06,125.21,4626.18
2019-12-05,119.33,-4883.19,39.0,4883.19,1152.06,125.21,4653.87
2019-12-06,110.77,-4883.19,39.0,4883.19,1152.06,125.21,4320.03
2019-12-09,108.19,-4883.19,39.0,4883.19,1152.06,125.21,4219.41
2019-12-10,106.54,-4883.19,39.0,4883.19,1152.06,125.21,4155.06
2019-12-11,107.34,-4883.19,39.0,4883.19,1152.06,125.21,4186.26
2019-12-12,105.43,-4883.19,39.0,4883.19,1152.06,125.21,4111.77
2019-12-13,104.73,-4883.19,39.0,4883.19,1152.06,125.21,4084.47
2019-12-16,105.54,-4883.19,39.0,4883.19,1152.06,125.21,4116.06
2019-12-17,104.98,-4883.19,39.0,4883.19,1152.06,125.21,4094.22
2019-12-18,105.25,-4883.19,39.0,4883.19,1152.06,125.21,4104.75
2019-12-19,106.77,-4883.19,39.0,4883.19,1152.06,125.21,4164.03
2019-12-20,107.85,-4883.19,39.0,4883.19,1152.06,125.21,4206.15
2019-12-23,107.21,-4883.19,39.0,4883.19,1152.06,125.21,4181.19
2019-12-24,107.51,-4883.19,39.0,4883.19,1152.06,125.21,4192.89
2019-12-26,108.03,-4883.19,39.0,4883.19,1152.06,125.21,4213.17
2019-12-27,109.0,-4883.19,39.0,4883.19,1152.06,125.21,4251.0
2019-12-30,109.46,-4883.19,39.0,4883.19,1152.06,125.21,4268.94
2019-12-31,109.77,-4883.19,39.0,4883.19,1152.06,125.21,4281.03
2020-01-02,110.08,-4883.19,39.0,4883.19,1152.06,125.21,4293.12
2020-01-03,110.29,-4883.19,39.0,4883.19,1152.06,125.21,4301.31
2020-01-06,110.45,-4883.19,39.0,4883.19,1152.06,125.21,4307.55
2020-01-07,111.34,-4883.19,39.0,4883.19,1152.06,125.21,4342.26
2020-01-08,110.74,-4883.19,39.0,4883.19,1152.06,125.21,4318.86
2020-01-09,111.09,-4883.19,39.0,4883.19,1152.06,125.21,4332.51
2020-01-10,112.5,-4883.19,39.0,4883.19,1152.06,125.21,4387.5
2020-01-13,113.37,-4883.19,39.0,4883.19,1152.06,125.21,4421.43
2020-01-14,112.41,-4883.19,39.0,4883.19,1152.06,125.21,4383.99
2020-01-15,113.0,-4883.19,39.0,4883.19,1152.06,125.21,4407.0
2020-01-16,113.62,-4883.19,39.0,4883.19,1152.06,125.21,4431.18
2020-01-17,113.02,-4883.19,39.0,4883.19,1152.06,125.21,4407.78
2020-01-21,112.89,-4883.19,39.0,4883.19,1152.06,125.21,4402.71
2020-01-22,112.37,-4883.19,39.0,4883.19,1152.06,125.21,4382.43
2020-01-23,112.0,-4883.19,39.0,4883.19,1152.06,125.21,4368.0
2020-01-24,111.81,-4883.19,39.0,4883.19,1152.06,125.21,4360.59
2020-01-27,111.53,-4883.19,39.0,4883.19,1152.06,125.21,4349.67
2020-01-28,111.0,-4883.19,39.0,4883.19,1152.06,125.21,4329.0
2020-01-29,111.12,-4883.19,39.0,4883.19,1152.06,125.21,4333.68
2020-01-30,113.21,-4883.19,39.0,4883.19,1152.06,125.21,4415.19
2020-01-31,112.5,-4883.19,39.0,4883.19,1152.06,125.21,4387.5
2020-02-03,114.06,-4883.19,39.0,4883.19,1152.06,125.21,4448.34
2020-02-04,117.63,-4883.19,39.0,4883.19,1152.06,125.21,4587.57
2020-02-05,116.84,-4883.19,39.0,4883.19,1152.06,125.21,4556.76
2020-02-06,117.37,-4883.19,39.0,4883.19,1152.06,125.21,4577.43
2020-02-07,117.99,-4883.19,39.0,4883.19,1152.06,125.21,4601.61
2020-02-10,120.62,-4883.19,39.0,4883.19,1152.06,125.21,4704.18
2020-02-11,121.0,-4883.19,39.0,4883.19,1152.06,125.21,4719.0
2020-02-12,120.95,-4883.19,39.0,4883.19,1152.06,125.21,4717.05
2020-02-13,121.26,-4883.19,39.0,4883.19,1152.06,125.21,4729.14
2020-02-14,122.42,-4883.19,39.0,4883.19,1152.06,125.21,4774.38
2020-02-18,122.22,-4883.19,39.0,4883.19,1152.06,125.21,4766.58
2020-02-19,122.6,-4883.19,39.0,4883.19,1152.06,125.21,4781.4
2020-02-20,122.07,-4883.19,39.0,4883.19,1152.06,125.21,4760.73
2020-02-21,119.5,-4883.19,39.0,4883.19,1152.06,125.21,4660.5
2020-02-24,115.03,-4883.19,39.0,4883.19,1152.06,125.21,4486.17
2020-02-25,110.87,-4883.19,39.0,4883.19,1152.06,125.21,4323.93
2020-02-26,111.33,-4883.19,39.0,4883.19,1152.06,125.21,4341.87
2020-02-27,108.53,-4883.19,39.0,4883.19,1152.06,125.21,4232.67
2020-02-28,109.61,-4883.19,39.0,4883.19,1152.06,125.21,4274.79
2020-03-02,111.94,-4883.19,39.0,4883.19,1152.06,125.21,4365.66
2020-03-03,106.0,-4883.19,39.0,4883.19,1152.06,125.21,4134.0
2020-03-04,112.48,-4883.19,39.0,4883.19,1152.06,125.21,4386.72
2020-03-05,93.56,-4883.19,39.0,4883.19,1152.06,125.21,3648.84
2020-03-06,91.25,-4883.19,39.0,4883.19,1152.06,125.21,3558.75
2020-03-09,83.36,-4883.19,39.0,4883.19,1152.06,125.21,3251.04
2020-03-10,83.72,-4883.19,39.0,4883.19,1152.06,125.21,3265.08
2020-03-11,80.87,-4883.19,39.0,4883.19,1152.06,125.21,3153.93
2020-03-12,77.49,-4883.19,39.0,4883.19,1152.06,125.21,3022.11
2020-03-13,80.83,-4883.19,39.0,4883.19,1152.06,125.21,3152.37
2020-03-16,77.76,-4883.19,39.0,4883.19,1152.06,125.21,3032.64
2020-03-17,86.09,-4883.19,39.0,4883.19,1152.06,125.21,3357.51
2020-03-18,80.32,-4883.19,39.0,4883.19,1152.06,125.21,3132.48
2020-03-19,84.94,-4883.19,39.0,4883.19,1152.06,125.21,3312.66
2020-03-20,81.77,-4883.19,39.0,4883.19,1152.06,125.21,3189.03
2020-03-23,76.06,-4883.19,39.0,4883.19,1152.06,125.21,2966.34
2020-03-24,77.86,-4883.19,39.0,4883.19,1152.06,125.21,3036.54
2020-03-25,80.31,-4883.19,39.0,4883.19,1152.06,125.21,3132.09
2020-03-26,83.96,-4883.19,39.0,4883.19,1152.06,125.21,3274.44
2020-03-27,80.84,-4883.19,39.0,4883.19,1152.06,125.21,3152.76
2020-03-30,83.08,-4883.19,39.0,4883.19,1152.06,125.21,3240.12
2020-03-31,79.31,-4883.19,39.0,4883.19,1152.06,125.21,3093.09
2020-04-01,75.58,-4883.19,39.0,4883.19,1152.06,125.21,2947.62
2020-04-02,73.98,-4883.19,39.0,4883.19,1152.06,125.21,2885.22
2020-04-03,74.0,-4883.19,39.0,4883.19,1152.06,125.21,2886.0
2020-04-06,80.47,-4883.19,39.0,4883.19,1152.06,125.21,3138.33
2020-04-07,80.09,-4883.19,39.0,4883.19,1152.06,125.21,3123.51
2020-04-08,83.38,-4883.19,39.0,4883.19,1152.06,125.21,3251.82
2020-04-09,83.41,-4883.19,39.0,4883.19,1152.06,125.21,3252.99
2020-04-13,84.64,-4883.19,39.0,4883.19,1152.06,125.21,3300.96
2020-04-14,86.51,-4883.19,39.0,4883.19,1152.06,125.21,3373.89
2020-04-15,84.94,-4883.19,39.0,4883.19,1152.06,125.21,3312.66
2020-04-16,87.3,-4883.19,39.0,4883.19,1152.06,125.21,3404.7
2020-04-17,88.77,-4883.19,39.0,4883.19,1152.06,125.21,3462.03
2020-04-20,89.75,-4883.19,39.0,4883.19,1152.06,125.21,3500.25
2020-04-21,85.26,-4883.19,39.0,4883.19,1152.06,125.21,3325.14
2020-04-22,88.34,-4883.19,39.0,4883.19,1152.06,125.21,3445.26
2020-04-23,86.87,-4883.19,39.0,4883.19,1152.06,125.21,3387.93
2020-04-24,87.17,-4883.19,39.0,4883.19,1152.06,125.21,3399.63
2020-04-27,90.04,-4883.19,39.0,4883.19,1152.06,125.21,3511.56
2020-04-28,87.97,-4883.19,39.0,4883.19,1152.06,125.21,3430.83
2020-04-29,90.72,-4883.19,39.0,4883.19,1152.06,125.21,3538.08
2020-04-30,90.84,-4883.19,39.0,4883.19,1152.06,125.21,3542.76
2020-05-01,86.61,-4883.19,39.0,4883.19,1152.06,125.21,3377.79
2020-05-04,88.77,-4883.19,39.0,4883.19,1152.06,125.21,3462.03
2020-05-05,91.68,-4883.19,39.0,4883.19,1152.06,125.21,3575.52
2020-05-06,92.98,-4883.19,39.0,4883.19,1152.06,125.21,3626.22
2020-05-07,95.7,-4883.19,39.0,4883.19,1152.06,125.21,3732.3
2020-05-08,97.24,-4883.19,39.0,4883.19,1152.06,125.21,3792.36
2020-05-11,96.99,-4883.19,39.0,4883.19,1152.06,125.21,3782.61
2020-05-12,93.61,-4883.19,39.0,4883.19,1152.06,125.21,3650.79
2020-05-13,91.03,-4883.19,39.0,4883.19,1152.06,125.21,3550.17
2020-05-14,92.17,-4883.19,39.0,4883.19,1152.06,125.21,3594.63
