date,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2019-01-01,0.0,-4995.62,121.951,4995.62,0.0,40.964,0.0,0.0,-4999.54,2500.0,4999.54,0.0,2.0,0.0,0.0,-4998.737,1250.0,4998.737,0.0,3.999,0.0,0.0,-4998.0,833.333,4998.0,0.0,5.998,0.0
2019-01-02,41.9,-4995.62,121.951,4995.62,0.0,40.964,5109.756,2.89,-4999.54,2500.0,4999.54,0.0,2.0,7225.0,4.437,-4998.737,1250.0,4998.737,0.0,3.999,5546.867,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667
2019-01-03,41.28,-4995.62,121.951,4995.62,0.0,40.964,5034.146,2.62,-4999.54,2500.0,4999.54,0.0,2.0,6550.0,4.351,-4998.737,1250.0,4998.737,0.0,3.999,5439.16,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667
2019-01-04,41.75,-4995.62,121.951,4995.62,0.0,40.964,5091.463,2.63,-4999.54,2500.0,4999.54,0.0,2.0,6575.0,4.532,-4998.737,1250.0,4998.737,0.0,3.999,5665.343,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667
2019-01-07,41.13,-4995.62,121.951,4995.62,0.0,40.964,5015.854,2.67,-4999.54,2500.0,4999.54,0.0,2.0,6675.0,4.575,-4998.737,1250.0,4998.737,0.0,3.999,5719.196,6.0,-4998.0,833.333,4998.0,0.0,5.998,5000.0
2019-01-08,40.92,-4995.62,121.951,4995.62,0.0,40.964,4990.244,2.58,-4999.54,2500.0,4999.54,0.0,2.0,6450.0,4.67,-4998.737,1250.0,4998.737,0.0,3.999,5837.673,7.0,-4998.0,833.333,4998.0,0.0,5.998,5833.333
2019-01-09,41.88,-4995.62,121.951,4995.62,0.0,40.964,5107.317,2.64,-4999.54,2500.0,4999.54,0.0,2.0,6600.0,4.748,-4998.737,1250.0,4998.737,0.0,3.999,5934.609,7.5,-4998.0,833.333,4998.0,0.0,5.998,6250.0
2019-01-10,40.88,-4995.62,121.951,4995.62,0.0,40.964,4985.366,2.74,-4999.54,2500.0,4999.54,0.0,2.0,6850.0,4.877,-4998.737,1250.0,4998.737,0.0,3.999,6096.168,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667
2019-01-11,41.08,-4995.62,121.951,4995.62,0.0,40.964,5009.756,2.76,-4999.54,2500.0,4999.54,0.0,2.0,6900.0,5.032,-4998.737,1250.0,4998.737,0.0,3.999,6290.039,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667
2019-01-14,40.14,-4995.62,121.951,4995.62,0.0,40.964,4895.122,2.66,-4999.54,2500.0,4999.54,0.0,2.0,6650.0,4.929,-4998.737,1250.0,4998.737,0.0,3.999,6160.792,8.1,-4998.0,833.333,4998.0,0.0,5.998,6750.0
2019-01-15,41.5,-4995.62,121.951,4995.62,0.0,40.964,5060.976,2.96,-4999.54,2500.0,4999.54,0.0,2.0,7400.0,4.662,-4998.737,1250.0,4998.737,0.0,3.999,5826.902,8.1,-4998.0,833.333,4998.0,0.0,5.998,6750.0
2019-01-16,42.35,-4995.62,121.951,4995.62,0.0,40.964,5164.634,2.95,-4999.54,2500.0,4999.54,0.0,2.0,7375.0,4.903,-4998.737,1250.0,4998.737,0.0,3.999,6128.48,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667
2019-01-17,42.51,-4995.62,121.951,4995.62,0.0,40.964,5184.146,2.92,-4999.54,2500.0,4999.54,0.0,2.0,7300.0,5.11,-4998.737,1250.0,4998.737,0.0,3.999,6386.974,7.75,-4998.0,833.333,4998.0,0.0,5.998,6458.333
2019-01-18,41.98,-4995.62,121.951,4995.62,0.0,40.964,5119.512,2.72,-4999.54,2500.0,4999.54,0.0,2.0,6800.0,5.256,-4998.737,1250.0,4998.737,0.0,3.999,6570.075,7.71,-4998.0,833.333,4998.0,0.0,5.998,6425.0
2019-01-22,40.51,-4995.62,121.951,4995.62,0.0,40.964,4940.244,2.67,-4999.54,2500.0,4999.54,0.0,2.0,6675.0,4.998,-4998.737,1250.0,4998.737,0.0,3.999,6246.957,7.7,-4998.0,833.333,4998.0,0.0,5.998,6416.667
2019-01-23,40.19,-4995.62,121.951,4995.62,0.0,40.964,4901.219,2.75,-4999.54,2500.0,4999.54,0.0,2.0,6875.0,5.084,-4998.737,1250.0,4998.737,0.0,3.999,6354.663,7.9,-4998.0,833.333,4998.0,0.0,5.998,6583.333
2019-01-24,40.44,-4995.62,121.951,4995.62,0.0,40.964,4931.707,2.7,-4999.54,2500.0,4999.54,0.0,2.0,6750.0,5.247,-4998.737,1250.0,4998.737,0.0,3.999,6559.305,8.4,-4998.0,833.333,4998.0,0.0,5.998,7000.0
2019-01-25,41.36,-4995.62,121.951,4995.62,0.0,40.964,5043.903,2.75,-4999.54,2500.0,4999.54,0.0,2.0,6875.0,5.23,-4998.737,1250.0,4998.737,0.0,3.999,6537.763,7.8,-4998.0,833.333,4998.0,0.0,5.998,6500.0
2019-01-28,40.95,-4995.62,121.951,4995.62,0.0,40.964,4993.903,2.75,-4999.54,2500.0,4999.54,0.0,2.0,6875.0,5.161,-4998.737,1250.0,4998.737,0.0,3.999,6451.598,8.5,-4998.0,833.333,4998.0,0.0,5.998,7083.333
2019-01-29,41.16,-4995.62,121.951,4995.62,0.0,40.964,5019.512,2.74,-4999.54,2500.0,4999.54,0.0,2.0,6850.0,5.394,-4998.737,1250.0,4998.737,0.0,3.999,6742.405,8.5,-4998.0,833.333,4998.0,0.0,5.998,7083.333
2019-01-30,41.84,-4995.62,121.951,4995.62,0.0,40.964,5102.439,2.85,-4999.54,2500.0,4999.54,0.0,2.0,7125.0,5.558,-4998.737,1250.0,4998.737,0.0,3.999,6947.046,8.5,-4998.0,833.333,4998.0,0.0,5.998,7083.333
2019-01-31,42.71,-4995.62,121.951,4995.62,0.0,40.964,5208.536,2.92,-4999.54,2500.0,4999.54,0.0,2.0,7300.0,5.687,-4998.737,1250.0,4998.737,0.0,3.999,7108.606,8.5,-4998.0,833.333,4998.0,0.0,5.998,7083.333
2019-02-01,42.95,-4995.62,121.951,4995.62,0.0,40.964,5237.805,2.88,-4999.54,2500.0,4999.54,0.0,2.0,7200.0,5.764,-4998.737,1250.0,4998.737,0.0,3.999,7205.541,8.5,-4998.0,833.333,4998.0,0.0,5.998,7083.333
2019-02-04,42.92,-4995.62,121.951,4995.62,0.0,40.964,5234.146,2.86,-4999.54,2500.0,4999.54,0.0,2.0,7150.0,6.238,-4998.737,1250.0,4998.737,0.0,3.999,7797.925,8.5,-4998.0,833.333,4998.0,0.0,5.998,7083.333
2019-02-05,43.39,-4995.62,121.951,4995.62,0.0,40.964,5291.463,2.87,-4999.54,2500.0,4999.54,0.0,2.0,7175.0,7.255,-4998.737,1250.0,4998.737,0.0,3.999,9068.857,8.6,-4998.0,833.333,4998.0,0.0,5.998,7166.667
2019-02-06,43.47,-4995.62,121.951,4995.62,0.0,40.964,5301.22,2.92,-4999.54,2500.0,4999.54,0.0,2.0,7300.0,8.487,-4998.737,1250.0,4998.737,0.0,3.999,10609.056,8.6,-4998.0,833.333,4998.0,0.0,5.998,7166.667
2019-02-07,42.7,-4995.62,121.951,4995.62,0.0,40.964,5207.317,2.84,-4999.54,2500.0,4999.54,0.0,2.0,7100.0,7.807,-4998.737,1250.0,4998.737,0.0,3.999,9758.177,8.6,-4998.0,833.333,4998.0,0.0,5.998,7166.667
2019-02-08,40.94,-4995.62,121.951,4995.62,0.0,40.964,4992.683,2.82,-4999.54,2500.0,4999.54,0.0,2.0,7050.0,7.29,-4998.737,1250.0,4998.737,0.0,3.999,9111.94,8.6,-4998.0,833.333,4998.0,0.0,5.998,7166.667
2019-02-11,40.99,-4995.62,121.951,4995.62,0.0,40.964,4998.781,2.86,-4999.54,2500.0,4999.54,0.0,2.0,7150.0,7.453,-4998.737,1250.0,4998.737,0.0,3.999,9316.581,8.5,-4998.0,833.333,4998.0,0.0,5.998,7083.333
2019-02-12,40.48,-4995.62,121.951,4995.62,0.0,40.964,4936.585,2.82,-4999.54,2500.0,4999.54,0.0,2.0,7050.0,7.238,-4998.737,1250.0,4998.737,0.0,3.999,9047.316,8.6,-4998.0,833.333,4998.0,0.0,5.998,7166.667
2019-02-13,40.67,-4995.62,121.951,4995.62,0.0,40.964,4959.756,2.87,-4999.54,2500.0,4999.54,0.0,2.0,7175.0,7.091,-4998.737,1250.0,4998.737,0.0,3.999,8864.215,8.68,-4998.0,833.333,4998.0,0.0,5.998,7233.334
2019-02-14,40.75,-4995.62,121.951,4995.62,0.0,40.964,4969.512,2.84,-4999.54,2500.0,4999.54,0.0,2.0,7100.0,7.583,-4998.737,1250.0,4998.737,0.0,3.999,9478.141,8.6,-4998.0,833.333,4998.0,0.0,5.998,7166.667
2019-02-15,40.9,-4995.62,121.951,4995.62,0.0,40.964,4987.805,2.76,-4999.54,2500.0,4999.54,0.0,2.0,6900.0,7.462,-4998.737,1250.0,4998.737,0.0,3.999,9327.352,8.6,-4998.0,833.333,4998.0,0.0,5.998,7166.667
2019-02-19,40.73,-4995.62,121.951,4995.62,0.0,40.964,4967.073,2.76,-4999.54,2500.0,4999.54,0.0,2.0,6900.0,7.402,-4998.737,1250.0,4998.737,0.0,3.999,9251.958,8.6,-4998.0,833.333,4998.0,0.0,5.998,7166.667
2019-02-20,40.47,-4995.62,121.951,4995.62,0.0,40.964,4935.366,2.77,-4999.54,2500.0,4999.54,0.0,2.0,6925.0,7.358,-4998.737,1250.0,4998.737,0.0,3.999,9198.105,8.7,-4998.0,833.333,4998.0,0.0,5.998,7250.0
2019-02-21,39.68,-4995.62,121.951,4995.62,0.0,40.964,4839.024,2.84,-4999.54,2500.0,4999.54,0.0,2.0,7100.0,7.307,-4998.737,1250.0,4998.737,0.0,3.999,9133.481,8.8,-4998.0,833.333,4998.0,0.0,5.998,7333.333
