date,ICCT_adj_close,ICCT_cashflow,ICCT_cml_units,ICCT_cml_cost,ICCT_gain_loss,ICCT_avg_price,ICCT_mktvalue
2019-01-01,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,0.0
2019-01-02,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-01-03,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-01-04,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-01-07,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-01-08,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-01-09,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-01-10,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-01-11,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-01-14,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-01-15,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-01-16,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-01-17,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-01-18,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-01-22,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-01-23,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-01-24,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-01-25,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-01-28,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-01-29,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-01-30,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-01-31,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-02-01,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-02-04,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-02-05,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
2019-02-06,0.0,-4999.93,38461.0,4999.93,34603.361,0.13,11.538
