date,BABA_adj_close,BABA_cashflow,BABA_cml_units,BABA_cml_cost,BABA_gain_loss,BABA_avg_price,BABA_mktvalue
2019-01-01,0.0,-4998.805,38.0,4998.805,2851.14,131.548,0.0
2019-01-02,136.7,-4998.805,38.0,4998.805,2851.14,131.548,5194.6
2019-01-03,130.6,-4998.805,38.0,4998.805,2851.14,131.548,4962.8
2019-01-04,139.75,-4998.805,38.0,4998.805,2851.14,131.548,5310.5
2019-01-07,143.1,-4998.805,38.0,4998.805,2851.14,131.548,5437.8
2019-01-08,146.79,-4998.805,38.0,4998.805,2851.14,131.548,5578.02
2019-01-09,151.92,-4998.805,38.0,4998.805,2851.14,131.548,5772.96
2019-01-10,151.69,-4998.805,38.0,4998.805,2851.14,131.548,5764.22
2019-01-11,151.32,-4998.805,38.0,4998.805,2851.14,131.548,5750.16
2019-01-14,149.27,-4998.805,38.0,4998.805,2851.14,131.548,5672.26
2019-01-15,150.88,-4998.805,38.0,4998.805,2851.14,131.548,5733.44
2019-01-16,154.84,-4998.805,38.0,4998.805,2851.14,131.548,5883.92
2019-01-17,155.97,-4998.805,38.0,4998.805,2851.14,131.548,5926.86
2019-01-18,157.02,-4998.805,38.0,4998.805,2851.14,131.548,5966.76
2019-01-22,152.15,-4998.805,38.0,4998.805,2851.14,131.548,5781.7
2019-01-23,152.03,-4998.805,38.0,4998.805,2851.14,131.548,5777.14
2019-01-24,155.86,-4998.805,38.0,4998.805,2851.14,131.548,5922.68
2019-01-25,159.21,-4998.805,38.0,4998.805,2851.14,131.548,6049.98
2019-01-28,158.92,-4998.805,38.0,4998.805,2851.14,131.548,6038.96
2019-01-29,156.88,-4998.805,38.0,4998.805,2851.14,131.548,5961.44
2019-01-30,166.82,-4998.805,38.0,4998.805,2851.14,131.548,6339.16
2019-01-31,168.49,-4998.805,38.0,4998.805,2851.14,131.548,6402.62
2019-02-01,167.97,-4998.805,38.0,4998.805,2851.14,131.548,6382.86
2019-02-04,166.7,-4998.805,38.0,4998.805,2851.14,131.548,6334.6
2019-02-05,171.83,-4998.805,38.0,4998.805,2851.14,131.548,6529.54
2019-02-06,171.52,-4998.805,38.0,4998.805,2851.14,131.548,6517.76
2019-02-07,166.96,-4998.805,38.0,4998.805,2851.14,131.548,6344.48
2019-02-08,167.36,-4998.805,38.0,4998.805,2851.14,131.548,6359.68
2019-02-11,167.45,-4998.805,38.0,4998.805,2851.14,131.548,6363.1
2019-02-12,168.71,-4998.805,38.0,4998.805,2851.14,131.548,6410.98
2019-02-13,169.4,-4998.805,38.0,4998.805,2851.14,131.548,6437.2
2019-02-14,168.38,-4998.805,38.0,4998.805,2851.14,131.548,6398.44
