date,GLBD_adj_close,GLBD_cashflow,GLBD_cml_units,GLBD_cml_cost,GLBD_gain_loss,GLBD_avg_price,GLBD_mktvalue,MMNT_adj_close,MMNT_cashflow,MMNT_cml_units,MMNT_cml_cost,MMNT_gain_loss,MMNT_avg_price,MMNT_mktvalue,IMOS_adj_close,IMOS_cashflow,IMOS_cml_units,IMOS_cml_cost,IMOS_gain_loss,IMOS_avg_price,IMOS_mktvalue,AIHS_adj_close,AIHS_cashflow,AIHS_cml_units,AIHS_cml_cost,AIHS_gain_loss,AIHS_avg_price,AIHS_mktvalue,VERB_adj_close,VERB_cashflow,VERB_cml_units,VERB_cml_cost,VERB_gain_loss,VERB_avg_price,VERB_mktvalue,CHUC_adj_close,CHUC_cashflow,CHUC_cml_units,CHUC_cml_cost,CHUC_gain_loss,CHUC_avg_price,CHUC_mktvalue,MLFB_adj_close,MLFB_cashflow,MLFB_cml_units,MLFB_cml_cost,MLFB_gain_loss,MLFB_avg_price,MLFB_mktvalue,LOMA_adj_close,LOMA_cashflow,LOMA_cml_units,LOMA_cml_cost,LOMA_gain_loss,LOMA_avg_price,LOMA_mktvalue,GURE_adj_close,GURE_cashflow,GURE_cml_units,GURE_cml_cost,GURE_gain_loss,GURE_avg_price,GURE_mktvalue,UAVS_adj_close,UAVS_cashflow,UAVS_cml_units,UAVS_cml_cost,UAVS_gain_loss,UAVS_avg_price,UAVS_mktvalue,AREB_adj_close,AREB_cashflow,AREB_cml_units,AREB_cml_cost,AREB_gain_loss,AREB_avg_price,AREB_mktvalue,LCHD_adj_close,LCHD_cashflow,LCHD_cml_units,LCHD_cml_cost,LCHD_gain_loss,LCHD_avg_price,LCHD_mktvalue,PGTK_adj_close,PGTK_cashflow,PGTK_cml_units,PGTK_cml_cost,PGTK_gain_loss,PGTK_avg_price,PGTK_mktvalue,BOXS_adj_close,BOXS_cashflow,BOXS_cml_units,BOXS_cml_cost,BOXS_gain_loss,BOXS_avg_price,BOXS_mktvalue
2019-02-26,,,,,,,,0.0,-5000.0,8333.333,5000.0,0.0,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,454.545,5000.0,0.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-04,0.0,-5000.0,2493.765,5000.0,0.0,2.005,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,974357.99,14615.37,9615.374,0.015,0.0
2019-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-463.09,10204.081,5000.0,-462.95,0.49,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1193.05,1754.386,5000.0,1195.15,2.85,0.0,,,,,,,
2019-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,2499999.825,10000.0,5000.0,0.004,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-14,,,,,,,,,,,,,,,0.0,-5000.0,337.605,5209.25,223.92,15.43,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-15,,,,,,,,,,,,,,,,,,,,,,0.0,1852.16,939.85,5000.0,1854.72,5.32,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6499.08,10189.402,9374.25,3374.731,0.92,0.0,,,,,,,,,,,,,,,,,,,,,
2019-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,1092.5,5790.25,792.35,5.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,963.661,6119.25,1119.375,6.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,11065.634,4536.91,-462.95,0.41,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,13846.135,298272.855,14615.37,13076.91,0.049,0.0
2019-04-01,,,,,,,,,,,,,,,0.0,383.41,300.939,5209.25,584.68,17.31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,427630.917,8124.987,3124.995,0.019,0.0,,,,,,,,0.0,2618.75,926.44,5790.25,1158.05,6.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13999.999,1052631.589,10000.0,10999.999,0.009,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-18,,,,,,,,0.0,2583.03,5494.505,5000.0,2583.23,0.91,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-14,,,,,,,,,,,,,,,0.0,-5000.0,325.085,5383.41,584.68,16.56,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,1177883.351,18846.135,13076.91,0.016,0.0
2019-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,23124.956,180555.263,8124.987,16249.975,0.045,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-21,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,1675.345,6852.16,1854.72,4.09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,1451.19,7618.75,1158.05,5.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,1727272.681,18999.999,10999.999,0.011,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,166.52,439.367,5000.0,172.52,11.38,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-17,,,,,,,,0.0,-5000.0,12638.383,7583.03,2583.23,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-2990.1,3029.332,6119.25,-4308.35,2.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,12776.756,11499.08,3374.731,0.9,0.0,,,,,,,,,,,,,,,,,,,,,
2019-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,1769.443,6193.05,1195.15,3.5,0.0,,,,,,,
2019-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,1385465.757,28124.956,16249.975,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,1010.0,2009.9,-4308.35,1.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-15,,,,,,,,,,,,,,,0.0,50.64,331.491,5383.41,-99.52,16.24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-3019.95,1010.0,2009.9,-4308.35,1.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,36999.999,904761.888,18999.999,20000.0,0.021,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-2314.89,15644.518,4536.91,-1111.08,0.29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,9259.0,2685.11,-1111.08,0.29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6811.555,12168.339,11499.08,562.455,0.945,0.0,,,,,,,,,,,,,,,,,,,,,
2019-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,30679.364,11811.555,562.455,0.385,0.0,,,,,,,,,,,,,,,,,,,,,
2019-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,1064.543,1980.05,-4308.35,1.86,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,861.087,5166.52,172.52,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-29,,,,,,,,0.0,383.118,11738.436,7583.03,383.318,0.646,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-2314.89,9259.0,2685.11,-1111.08,0.29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,2800000.025,41999.999,20000.0,0.015,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-14,0.0,-1135.85,3225.807,5000.0,-1134.315,1.55,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-18,,,,,,,,0.0,-5000.0,8682.449,5383.118,383.318,0.62,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-3461.54,4711533.403,18846.135,-4615.38,0.004,0.0
2019-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-2394.04,900.091,5166.52,-118.04,5.74,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10437.476,1138662.15,28124.956,2749.996,0.025,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-31,,,,,,,,,,,,,,,0.0,-5000.0,257.161,5050.64,-99.52,19.64,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,512820.02,1538.46,-4615.38,0.003,0.0
2019-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-550.65,2087.329,7618.75,-1950.4,3.65,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-11,,,,,,,,,,,,,,,0.0,2277.4,215.839,5050.64,1169.36,23.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-18,,,,,,,,,,,,,,,,,,,,,,0.0,-3686.24,6717.804,6852.16,-3954.16,1.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,1508.254,4449.35,-1950.4,2.95,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-20,,,,,,,,0.0,-250.19,9444.067,5383.118,-416.65,0.57,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1923.08,192307.5,1538.46,1923.075,0.008,0.0
2019-12-04,,,,,,,,0.0,-5000.0,9499.62,4749.81,-416.65,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1279.97,2142.924,6193.05,-1325.53,2.89,0.0,,,,,,,
2019-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,2203.498,6279.97,-1325.53,2.85,0.0,,,,,,,
2019-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1193.05,2203.498,6279.97,-1325.53,2.85,0.0,,,,,,,
2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-3537.35,1346.973,1980.05,-388.05,1.47,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-20,0.0,-5000.0,2273.029,3864.15,-1134.315,1.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,1286456.31,15437.476,2749.996,0.012,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,5000.0,5000.0,0.0,1.0,0.0,,,,,,,,,,,,,,
2019-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5000.0,5966.911,2685.11,-1111.08,0.45,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,1.7,-761.9,2273.029,3864.15,-1134.315,1.7,3864.15,0.4,-1666.8,11874.525,4749.81,-833.3,0.4,4749.81,21.167,2277.4,215.839,5050.64,1169.36,23.4,4568.677,0.705,-3686.24,6717.804,6852.16,-3954.16,1.02,4736.052,1.69,-3537.35,1346.973,1980.05,-388.05,1.47,2276.384,0.002,-1400.0,23333333.42,41999.999,-26399.999,0.002,41999.999,0.011,1943.739,1389511.739,15437.476,-556.249,0.011,15437.476,7.62,-2394.04,900.091,5166.52,-118.04,5.74,6858.691,2.6,-1830.6,1711.289,4449.35,-426.65,2.6,4449.35,0.47,-648.27,5713.0,2685.11,185.18,0.47,2685.11,0.285,-1437.785,41444.053,11811.555,-1249.9,0.285,11811.555,1.0,0.0,5000.0,5000.0,0.0,1.0,5000.0,2.95,1193.05,2203.498,6279.97,-1325.53,2.85,6500.32,0.004,-1923.08,192307.5,1538.46,1923.075,0.008,769.23
2020-01-03,1.7,-761.9,2273.029,3864.15,-1134.315,1.7,3864.15,0.4,-1666.8,11874.525,4749.81,-833.3,0.4,4749.81,20.547,2277.4,215.839,5050.64,1169.36,23.4,4434.884,0.692,-3686.24,6717.804,6852.16,-3954.16,1.02,4648.72,1.71,-3537.35,1346.973,1980.05,-388.05,1.47,2303.323,0.002,-1400.0,23333333.42,41999.999,-26399.999,0.002,46666.669,0.013,1943.739,1389511.739,15437.476,-556.249,0.011,18063.653,7.44,-2394.04,900.091,5166.52,-118.04,5.74,6696.674,2.95,-1830.6,1711.289,4449.35,-426.65,2.6,5048.301,0.54,-648.27,5713.0,2685.11,185.18,0.47,3085.02,0.283,-1437.785,41444.053,11811.555,-1249.9,0.285,11741.101,1.0,0.0,5000.0,5000.0,0.0,1.0,5000.0,3.29,1193.05,2203.498,6279.97,-1325.53,2.85,7249.51,0.004,-1923.08,192307.5,1538.46,1923.075,0.008,769.23
2020-01-06,1.7,-761.9,2273.029,3864.15,-1134.315,1.7,3864.15,0.4,-1666.8,11874.525,4749.81,-833.3,0.4,4749.81,20.1,2277.4,215.839,5050.64,1169.36,23.4,4338.473,0.705,-3686.24,6717.804,6852.16,-3954.16,1.02,4736.052,1.61,-3537.35,1346.973,1980.05,-388.05,1.47,2168.626,0.002,-1400.0,23333333.42,41999.999,-26399.999,0.002,41999.999,0.01,1943.739,1389511.739,15437.476,-556.249,0.011,13895.117,7.3,-2394.04,900.091,5166.52,-118.04,5.74,6570.662,2.8,-1830.6,1711.289,4449.35,-426.65,2.6,4791.608,0.55,-648.27,5713.0,2685.11,185.18,0.47,3142.15,0.283,-1437.785,41444.053,11811.555,-1249.9,0.285,11741.101,1.0,0.0,5000.0,5000.0,0.0,1.0,5000.0,3.25,1193.05,2203.498,6279.97,-1325.53,2.85,7161.37,0.004,-1923.08,192307.5,1538.46,1923.075,0.008,769.23
2020-01-07,1.7,-761.9,2273.029,3864.15,-1134.315,1.7,3864.15,0.4,-1666.8,11874.525,4749.81,-833.3,0.4,4749.81,19.946,2277.4,215.839,5050.64,1169.36,23.4,4305.025,0.736,-3686.24,6717.804,6852.16,-3954.16,1.02,4944.304,1.51,-3537.35,1346.973,1980.05,-388.05,1.47,2033.929,0.002,-1400.0,23333333.42,41999.999,-26399.999,0.002,51333.333,0.01,1943.739,1389511.739,15437.476,-556.249,0.011,13895.117,7.23,-2394.04,900.091,5166.52,-118.04,5.74,6507.655,3.55,-1830.6,1711.289,4449.35,-426.65,2.6,6075.074,0.53,-648.27,5713.0,2685.11,185.18,0.47,3027.89,0.283,-1437.785,41444.053,11811.555,-1249.9,0.285,11741.101,1.0,0.0,5000.0,5000.0,0.0,1.0,5000.0,3.25,1193.05,2203.498,6279.97,-1325.53,2.85,7161.37,0.004,-1923.08,192307.5,1538.46,1923.075,0.008,769.23
