date,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,DMTK_adj_close,DMTK_cashflow,DMTK_cml_units,DMTK_cml_cost,DMTK_gain_loss,DMTK_avg_price,DMTK_mktvalue,GLBD_adj_close,GLBD_cashflow,GLBD_cml_units,GLBD_cml_cost,GLBD_gain_loss,GLBD_avg_price,GLBD_mktvalue
2020-01-01,0.0,-24916.27,104.167,4972.84,0.0,47.739,0.0,0.0,-34888.842,156.25,4994.808,0.0,31.967,0.0,0.0,-24986.046,1000.0,4995.506,0.0,4.996,0.0,0.0,-19961.44,131.579,4985.6,0.0,37.891,0.0,0.0,-4999.7,5000.0,4999.7,0.0,1.0,0.0
2020-01-02,40.87,-24916.27,104.167,4972.84,0.0,47.739,4257.292,53.125,-34888.842,156.25,4994.808,0.0,31.967,8300.76,8.15,-24986.046,1000.0,4995.506,0.0,4.996,8149.506,12.82,-19961.44,131.579,4985.6,0.0,37.891,1686.842,1.7,-4999.7,5000.0,4999.7,0.0,1.0,8500.0
2020-01-03,40.43,-24916.27,104.167,4972.84,0.0,47.739,4211.458,52.913,-34888.842,156.25,4994.808,0.0,31.967,8267.689,8.159,-24986.046,1000.0,4995.506,0.0,4.996,8158.767,11.76,-19961.44,131.579,4985.6,0.0,37.891,1547.368,1.7,-4999.7,5000.0,4999.7,0.0,1.0,8500.0
2020-01-06,40.22,-24916.27,104.167,4972.84,0.0,47.739,4189.583,53.125,-34888.842,156.25,4994.808,0.0,31.967,8300.76,8.187,-24986.046,1000.0,4995.506,0.0,4.996,8186.551,11.07,-19961.44,131.579,4985.6,0.0,37.891,1456.579,1.7,-4999.7,5000.0,4999.7,0.0,1.0,8500.0
2020-01-07,40.19,-24916.27,104.167,4972.84,0.0,47.739,4186.458,53.394,-34888.842,156.25,4994.808,0.0,31.967,8342.85,8.112,-24986.046,1000.0,4995.506,0.0,4.996,8112.464,10.66,-19961.44,131.579,4985.6,0.0,37.891,1402.632,1.7,-4999.7,5000.0,4999.7,0.0,1.0,8500.0
2020-01-08,39.93,-24916.27,104.167,4972.84,0.0,47.739,4159.375,53.818,-34888.842,156.25,4994.808,0.0,31.967,8408.991,8.205,-24986.046,1000.0,4995.506,0.0,4.996,8205.071,9.5,-19961.44,131.579,4985.6,0.0,37.891,1250.0,1.7,-4999.7,5000.0,4999.7,0.0,1.0,8500.0
2020-01-09,39.99,-24916.27,104.167,4972.84,0.0,47.739,4165.625,52.403,-34888.842,156.25,4994.808,0.0,31.967,8188.019,8.196,-24986.046,1000.0,4995.506,0.0,4.996,8195.811,9.24,-19961.44,131.579,4985.6,0.0,37.891,1215.789,1.7,-4999.7,5000.0,4999.7,0.0,1.0,8500.0
2020-01-10,39.82,-24916.27,104.167,4972.84,0.0,47.739,4147.917,51.951,-34888.842,156.25,4994.808,0.0,31.967,8117.369,8.187,-24986.046,1000.0,4995.506,0.0,4.996,8186.551,10.0,-19961.44,131.579,4985.6,0.0,37.891,1315.789,1.75,-4999.7,5000.0,4999.7,0.0,1.0,8750.0
2020-01-13,40.22,-24916.27,104.167,4972.84,0.0,47.739,4189.583,52.432,-34888.842,156.25,4994.808,0.0,31.967,8192.529,8.196,-24986.046,1000.0,4995.506,0.0,4.996,8195.811,9.33,-19961.44,131.579,4985.6,0.0,37.891,1227.632,1.75,-4999.7,5000.0,4999.7,0.0,1.0,8750.0
2020-01-14,40.8,-24916.27,104.167,4972.84,0.0,47.739,4250.0,52.086,-34888.842,156.25,4994.808,0.0,31.967,8138.413,8.224,-24986.046,1000.0,4995.506,0.0,4.996,8223.594,9.73,-19961.44,131.579,4985.6,0.0,37.891,1280.263,1.5,-4999.7,5000.0,4999.7,0.0,1.0,7500.0
2020-01-15,40.93,-24916.27,104.167,4972.84,0.0,47.739,4263.542,51.961,-34888.842,156.25,4994.808,0.0,31.967,8118.871,8.131,-24986.046,1000.0,4995.506,0.0,4.996,8130.986,10.15,-19961.44,131.579,4985.6,0.0,37.891,1335.526,0.28,-4999.7,5000.0,4999.7,0.0,1.0,1400.5
2020-01-16,41.12,-24916.27,104.167,4972.84,0.0,47.739,4283.333,52.172,-34888.842,156.25,4994.808,0.0,31.967,8151.942,8.038,-24986.046,1000.0,4995.506,0.0,4.996,8038.377,10.13,-19961.44,131.579,4985.6,0.0,37.891,1332.895,0.35,-4999.7,5000.0,4999.7,0.0,1.0,1750.0
2020-01-17,41.02,-24916.27,104.167,4972.84,0.0,47.739,4272.917,52.875,-34888.842,156.25,4994.808,0.0,31.967,8261.676,8.038,-24986.046,1000.0,4995.506,0.0,4.996,8038.377,11.41,-19961.44,131.579,4985.6,0.0,37.891,1501.316,0.45,-4999.7,5000.0,4999.7,0.0,1.0,2250.0
2020-01-21,40.13,-24916.27,104.167,4972.84,0.0,47.739,4180.208,52.153,-34888.842,156.25,4994.808,0.0,31.967,8148.936,7.964,-24986.046,1000.0,4995.506,0.0,4.996,7964.29,13.28,-19961.44,131.579,4985.6,0.0,37.891,1747.368,0.5,-4999.7,5000.0,4999.7,0.0,1.0,2500.0
2020-01-22,40.58,-24916.27,104.167,4972.84,0.0,47.739,4227.084,52.557,-34888.842,156.25,4994.808,0.0,31.967,8212.071,8.085,-24986.046,1000.0,4995.506,0.0,4.996,8084.682,13.07,-19961.44,131.579,4985.6,0.0,37.891,1719.737,0.51,-4999.7,5000.0,4999.7,0.0,1.0,2550.0
2020-01-23,39.74,-24916.27,104.167,4972.84,0.0,47.739,4139.584,52.067,-34888.842,156.25,4994.808,0.0,31.967,8135.406,8.029,-24986.046,1000.0,4995.506,0.0,4.996,8029.118,13.03,-19961.44,131.579,4985.6,0.0,37.891,1714.474,0.51,-4999.7,5000.0,4999.7,0.0,1.0,2550.0
2020-01-24,39.74,-24916.27,104.167,4972.84,0.0,47.739,4139.584,51.98,-34888.842,156.25,4994.808,0.0,31.967,8121.877,7.918,-24986.046,1000.0,4995.506,0.0,4.996,7917.987,13.25,-19961.44,131.579,4985.6,0.0,37.891,1743.421,0.51,-4999.7,5000.0,4999.7,0.0,1.0,2550.0
2020-01-27,38.99,-24916.27,104.167,4972.84,0.0,47.739,4061.459,50.652,-34888.842,156.25,4994.808,0.0,31.967,7914.433,7.705,-24986.046,1000.0,4995.506,0.0,4.996,7704.987,14.38,-19961.44,131.579,4985.6,0.0,37.891,1892.105,0.51,-4999.7,5000.0,4999.7,0.0,1.0,2550.0
2020-01-28,38.48,-24916.27,104.167,4972.84,0.0,47.739,4008.333,51.393,-34888.842,156.25,4994.808,0.0,31.967,8030.181,7.825,-24986.046,1000.0,4995.506,0.0,4.996,7825.377,13.82,-19961.44,131.579,4985.6,0.0,37.891,1818.421,0.511,-4999.7,5000.0,4999.7,0.0,1.0,2555.0
2020-01-29,37.68,-24916.27,104.167,4972.84,0.0,47.739,3925.0,51.374,-34888.842,156.25,4994.808,0.0,31.967,8027.174,7.825,-24986.046,1000.0,4995.506,0.0,4.996,7825.377,13.88,-19961.44,131.579,4985.6,0.0,37.891,1826.316,0.511,-4999.7,5000.0,4999.7,0.0,1.0,2555.0
2020-01-30,37.45,-24916.27,104.167,4972.84,0.0,47.739,3901.042,51.287,-34888.842,156.25,4994.808,0.0,31.967,8013.646,7.872,-24986.046,1000.0,4995.506,0.0,4.996,7871.846,12.35,-19961.44,131.579,4985.6,0.0,37.891,1625.0,0.511,-4999.7,5000.0,4999.7,0.0,1.0,2555.0
2020-01-31,36.53,-24916.27,104.167,4972.84,0.0,47.739,3805.208,50.479,-34888.842,156.25,4994.808,0.0,31.967,7887.376,7.853,-24986.046,1000.0,4995.506,0.0,4.996,7853.258,12.35,-19961.44,131.579,4985.6,0.0,37.891,1625.0,0.52,-4999.7,5000.0,4999.7,0.0,1.0,2600.0
