date,MAA_adj_close,MAA_cashflow,MAA_cml_units,MAA_cml_cost,MAA_gain_loss,MAA_avg_price,MAA_mktvalue
2019-01-01,0.0,-4920.96,24.0,4920.96,867.84,205.04,0.0
2019-01-02,83.739,-4920.96,24.0,4920.96,867.84,205.04,2009.728
2019-01-03,84.344,-4920.96,24.0,4920.96,867.84,205.04,2024.262
2019-01-04,84.353,-4920.96,24.0,4920.96,867.84,205.04,2024.479
2019-01-07,84.236,-4920.96,24.0,4920.96,867.84,205.04,2021.659
2019-01-08,85.935,-4920.96,24.0,4920.96,867.84,205.04,2062.438
2019-01-09,85.854,-4920.96,24.0,4920.96,867.84,205.04,2060.487
2019-01-10,87.282,-4920.96,24.0,4920.96,867.84,205.04,2094.759
2019-01-11,87.842,-4920.96,24.0,4920.96,867.84,205.04,2108.208
2019-01-14,88.107,-4920.96,24.0,4920.96,867.84,205.04,2114.561
2019-01-15,89.43,-4920.96,24.0,4920.96,867.84,205.04,2146.328
2019-01-16,90.717,-4920.96,24.0,4920.96,867.84,205.04,2177.218
2019-01-17,91.283,-4920.96,24.0,4920.96,867.84,205.04,2190.801
2019-01-18,91.411,-4920.96,24.0,4920.96,867.84,205.04,2193.869
2019-01-22,91.146,-4920.96,24.0,4920.96,867.84,205.04,2187.515
2019-01-23,90.946,-4920.96,24.0,4920.96,867.84,205.04,2182.695
2019-01-24,91.256,-4920.96,24.0,4920.96,867.84,205.04,2190.144
2019-01-25,92.26,-4920.96,24.0,4920.96,867.84,205.04,2214.243
2019-01-28,93.429,-4920.96,24.0,4920.96,867.84,205.04,2242.285
2019-01-29,94.351,-4920.96,24.0,4920.96,867.84,205.04,2264.412
2019-01-30,95.053,-4920.96,24.0,4920.96,867.84,205.04,2281.281
2019-01-31,92.452,-4920.96,24.0,4920.96,867.84,205.04,2218.843
2019-02-01,91.977,-4920.96,24.0,4920.96,867.84,205.04,2207.451
2019-02-04,93.693,-4920.96,24.0,4920.96,867.84,205.04,2248.639
2019-02-05,93.748,-4920.96,24.0,4920.96,867.84,205.04,2249.953
2019-02-06,93.73,-4920.96,24.0,4920.96,867.84,205.04,2249.515
2019-02-07,94.469,-4920.96,24.0,4920.96,867.84,205.04,2267.26
2019-02-08,94.78,-4920.96,24.0,4920.96,867.84,205.04,2274.708
2019-02-11,94.843,-4920.96,24.0,4920.96,867.84,205.04,2276.243
2019-02-12,94.095,-4920.96,24.0,4920.96,867.84,205.04,2258.278
2019-02-13,94.971,-4920.96,24.0,4920.96,867.84,205.04,2279.309
2019-02-14,94.597,-4920.96,24.0,4920.96,867.84,205.04,2270.327
2019-02-15,95.099,-4920.96,24.0,4920.96,867.84,205.04,2282.377
2019-02-19,94.935,-4920.96,24.0,4920.96,867.84,205.04,2278.433
2019-02-20,94.214,-4920.96,24.0,4920.96,867.84,205.04,2261.126
2019-02-21,95.19,-4920.96,24.0,4920.96,867.84,205.04,2284.568
2019-02-22,95.391,-4920.96,24.0,4920.96,867.84,205.04,2289.387
2019-02-25,94.67,-4920.96,24.0,4920.96,867.84,205.04,2272.08
2019-02-26,94.935,-4920.96,24.0,4920.96,867.84,205.04,2278.433
2019-02-27,94.204,-4920.96,24.0,4920.96,867.84,205.04,2260.907
2019-02-28,94.551,-4920.96,24.0,4920.96,867.84,205.04,2269.232
2019-03-01,94.113,-4920.96,24.0,4920.96,867.84,205.04,2258.716
2019-03-04,95.008,-4920.96,24.0,4920.96,867.84,205.04,2280.186
2019-03-05,95.282,-4920.96,24.0,4920.96,867.84,205.04,2286.758
2019-03-06,95.364,-4920.96,24.0,4920.96,867.84,205.04,2288.73
2019-03-07,95.829,-4920.96,24.0,4920.96,867.84,205.04,2299.903
2019-03-08,96.231,-4920.96,24.0,4920.96,867.84,205.04,2309.543
2019-03-11,97.482,-4920.96,24.0,4920.96,867.84,205.04,2339.557
2019-03-12,98.029,-4920.96,24.0,4920.96,867.84,205.04,2352.701
2019-03-13,98.093,-4920.96,24.0,4920.96,867.84,205.04,2354.235
2019-03-14,98.814,-4920.96,24.0,4920.96,867.84,205.04,2371.542
2019-03-15,98.285,-4920.96,24.0,4920.96,867.84,205.04,2358.836
2019-03-18,97.299,-4920.96,24.0,4920.96,867.84,205.04,2335.175
2019-03-19,96.925,-4920.96,24.0,4920.96,867.84,205.04,2326.192
2019-03-20,97.116,-4920.96,24.0,4920.96,867.84,205.04,2330.793
2019-03-21,98.413,-4920.96,24.0,4920.96,867.84,205.04,2361.903
2019-03-22,98.531,-4920.96,24.0,4920.96,867.84,205.04,2364.751
2019-03-25,99.033,-4920.96,24.0,4920.96,867.84,205.04,2376.8
2019-03-26,99.745,-4920.96,24.0,4920.96,867.84,205.04,2393.888
2019-03-27,99.262,-4920.96,24.0,4920.96,867.84,205.04,2382.277
2019-03-28,100.065,-4920.96,24.0,4920.96,867.84,205.04,2401.556
2019-03-29,99.8,-4920.96,24.0,4920.96,867.84,205.04,2395.203
2019-04-01,99.344,-4920.96,24.0,4920.96,867.84,205.04,2384.249
2019-04-02,100.357,-4920.96,24.0,4920.96,867.84,205.04,2408.567
2019-04-03,100.32,-4920.96,24.0,4920.96,867.84,205.04,2407.691
2019-04-04,99.837,-4920.96,24.0,4920.96,867.84,205.04,2396.079
2019-04-05,100.284,-4920.96,24.0,4920.96,867.84,205.04,2406.814
2019-04-08,99.754,-4920.96,24.0,4920.96,867.84,205.04,2394.108
2019-04-09,99.791,-4920.96,24.0,4920.96,867.84,205.04,2394.984
2019-04-10,100.558,-4920.96,24.0,4920.96,867.84,205.04,2413.387
2019-04-11,100.996,-4920.96,24.0,4920.96,867.84,205.04,2423.903
2019-04-12,101.438,-4920.96,24.0,4920.96,867.84,205.04,2434.51
2019-04-15,101.226,-4920.96,24.0,4920.96,867.84,205.04,2429.427
2019-04-16,98.141,-4920.96,24.0,4920.96,867.84,205.04,2355.393
2019-04-17,96.613,-4920.96,24.0,4920.96,867.84,205.04,2318.708
2019-04-18,98.123,-4920.96,24.0,4920.96,867.84,205.04,2354.951
2019-04-22,96.843,-4920.96,24.0,4920.96,867.84,205.04,2324.232
2019-04-23,98.132,-4920.96,24.0,4920.96,867.84,205.04,2355.172
2019-04-24,99.421,-4920.96,24.0,4920.96,867.84,205.04,2386.112
2019-04-25,99.44,-4920.96,24.0,4920.96,867.84,205.04,2386.554
2019-04-26,100.342,-4920.96,24.0,4920.96,867.84,205.04,2408.212
2019-04-29,99.044,-4920.96,24.0,4920.96,867.84,205.04,2377.051
2019-04-30,100.747,-4920.96,24.0,4920.96,867.84,205.04,2417.936
2019-05-01,100.6,-4920.96,24.0,4920.96,867.84,205.04,2414.399
2019-05-02,100.895,-4920.96,24.0,4920.96,867.84,205.04,2421.471
2019-05-03,101.152,-4920.96,24.0,4920.96,867.84,205.04,2427.659
2019-05-06,101.134,-4920.96,24.0,4920.96,867.84,205.04,2427.217
2019-05-07,99.431,-4920.96,24.0,4920.96,867.84,205.04,2386.332
2019-05-08,100.333,-4920.96,24.0,4920.96,867.84,205.04,2407.99
2019-05-09,100.968,-4920.96,24.0,4920.96,867.84,205.04,2423.239
2019-05-10,102.239,-4920.96,24.0,4920.96,867.84,205.04,2453.737
2019-05-13,102.285,-4920.96,24.0,4920.96,867.84,205.04,2454.842
2019-05-14,102.653,-4920.96,24.0,4920.96,867.84,205.04,2463.682
2019-05-15,103.722,-4920.96,24.0,4920.96,867.84,205.04,2489.318
2019-05-16,104.513,-4920.96,24.0,4920.96,867.84,205.04,2508.323
2019-05-17,105.941,-4920.96,24.0,4920.96,867.84,205.04,2542.578
2019-05-20,104.633,-4920.96,24.0,4920.96,867.84,205.04,2511.196
2019-05-21,104.983,-4920.96,24.0,4920.96,867.84,205.04,2519.595
2019-05-22,105.388,-4920.96,24.0,4920.96,867.84,205.04,2529.318
2019-05-23,105.867,-4920.96,24.0,4920.96,867.84,205.04,2540.81
2019-05-24,105.729,-4920.96,24.0,4920.96,867.84,205.04,2537.495
2019-05-28,104.302,-4920.96,24.0,4920.96,867.84,205.04,2503.241
2019-05-29,103.565,-4920.96,24.0,4920.96,867.84,205.04,2485.561
2019-05-30,104.366,-4920.96,24.0,4920.96,867.84,205.04,2504.787
2019-05-31,105.14,-4920.96,24.0,4920.96,867.84,205.04,2523.351
2019-06-03,105.6,-4920.96,24.0,4920.96,867.84,205.04,2534.401
2019-06-04,104.67,-4920.96,24.0,4920.96,867.84,205.04,2512.081
2019-06-05,107.644,-4920.96,24.0,4920.96,867.84,205.04,2583.463
2019-06-06,108.234,-4920.96,24.0,4920.96,867.84,205.04,2597.607
2019-06-07,108.04,-4920.96,24.0,4920.96,867.84,205.04,2592.966
2019-06-10,107.838,-4920.96,24.0,4920.96,867.84,205.04,2588.104
2019-06-11,107.801,-4920.96,24.0,4920.96,867.84,205.04,2587.22
2019-06-12,108.169,-4920.96,24.0,4920.96,867.84,205.04,2596.06
2019-06-13,108.694,-4920.96,24.0,4920.96,867.84,205.04,2608.656
2019-06-14,108.464,-4920.96,24.0,4920.96,867.84,205.04,2603.131
2019-06-17,109.403,-4920.96,24.0,4920.96,867.84,205.04,2625.673
2019-06-18,108.464,-4920.96,24.0,4920.96,867.84,205.04,2603.131
2019-06-19,109.762,-4920.96,24.0,4920.96,867.84,205.04,2634.292
2019-06-20,110.48,-4920.96,24.0,4920.96,867.84,205.04,2651.53
2019-06-21,109.661,-4920.96,24.0,4920.96,867.84,205.04,2631.861
2019-06-24,109.412,-4920.96,24.0,4920.96,867.84,205.04,2625.894
2019-06-25,108.151,-4920.96,24.0,4920.96,867.84,205.04,2595.618
2019-06-26,106.245,-4920.96,24.0,4920.96,867.84,205.04,2549.871
2019-06-27,107.11,-4920.96,24.0,4920.96,867.84,205.04,2570.645
2019-06-28,108.436,-4920.96,24.0,4920.96,867.84,205.04,2602.469
2019-07-01,109.145,-4920.96,24.0,4920.96,867.84,205.04,2619.485
2019-07-02,111.005,-4920.96,24.0,4920.96,867.84,205.04,2664.127
2019-07-03,111.945,-4920.96,24.0,4920.96,867.84,205.04,2686.669
2019-07-05,111.659,-4920.96,24.0,4920.96,867.84,205.04,2679.818
2019-07-08,112.469,-4920.96,24.0,4920.96,867.84,205.04,2699.265
2019-07-09,112.782,-4920.96,24.0,4920.96,867.84,205.04,2706.779
2019-07-10,113.777,-4920.96,24.0,4920.96,867.84,205.04,2730.647
2019-07-11,112.304,-4920.96,24.0,4920.96,867.84,205.04,2695.287
2019-07-12,112.025,-4920.96,24.0,4920.96,867.84,205.04,2688.605
2019-07-15,112.257,-4920.96,24.0,4920.96,867.84,205.04,2694.174
2019-07-16,112.369,-4920.96,24.0,4920.96,867.84,205.04,2696.847
2019-07-17,112.155,-4920.96,24.0,4920.96,867.84,205.04,2691.724
2019-07-18,112.712,-4920.96,24.0,4920.96,867.84,205.04,2705.089
2019-07-19,110.494,-4920.96,24.0,4920.96,867.84,205.04,2651.851
2019-07-22,109.891,-4920.96,24.0,4920.96,867.84,205.04,2637.372
2019-07-23,110.587,-4920.96,24.0,4920.96,867.84,205.04,2654.079
2019-07-24,110.16,-4920.96,24.0,4920.96,867.84,205.04,2643.832
2019-07-25,110.104,-4920.96,24.0,4920.96,867.84,205.04,2642.495
2019-07-26,110.206,-4920.96,24.0,4920.96,867.84,205.04,2644.946
2019-07-29,110.614,-4920.96,24.0,4920.96,867.84,205.04,2654.747
2019-07-30,110.652,-4920.96,24.0,4920.96,867.84,205.04,2655.638
2019-07-31,109.371,-4920.96,24.0,4920.96,867.84,205.04,2624.898
2019-08-01,112.062,-4920.96,24.0,4920.96,867.84,205.04,2689.496
2019-08-02,112.851,-4920.96,24.0,4920.96,867.84,205.04,2708.43
2019-08-05,109.083,-4920.96,24.0,4920.96,867.84,205.04,2617.993
2019-08-06,111.858,-4920.96,24.0,4920.96,867.84,205.04,2684.596
2019-08-07,112.814,-4920.96,24.0,4920.96,867.84,205.04,2707.539
2019-08-08,114.234,-4920.96,24.0,4920.96,867.84,205.04,2741.62
2019-08-09,114.884,-4920.96,24.0,4920.96,867.84,205.04,2757.212
2019-08-12,115.311,-4920.96,24.0,4920.96,867.84,205.04,2767.459
2019-08-13,115.339,-4920.96,24.0,4920.96,867.84,205.04,2768.127
2019-08-14,113.826,-4920.96,24.0,4920.96,867.84,205.04,2731.819
2019-08-15,114.652,-4920.96,24.0,4920.96,867.84,205.04,2751.644
2019-08-16,115.283,-4920.96,24.0,4920.96,867.84,205.04,2766.79
2019-08-19,117.251,-4920.96,24.0,4920.96,867.84,205.04,2814.014
2019-08-20,116.322,-4920.96,24.0,4920.96,867.84,205.04,2791.739
2019-08-21,116.749,-4920.96,24.0,4920.96,867.84,205.04,2801.985
2019-08-22,117.817,-4920.96,24.0,4920.96,867.84,205.04,2827.602
2019-08-23,115.849,-4920.96,24.0,4920.96,867.84,205.04,2780.378
2019-08-26,117.0,-4920.96,24.0,4920.96,867.84,205.04,2807.999
2019-08-27,116.155,-4920.96,24.0,4920.96,867.84,205.04,2787.729
2019-08-28,117.353,-4920.96,24.0,4920.96,867.84,205.04,2816.464
2019-08-29,117.78,-4920.96,24.0,4920.96,867.84,205.04,2826.711
2019-08-30,117.575,-4920.96,24.0,4920.96,867.84,205.04,2821.81
2019-09-03,118.689,-4920.96,24.0,4920.96,867.84,205.04,2848.54
2019-09-04,119.311,-4920.96,24.0,4920.96,867.84,205.04,2863.464
2019-09-05,119.125,-4920.96,24.0,4920.96,867.84,205.04,2859.01
2019-09-06,119.562,-4920.96,24.0,4920.96,867.84,205.04,2869.479
2019-09-09,119.246,-4920.96,24.0,4920.96,867.84,205.04,2861.905
2019-09-10,118.745,-4920.96,24.0,4920.96,867.84,205.04,2849.877
2019-09-11,119.311,-4920.96,24.0,4920.96,867.84,205.04,2863.464
2019-09-12,119.413,-4920.96,24.0,4920.96,867.84,205.04,2865.915
2019-09-13,117.835,-4920.96,24.0,4920.96,867.84,205.04,2828.047
2019-09-16,118.856,-4920.96,24.0,4920.96,867.84,205.04,2852.55
2019-09-17,120.351,-4920.96,24.0,4920.96,867.84,205.04,2888.412
2019-09-18,120.351,-4920.96,24.0,4920.96,867.84,205.04,2888.412
2019-09-19,120.49,-4920.96,24.0,4920.96,867.84,205.04,2891.754
2019-09-20,119.775,-4920.96,24.0,4920.96,867.84,205.04,2874.602
2019-09-23,119.859,-4920.96,24.0,4920.96,867.84,205.04,2876.607
2019-09-24,119.951,-4920.96,24.0,4920.96,867.84,205.04,2878.834
2019-09-25,120.555,-4920.96,24.0,4920.96,867.84,205.04,2893.313
2019-09-26,121.084,-4920.96,24.0,4920.96,867.84,205.04,2906.01
2019-09-27,120.963,-4920.96,24.0,4920.96,867.84,205.04,2903.114
2019-09-30,120.666,-4920.96,24.0,4920.96,867.84,205.04,2895.986
2019-10-01,120.638,-4920.96,24.0,4920.96,867.84,205.04,2895.318
2019-10-02,121.149,-4920.96,24.0,4920.96,867.84,205.04,2907.569
2019-10-03,121.622,-4920.96,24.0,4920.96,867.84,205.04,2918.929
2019-10-04,122.921,-4920.96,24.0,4920.96,867.84,205.04,2950.114
2019-10-07,123.144,-4920.96,24.0,4920.96,867.84,205.04,2955.46
2019-10-08,123.116,-4920.96,24.0,4920.96,867.84,205.04,2954.792
2019-10-09,123.413,-4920.96,24.0,4920.96,867.84,205.04,2961.921
2019-10-10,123.877,-4920.96,24.0,4920.96,867.84,205.04,2973.059
2019-10-11,123.204,-4920.96,24.0,4920.96,867.84,205.04,2956.903
2019-10-14,123.98,-4920.96,24.0,4920.96,867.84,205.04,2975.526
2019-10-15,124.513,-4920.96,24.0,4920.96,867.84,205.04,2988.315
2019-10-16,124.728,-4920.96,24.0,4920.96,867.84,205.04,2993.476
2019-10-17,125.345,-4920.96,24.0,4920.96,867.84,205.04,3008.284
2019-10-18,126.345,-4920.96,24.0,4920.96,867.84,205.04,3032.29
2019-10-21,127.944,-4920.96,24.0,4920.96,867.84,205.04,3070.657
2019-10-22,127.495,-4920.96,24.0,4920.96,867.84,205.04,3059.887
2019-10-23,127.093,-4920.96,24.0,4920.96,867.84,205.04,3050.239
2019-10-24,127.29,-4920.96,24.0,4920.96,867.84,205.04,3054.951
2019-10-25,126.654,-4920.96,24.0,4920.96,867.84,205.04,3039.694
2019-10-28,126.158,-4920.96,24.0,4920.96,867.84,205.04,3027.803
2019-10-29,126.598,-4920.96,24.0,4920.96,867.84,205.04,3038.348
2019-10-30,127.851,-4920.96,24.0,4920.96,867.84,205.04,3068.413
2019-10-31,129.935,-4920.96,24.0,4920.96,867.84,205.04,3118.447
2019-11-01,130.085,-4920.96,24.0,4920.96,867.84,205.04,3122.036
2019-11-04,130.085,-4920.96,24.0,4920.96,867.84,205.04,3122.036
2019-11-05,126.822,-4920.96,24.0,4920.96,867.84,205.04,3043.733
