date,AAPL_adj_close,AAPL_cashflow,AAPL_cml_units,AAPL_cml_cost,AAPL_gain_loss,AAPL_avg_price,AAPL_mktvalue,MSFT_adj_close,MSFT_cashflow,MSFT_cml_units,MSFT_cml_cost,MSFT_gain_loss,MSFT_avg_price,MSFT_mktvalue,QCOM_adj_close,QCOM_cashflow,QCOM_cml_units,QCOM_cml_cost,QCOM_gain_loss,QCOM_avg_price,QCOM_mktvalue,TSM_adj_close,TSM_cashflow,TSM_cml_units,TSM_cml_cost,TSM_gain_loss,TSM_avg_price,TSM_mktvalue,ASX_adj_close,ASX_cashflow,ASX_cml_units,ASX_cml_cost,ASX_gain_loss,ASX_avg_price,ASX_mktvalue,TTD_adj_close,TTD_cashflow,TTD_cml_units,TTD_cml_cost,TTD_gain_loss,TTD_avg_price,TTD_mktvalue,VRNS_adj_close,VRNS_cashflow,VRNS_cml_units,VRNS_cml_cost,VRNS_gain_loss,VRNS_avg_price,VRNS_mktvalue,FIVN_adj_close,FIVN_cashflow,FIVN_cml_units,FIVN_cml_cost,FIVN_gain_loss,FIVN_avg_price,FIVN_mktvalue,VHC_adj_close,VHC_cashflow,VHC_cml_units,VHC_cml_cost,VHC_gain_loss,VHC_avg_price,VHC_mktvalue
2019-01-01,0.0,-4992.24,33.0,4992.24,1121.257,151.28,0.0,0.0,-4704.84,14.0,4704.84,785.82,336.06,0.0,0.0,-4890.9,30.0,4890.9,939.6,163.03,0.0,0.0,-4947.6,42.0,4947.6,889.98,117.8,0.0,0.0,-4995.25,689.0,4995.25,1247.09,7.25,0.0,0.0,-4935.6,72.0,4935.6,1034.784,68.55,0.0,0.0,-4978.4,80.0,4978.4,661.6,62.23,0.0,0.0,-4882.02,33.0,4882.02,721.38,147.94,0.0,0.0,-4996.56,1146.0,4996.56,1604.4,4.36,0.0
2019-01-02,38.326,-4992.24,33.0,4992.24,1121.257,151.28,1264.768,97.961,-4704.84,14.0,4704.84,785.82,336.06,1371.459,53.196,-4890.9,30.0,4890.9,939.6,163.03,1595.875,33.575,-4947.6,42.0,4947.6,889.98,117.8,1410.158,3.449,-4995.25,689.0,4995.25,1247.09,7.25,2376.246,11.616,-4935.6,72.0,4935.6,1034.784,68.55,836.352,17.133,-4978.4,80.0,4978.4,661.6,62.23,1370.667,42.59,-4882.02,33.0,4882.02,721.38,147.94,1405.47,2.136,-4996.56,1146.0,4996.56,1604.4,4.36,2447.631
2019-01-03,34.509,-4992.24,33.0,4992.24,1121.257,151.28,1138.788,94.357,-4704.84,14.0,4704.84,785.82,336.06,1321.005,51.62,-4890.9,30.0,4890.9,939.6,163.03,1548.61,31.589,-4947.6,42.0,4947.6,889.98,117.8,1326.753,3.336,-4995.25,689.0,4995.25,1247.09,7.25,2298.548,10.956,-4935.6,72.0,4935.6,1034.784,68.55,788.832,16.337,-4978.4,80.0,4978.4,661.6,62.23,1306.933,40.98,-4882.02,33.0,4882.02,721.38,147.94,1352.34,2.059,-4996.56,1146.0,4996.56,1604.4,4.36,2359.163
2019-01-04,35.982,-4992.24,33.0,4992.24,1121.257,151.28,1187.401,98.746,-4704.84,14.0,4704.84,785.82,336.06,1382.444,52.454,-4890.9,30.0,4890.9,939.6,163.03,1573.633,32.15,-4947.6,42.0,4947.6,889.98,117.8,1350.307,3.289,-4995.25,689.0,4995.25,1247.09,7.25,2266.174,11.792,-4935.6,72.0,4935.6,1034.784,68.55,849.024,17.163,-4978.4,80.0,4978.4,661.6,62.23,1373.067,42.52,-4882.02,33.0,4882.02,721.38,147.94,1403.16,2.222,-4996.56,1146.0,4996.56,1604.4,4.36,2545.929
2019-01-07,35.902,-4992.24,33.0,4992.24,1121.257,151.28,1184.758,98.872,-4704.84,14.0,4704.84,785.82,336.06,1384.207,52.306,-4890.9,30.0,4890.9,939.6,163.03,1569.184,32.389,-4947.6,42.0,4947.6,889.98,117.8,1360.346,3.317,-4995.25,689.0,4995.25,1247.09,7.25,2285.599,12.457,-4935.6,72.0,4935.6,1034.784,68.55,896.904,17.627,-4978.4,80.0,4978.4,661.6,62.23,1410.133,45.89,-4882.02,33.0,4882.02,721.38,147.94,1514.37,2.35,-4996.56,1146.0,4996.56,1604.4,4.36,2693.377
2019-01-08,36.586,-4992.24,33.0,4992.24,1121.257,151.28,1207.344,99.589,-4704.84,14.0,4704.84,785.82,336.06,1394.244,51.852,-4890.9,30.0,4890.9,939.6,163.03,1555.561,32.123,-4947.6,42.0,4947.6,889.98,117.8,1349.149,3.298,-4995.25,689.0,4995.25,1247.09,7.25,2272.649,12.805,-4935.6,72.0,4935.6,1034.784,68.55,921.96,18.213,-4978.4,80.0,4978.4,661.6,62.23,1457.067,46.94,-4882.02,33.0,4882.02,721.38,147.94,1549.02,3.886,-4996.56,1146.0,4996.56,1604.4,4.36,4452.919
2019-01-09,37.207,-4992.24,33.0,4992.24,1121.257,151.28,1227.846,101.013,-4704.84,14.0,4704.84,785.82,336.06,1414.181,52.464,-4890.9,30.0,4890.9,939.6,163.03,1573.911,32.739,-4947.6,42.0,4947.6,889.98,117.8,1375.02,3.439,-4995.25,689.0,4995.25,1247.09,7.25,2369.771,12.88,-4935.6,72.0,4935.6,1034.784,68.55,927.36,18.237,-4978.4,80.0,4978.4,661.6,62.23,1458.933,46.49,-4882.02,33.0,4882.02,721.38,147.94,1534.17,3.011,-4996.56,1146.0,4996.56,1604.4,4.36,3450.275
2019-01-10,37.326,-4992.24,33.0,4992.24,1121.257,151.28,1231.771,100.364,-4704.84,14.0,4704.84,785.82,336.06,1405.094,52.64,-4890.9,30.0,4890.9,939.6,163.03,1579.193,33.483,-4947.6,42.0,4947.6,889.98,117.8,1406.296,3.43,-4995.25,689.0,4995.25,1247.09,7.25,2363.296,12.967,-4935.6,72.0,4935.6,1034.784,68.55,933.624,17.7,-4978.4,80.0,4978.4,661.6,62.23,1416.0,47.02,-4882.02,33.0,4882.02,721.38,147.94,1551.66,3.311,-4996.56,1146.0,4996.56,1604.4,4.36,3794.32
2019-01-11,36.96,-4992.24,33.0,4992.24,1121.257,151.28,1219.677,99.589,-4704.84,14.0,4704.84,785.82,336.06,1394.244,53.289,-4890.9,30.0,4890.9,939.6,163.03,1598.655,33.658,-4947.6,42.0,4947.6,889.98,117.8,1413.633,3.524,-4995.25,689.0,4995.25,1247.09,7.25,2428.044,12.73,-4935.6,72.0,4935.6,1034.784,68.55,916.56,17.567,-4978.4,80.0,4978.4,661.6,62.23,1405.333,46.38,-4882.02,33.0,4882.02,721.38,147.94,1530.54,3.328,-4996.56,1146.0,4996.56,1604.4,4.36,3813.979
2019-01-14,36.404,-4992.24,33.0,4992.24,1121.257,151.28,1201.337,98.862,-4704.84,14.0,4704.84,785.82,336.06,1384.072,53.103,-4890.9,30.0,4890.9,939.6,163.03,1593.095,32.876,-4947.6,42.0,4947.6,889.98,117.8,1380.811,3.43,-4995.25,689.0,4995.25,1247.09,7.25,2363.296,12.849,-4935.6,72.0,4935.6,1034.784,68.55,925.128,16.887,-4978.4,80.0,4978.4,661.6,62.23,1350.933,44.47,-4882.02,33.0,4882.02,721.38,147.94,1467.51,3.32,-4996.56,1146.0,4996.56,1604.4,4.36,3804.149
