date,WETF_adj_close,WETF_cashflow,WETF_cml_units,WETF_cml_cost,WETF_gain_loss,WETF_avg_price,WETF_mktvalue,IMOS_adj_close,IMOS_cashflow,IMOS_cml_units,IMOS_cml_cost,IMOS_gain_loss,IMOS_avg_price,IMOS_mktvalue,DYSL_adj_close,DYSL_cashflow,DYSL_cml_units,DYSL_cml_cost,DYSL_gain_loss,DYSL_avg_price,DYSL_mktvalue,LXFR_adj_close,LXFR_cashflow,LXFR_cml_units,LXFR_cml_cost,LXFR_gain_loss,LXFR_avg_price,LXFR_mktvalue,DMTK_adj_close,DMTK_cashflow,DMTK_cml_units,DMTK_cml_cost,DMTK_gain_loss,DMTK_avg_price,DMTK_mktvalue,COOP_adj_close,COOP_cashflow,COOP_cml_units,COOP_cml_cost,COOP_gain_loss,COOP_avg_price,COOP_mktvalue,GLBD_adj_close,GLBD_cashflow,GLBD_cml_units,GLBD_cml_cost,GLBD_gain_loss,GLBD_avg_price,GLBD_mktvalue,KDOZF_adj_close,KDOZF_cashflow,KDOZF_cml_units,KDOZF_cml_cost,KDOZF_gain_loss,KDOZF_avg_price,KDOZF_mktvalue,MMNT_adj_close,MMNT_cashflow,MMNT_cml_units,MMNT_cml_cost,MMNT_gain_loss,MMNT_avg_price,MMNT_mktvalue,SCND_adj_close,SCND_cashflow,SCND_cml_units,SCND_cml_cost,SCND_gain_loss,SCND_avg_price,SCND_mktvalue
2020-01-02,4.467,-5000.0,1119.362,5000.0,0.0,4.467,4999.999,21.167,0.0,0.0,0.0,0.0,,0.0,1.1,0.0,0.0,0.0,0.0,,0.0,17.143,-5000.0,291.67,5000.0,0.0,17.143,5000.001,12.82,-5000.0,390.016,5000.0,0.0,12.82,5000.0,12.22,0.0,0.0,0.0,0.0,,0.0,1.7,0.0,0.0,0.0,0.0,,0.0,0.2,-5000.0,25000.0,5000.0,0.0,0.2,5000.0,0.4,-5000.0,12500.0,5000.0,0.0,0.4,5000.0,7.7,0.0,0.0,0.0,0.0,,0.0
2020-01-03,4.353,-5000.0,1119.362,5000.0,0.0,4.467,4872.341,20.547,0.0,0.0,0.0,0.0,,0.0,1.23,0.0,0.0,0.0,0.0,,0.0,17.077,-5000.0,291.67,5000.0,0.0,17.143,4980.769,11.76,-5000.0,390.016,5000.0,0.0,12.82,4586.584,12.16,0.0,0.0,0.0,0.0,,0.0,1.7,0.0,0.0,0.0,0.0,,0.0,0.22,-5000.0,25000.0,5000.0,0.0,0.2,5500.0,0.4,-5000.0,12500.0,5000.0,0.0,0.4,5000.0,8.3,0.0,0.0,0.0,0.0,,0.0
2020-01-06,4.334,-5000.0,1119.362,5000.0,0.0,4.467,4851.064,20.1,0.0,0.0,0.0,0.0,,0.0,1.23,0.0,0.0,0.0,0.0,,0.0,17.265,-10000.0,289.601,5000.0,35.632,17.265,5000.001,11.07,-5000.0,390.016,5000.0,0.0,12.82,4317.473,12.3,0.0,0.0,0.0,0.0,,0.0,1.7,0.0,0.0,0.0,0.0,,0.0,0.22,-5000.0,25000.0,5000.0,0.0,0.2,5500.0,0.4,-5000.0,12500.0,5000.0,0.0,0.4,5000.0,8.3,0.0,0.0,0.0,0.0,,0.0
2020-01-07,4.21,-5000.0,1119.362,5000.0,0.0,4.467,4712.766,19.946,0.0,0.0,0.0,0.0,,0.0,1.1,0.0,0.0,0.0,0.0,,0.0,17.463,-10000.0,289.601,5000.0,35.632,17.265,5057.284,10.66,-5000.0,390.016,5000.0,0.0,12.82,4157.566,12.35,0.0,0.0,0.0,0.0,,0.0,1.7,0.0,0.0,0.0,0.0,,0.0,0.22,-5000.0,25000.0,5000.0,0.0,0.2,5500.0,0.4,-5000.0,12500.0,5000.0,0.0,0.4,5000.0,8.85,0.0,0.0,0.0,0.0,,0.0
2020-01-08,4.172,-5000.0,1119.362,5000.0,0.0,4.467,4670.213,20.875,0.0,0.0,0.0,0.0,,0.0,1.1,-5000.0,4545.454,5000.0,0.0,1.1,5000.0,16.973,-10000.0,289.601,5000.0,35.632,17.265,4915.44,9.5,-5000.0,390.016,5000.0,0.0,12.82,3705.148,12.34,0.0,0.0,0.0,0.0,,0.0,1.7,0.0,0.0,0.0,0.0,,0.0,0.19,-5000.0,25000.0,5000.0,0.0,0.2,4750.0,0.32,-5000.0,12500.0,5000.0,0.0,0.4,4000.0,8.85,0.0,0.0,0.0,0.0,,0.0
2020-01-09,4.077,-5000.0,1119.362,5000.0,0.0,4.467,4563.829,20.857,0.0,0.0,0.0,0.0,,0.0,1.02,-5000.0,4545.454,5000.0,0.0,1.1,4636.363,17.369,-10000.0,289.601,5000.0,35.632,17.265,5030.005,9.24,-5000.0,390.016,5000.0,0.0,12.82,3603.744,13.37,0.0,0.0,0.0,0.0,,0.0,1.7,0.0,0.0,0.0,0.0,,0.0,0.19,-5000.0,25000.0,5000.0,0.0,0.2,4750.0,0.5,-5000.0,12500.0,5000.0,0.0,0.4,6250.0,8.95,0.0,0.0,0.0,0.0,,0.0
2020-01-10,4.001,-5000.0,1119.362,5000.0,0.0,4.467,4478.724,20.52,0.0,0.0,0.0,0.0,,0.0,0.95,-5000.0,4545.454,5000.0,0.0,1.1,4318.182,17.557,-10000.0,289.601,5000.0,35.632,17.265,5084.561,10.0,-5000.0,390.016,5000.0,0.0,12.82,3900.156,13.36,0.0,0.0,0.0,0.0,,0.0,1.75,0.0,0.0,0.0,0.0,,0.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.53,-5000.0,12500.0,5000.0,0.0,0.4,6625.0,8.95,0.0,0.0,0.0,0.0,,0.0
2020-01-13,3.973,-5000.0,1119.362,5000.0,0.0,4.467,4446.809,20.766,0.0,0.0,0.0,0.0,,0.0,1.0,-5000.0,4545.454,5000.0,0.0,1.1,4545.454,17.576,-10000.0,289.601,5000.0,35.632,17.265,5090.016,9.33,-5000.0,390.016,5000.0,0.0,12.82,3638.846,13.77,0.0,0.0,0.0,0.0,,0.0,1.75,0.0,0.0,0.0,0.0,,0.0,0.17,-5000.0,25000.0,5000.0,0.0,0.2,4250.0,0.53,-5000.0,12500.0,5000.0,0.0,0.4,6625.0,8.95,0.0,0.0,0.0,0.0,,0.0
2020-01-14,3.973,-5000.0,1119.362,5000.0,0.0,4.467,4446.809,20.748,0.0,0.0,0.0,0.0,,0.0,1.01,-5000.0,4545.454,5000.0,0.0,1.1,4590.909,16.813,-10000.0,289.601,5000.0,35.632,17.265,4869.068,9.73,-5000.0,390.016,5000.0,0.0,12.82,3794.852,13.09,0.0,0.0,0.0,0.0,,0.0,1.5,0.0,0.0,0.0,0.0,,0.0,0.21,-5000.0,25000.0,5000.0,0.0,0.2,5250.0,0.52,-5000.0,12500.0,5000.0,0.0,0.4,6500.0,9.0,0.0,0.0,0.0,0.0,,0.0
2020-01-15,3.925,-5000.0,1119.362,5000.0,0.0,4.467,4393.618,20.629,0.0,0.0,0.0,0.0,,0.0,1.01,-5000.0,4545.454,5000.0,0.0,1.1,4590.909,16.728,-10000.0,289.601,5000.0,35.632,17.265,4844.517,10.15,-5000.0,390.016,5000.0,0.0,12.82,3958.658,12.77,0.0,0.0,0.0,0.0,,0.0,0.28,0.0,0.0,0.0,0.0,,0.0,0.21,-5000.0,25000.0,5000.0,0.0,0.2,5250.0,0.52,-5000.0,12500.0,5000.0,0.0,0.4,6500.0,9.15,0.0,0.0,0.0,0.0,,0.0
