date,BABA_adj_close,BABA_cashflow,BABA_cml_units,BABA_cml_cost,BABA_gain_loss,BABA_avg_price,BABA_mktvalue,AMZN_adj_close,AMZN_cashflow,AMZN_cml_units,AMZN_cml_cost,AMZN_gain_loss,AMZN_avg_price,AMZN_mktvalue,KMB_adj_close,KMB_cashflow,KMB_cml_units,KMB_cml_cost,KMB_gain_loss,KMB_avg_price,KMB_mktvalue,YNDX_adj_close,YNDX_cashflow,YNDX_cml_units,YNDX_cml_cost,YNDX_gain_loss,YNDX_avg_price,YNDX_mktvalue,GOOGL_adj_close,GOOGL_cashflow,GOOGL_cml_units,GOOGL_cml_cost,GOOGL_gain_loss,GOOGL_avg_price,GOOGL_mktvalue,GOOG_adj_close,GOOG_cashflow,GOOG_cml_units,GOOG_cml_cost,GOOG_gain_loss,GOOG_avg_price,GOOG_mktvalue,FEDU_adj_close,FEDU_cashflow,FEDU_cml_units,FEDU_cml_cost,FEDU_gain_loss,FEDU_avg_price,FEDU_mktvalue,SMFG_adj_close,SMFG_cashflow,SMFG_cml_units,SMFG_cml_cost,SMFG_gain_loss,SMFG_avg_price,SMFG_mktvalue,HDB_adj_close,HDB_cashflow,HDB_cml_units,HDB_cml_cost,HDB_gain_loss,HDB_avg_price,HDB_mktvalue,SKM_adj_close,SKM_cashflow,SKM_cml_units,SKM_cml_cost,SKM_gain_loss,SKM_avg_price,SKM_mktvalue,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,SPWR_adj_close,SPWR_cashflow,SPWR_cml_units,SPWR_cml_cost,SPWR_gain_loss,SPWR_avg_price,SPWR_mktvalue,ENR_adj_close,ENR_cashflow,ENR_cml_units,ENR_cml_cost,ENR_gain_loss,ENR_avg_price,ENR_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,MFG_adj_close,MFG_cashflow,MFG_cml_units,MFG_cml_cost,MFG_gain_loss,MFG_avg_price,MFG_mktvalue,QTNT_adj_close,QTNT_cashflow,QTNT_cml_units,QTNT_cml_cost,QTNT_gain_loss,QTNT_avg_price,QTNT_mktvalue,NMR_adj_close,NMR_cashflow,NMR_cml_units,NMR_cml_cost,NMR_gain_loss,NMR_avg_price,NMR_mktvalue,BSAC_adj_close,BSAC_cashflow,BSAC_cml_units,BSAC_cml_cost,BSAC_gain_loss,BSAC_avg_price,BSAC_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,NSP_adj_close,NSP_cashflow,NSP_cml_units,NSP_cml_cost,NSP_gain_loss,NSP_avg_price,NSP_mktvalue,JAKK_adj_close,JAKK_cashflow,JAKK_cml_units,JAKK_cml_cost,JAKK_gain_loss,JAKK_avg_price,JAKK_mktvalue,HZN_adj_close,HZN_cashflow,HZN_cml_units,HZN_cml_cost,HZN_gain_loss,HZN_avg_price,HZN_mktvalue,SHG_adj_close,SHG_cashflow,SHG_cml_units,SHG_cml_cost,SHG_gain_loss,SHG_avg_price,SHG_mktvalue,WF_adj_close,WF_cashflow,WF_cml_units,WF_cml_cost,WF_gain_loss,WF_avg_price,WF_mktvalue,BCH_adj_close,BCH_cashflow,BCH_cml_units,BCH_cml_cost,BCH_gain_loss,BCH_avg_price,BCH_mktvalue,COHN_adj_close,COHN_cashflow,COHN_cml_units,COHN_cml_cost,COHN_gain_loss,COHN_avg_price,COHN_mktvalue,ITCB_adj_close,ITCB_cashflow,ITCB_cml_units,ITCB_cml_cost,ITCB_gain_loss,ITCB_avg_price,ITCB_mktvalue,LXFR_adj_close,LXFR_cashflow,LXFR_cml_units,LXFR_cml_cost,LXFR_gain_loss,LXFR_avg_price,LXFR_mktvalue,HNGR_adj_close,HNGR_cashflow,HNGR_cml_units,HNGR_cml_cost,HNGR_gain_loss,HNGR_avg_price,HNGR_mktvalue,MUFG_adj_close,MUFG_cashflow,MUFG_cml_units,MUFG_cml_cost,MUFG_gain_loss,MUFG_avg_price,MUFG_mktvalue,TAK_adj_close,TAK_cashflow,TAK_cml_units,TAK_cml_cost,TAK_gain_loss,TAK_avg_price,TAK_mktvalue,DMTK_adj_close,DMTK_cashflow,DMTK_cml_units,DMTK_cml_cost,DMTK_gain_loss,DMTK_avg_price,DMTK_mktvalue,HOTH_adj_close,HOTH_cashflow,HOTH_cml_units,HOTH_cml_cost,HOTH_gain_loss,HOTH_avg_price,HOTH_mktvalue,FMCC_adj_close,FMCC_cashflow,FMCC_cml_units,FMCC_cml_cost,FMCC_gain_loss,FMCC_avg_price,FMCC_mktvalue,GBCS_adj_close,GBCS_cashflow,GBCS_cml_units,GBCS_cml_cost,GBCS_gain_loss,GBCS_avg_price,GBCS_mktvalue
2020-01-01,0.0,-4878.3,23.585,4878.3,0.0,206.84,0.0,0.0,-3695.68,2.707,3695.68,0.0,1365.184,0.0,0.0,-4946.837,38.462,4946.837,0.0,128.618,0.0,0.0,-4957.86,116.279,4957.86,0.0,42.638,0.0,0.0,-4018.17,3.734,4018.17,0.0,1076.066,0.0,0.0,-4011.06,3.74,4011.06,0.0,1072.557,0.0,0.0,-4999.376,5000.0,4999.376,0.0,1.0,0.0,0.0,-4994.34,714.286,4994.34,0.0,6.992,0.0,0.0,-4988.651,79.365,4988.651,0.0,62.857,0.0,0.0,-4987.496,131.579,4987.496,0.0,37.905,0.0,0.0,-4964.4,121.951,4964.4,0.0,40.708,0.0,0.0,-4995.678,1000.0,4995.678,0.0,4.996,0.0,0.0,-4992.51,106.383,4992.51,0.0,46.93,0.0,0.0,-4954.851,96.154,4954.851,0.0,51.53,0.0,0.0,-4999.62,1666.667,4999.62,0.0,3.0,0.0,0.0,-4992.75,555.556,4992.75,0.0,8.987,0.0,0.0,-4994.88,1000.0,4994.88,0.0,4.995,0.0,0.0,-4988.032,238.095,4988.032,0.0,20.95,0.0,0.0,-4998.685,625.0,4998.685,0.0,7.998,0.0,0.0,-4973.362,60.976,4973.362,0.0,81.563,0.0,0.0,-4995.5,500.0,4995.5,0.0,9.991,0.0,0.0,-4997.68,1666.667,4997.68,0.0,2.999,0.0,0.0,-4987.17,131.579,4987.17,0.0,37.902,0.0,0.0,-4992.9,166.667,4992.9,0.0,29.957,0.0,0.0,-4989.552,250.0,4989.552,0.0,19.958,0.0,0.0,-4996.814,1666.667,4996.814,0.0,2.998,0.0,0.0,-4999.152,714.286,4999.152,0.0,6.999,0.0,0.0,-4986.314,294.118,4986.314,0.0,16.953,0.0,0.0,-4997.41,185.185,4997.41,0.0,26.986,0.0,0.0,-4995.6,1000.0,4995.6,0.0,4.996,0.0,0.0,-4991.69,263.158,4991.69,0.0,18.968,0.0,0.0,-4997.2,416.667,4997.2,0.0,11.993,0.0,0.0,-4995.33,833.333,4995.33,0.0,5.994,0.0,0.0,-4998.0,1666.667,4998.0,0.0,2.999,0.0,0.0,-4997.9,2500.0,4997.9,0.0,1.999,0.0
2020-01-02,219.77,-4878.3,23.585,4878.3,0.0,206.84,5183.255,1898.01,-3695.68,2.707,3695.68,0.0,1365.184,5138.089,128.552,-4946.837,38.462,4946.837,0.0,128.618,4944.311,44.08,-4957.86,116.279,4957.86,0.0,42.638,5125.582,1368.68,-4018.17,3.734,4018.17,0.0,1076.066,5110.829,1367.37,-4011.06,3.74,4011.06,0.0,1072.557,5113.575,1.595,-4999.376,5000.0,4999.376,0.0,1.0,7972.881,6.834,-4994.34,714.286,4994.34,0.0,6.992,4881.147,63.476,-4988.651,79.365,4988.651,0.0,62.857,5037.804,36.453,-4987.496,131.579,4987.496,0.0,37.905,4796.466,39.303,-4964.4,121.951,4964.4,0.0,40.708,4793.034,5.128,-4995.678,1000.0,4995.678,0.0,4.996,5127.701,45.967,-4992.51,106.383,4992.51,0.0,46.93,4890.061,52.465,-4954.851,96.154,4954.851,0.0,51.53,5044.681,2.857,-4999.62,1666.667,4999.62,0.0,3.0,4762.359,9.38,-4992.75,555.556,4992.75,0.0,8.987,5211.111,4.834,-4994.88,1000.0,4994.88,0.0,4.995,4833.606,21.622,-4988.032,238.095,4988.032,0.0,20.95,5148.026,7.903,-4998.685,625.0,4998.685,0.0,7.998,4939.333,83.93,-4973.362,60.976,4973.362,0.0,81.563,5117.673,10.2,-4995.5,500.0,4995.5,0.0,9.991,5100.0,3.63,-4997.68,1666.667,4997.68,0.0,2.999,6050.0,37.45,-4987.17,131.579,4987.17,0.0,37.902,4927.632,30.09,-4992.9,166.667,4992.9,0.0,29.957,5015.0,20.256,-4989.552,250.0,4989.552,0.0,19.958,5064.063,3.671,-4996.814,1666.667,4996.814,0.0,2.998,6118.952,7.742,-4999.152,714.286,4999.152,0.0,6.999,5529.73,17.143,-4986.314,294.118,4986.314,0.0,16.953,5041.962,27.28,-4997.41,185.185,4997.41,0.0,26.986,5051.852,5.145,-4995.6,1000.0,4995.6,0.0,4.996,5144.812,18.94,-4991.69,263.158,4991.69,0.0,18.968,4984.3,12.82,-4997.2,416.667,4997.2,0.0,11.993,5341.667,6.59,-4995.33,833.333,4995.33,0.0,5.994,5491.667,3.12,-4998.0,1666.667,4998.0,0.0,2.999,5200.0,2.3,-4997.9,2500.0,4997.9,0.0,1.999,5750.0
2020-01-03,217.0,-4878.3,23.585,4878.3,0.0,206.84,5117.925,1874.97,-3695.68,2.707,3695.68,0.0,1365.184,5075.717,128.514,-4946.837,38.462,4946.837,0.0,128.618,4942.854,43.21,-4957.86,116.279,4957.86,0.0,42.638,5024.418,1361.52,-4018.17,3.734,4018.17,0.0,1076.066,5084.093,1360.66,-4011.06,3.74,4011.06,0.0,1072.557,5088.482,1.642,-4999.376,5000.0,4999.376,0.0,1.0,8210.17,6.77,-4994.34,714.286,4994.34,0.0,6.992,4835.407,61.792,-4988.651,79.365,4988.651,0.0,62.857,4904.148,36.148,-4987.496,131.579,4987.496,0.0,37.905,4756.301,38.88,-4964.4,121.951,4964.4,0.0,40.708,4741.432,4.826,-4995.678,1000.0,4995.678,0.0,4.996,4826.457,46.004,-4992.51,106.383,4992.51,0.0,46.93,4894.09,52.256,-4954.851,96.154,4954.851,0.0,51.53,5024.583,2.848,-4999.62,1666.667,4999.62,0.0,3.0,4746.946,9.03,-4992.75,555.556,4992.75,0.0,8.987,5016.667,4.778,-4994.88,1000.0,4994.88,0.0,4.995,4777.941,21.439,-4988.032,238.095,4988.032,0.0,20.95,5104.582,7.912,-4998.685,625.0,4998.685,0.0,7.998,4944.945,83.323,-4973.362,60.976,4973.362,0.0,81.563,5080.664,10.0,-4995.5,500.0,4995.5,0.0,9.991,5000.0,3.59,-4997.68,1666.667,4997.68,0.0,2.999,5983.333,36.84,-4987.17,131.579,4987.17,0.0,37.902,4847.368,29.19,-4992.9,166.667,4992.9,0.0,29.957,4865.0,20.284,-4989.552,250.0,4989.552,0.0,19.958,5070.987,3.691,-4996.814,1666.667,4996.814,0.0,2.998,6151.413,7.918,-4999.152,714.286,4999.152,0.0,6.999,5655.406,17.077,-4986.314,294.118,4986.314,0.0,16.953,5022.57,27.98,-4997.41,185.185,4997.41,0.0,26.986,5181.481,5.116,-4995.6,1000.0,4995.6,0.0,4.996,5116.492,18.826,-4991.69,263.158,4991.69,0.0,18.968,4954.274,11.76,-4997.2,416.667,4997.2,0.0,11.993,4900.0,6.42,-4995.33,833.333,4995.33,0.0,5.994,5350.0,3.06,-4998.0,1666.667,4998.0,0.0,2.999,5100.0,2.3,-4997.9,2500.0,4997.9,0.0,1.999,5750.0
2020-01-06,216.64,-4878.3,23.585,4878.3,0.0,206.84,5109.434,1902.88,-3695.68,2.707,3695.68,0.0,1365.184,5151.272,128.798,-4946.837,38.462,4946.837,0.0,128.618,4953.774,43.1,-4957.86,116.279,4957.86,0.0,42.638,5011.628,1397.81,-4018.17,3.734,4018.17,0.0,1076.066,5219.604,1394.21,-4011.06,3.74,4011.06,0.0,1072.557,5213.949,1.642,-4999.376,5000.0,4999.376,0.0,1.0,8210.17,6.742,-4994.34,714.286,4994.34,0.0,6.992,4815.803,60.696,-4988.651,79.365,4988.651,0.0,62.857,4817.152,35.698,-4987.496,131.579,4987.496,0.0,37.905,4697.112,38.678,-4964.4,121.951,4964.4,0.0,40.708,4716.805,4.892,-4995.678,1000.0,4995.678,0.0,4.996,4891.945,46.468,-4992.51,106.383,4992.51,0.0,46.93,4943.443,52.465,-4954.851,96.154,4954.851,0.0,51.53,5044.681,2.867,-4999.62,1666.667,4999.62,0.0,3.0,4777.771,9.12,-4992.75,555.556,4992.75,0.0,8.987,5066.667,4.778,-4994.88,1000.0,4994.88,0.0,4.995,4777.941,21.512,-4988.032,238.095,4988.032,0.0,20.95,5121.96,7.939,-4998.685,625.0,4998.685,0.0,7.998,4961.783,84.623,-4973.362,60.976,4973.362,0.0,81.563,5159.967,10.3,-4995.5,500.0,4995.5,0.0,9.991,5150.0,3.51,-4997.68,1666.667,4997.68,0.0,2.999,5850.0,36.51,-4987.17,131.579,4987.17,0.0,37.902,4803.947,28.75,-4992.9,166.667,4992.9,0.0,29.957,4791.667,20.358,-4989.552,250.0,4989.552,0.0,19.958,5089.451,4.158,-4996.814,1666.667,4996.814,0.0,2.998,6930.483,7.786,-4999.152,714.286,4999.152,0.0,6.999,5561.149,17.265,-4986.314,294.118,4986.314,0.0,16.953,5077.977,28.0,-4997.41,185.185,4997.41,0.0,26.986,5185.185,5.116,-4995.6,1000.0,4995.6,0.0,4.996,5116.492,18.807,-4991.69,263.158,4991.69,0.0,18.968,4949.27,11.07,-4997.2,416.667,4997.2,0.0,11.993,4612.5,5.86,-4995.33,833.333,4995.33,0.0,5.994,4883.333,3.08,-4998.0,1666.667,4998.0,0.0,2.999,5133.333,2.4,-4997.9,2500.0,4997.9,0.0,1.999,6000.0
2020-01-07,217.63,-4878.3,23.585,4878.3,0.0,206.84,5132.783,1906.86,-3695.68,2.707,3695.68,0.0,1365.184,5162.047,128.685,-4946.837,38.462,4946.837,0.0,128.618,4949.407,43.17,-4957.86,116.279,4957.86,0.0,42.638,5019.767,1395.11,-4018.17,3.734,4018.17,0.0,1076.066,5209.522,1393.34,-4011.06,3.74,4011.06,0.0,1072.557,5210.695,1.576,-4999.376,5000.0,4999.376,0.0,1.0,7877.966,6.706,-4994.34,714.286,4994.34,0.0,6.992,4789.666,60.477,-4988.651,79.365,4988.651,0.0,62.857,4799.754,35.682,-4987.496,131.579,4987.496,0.0,37.905,4694.998,38.649,-4964.4,121.951,4964.4,0.0,40.708,4713.286,5.003,-4995.678,1000.0,4995.678,0.0,4.996,5003.274,46.847,-4992.51,106.383,4992.51,0.0,46.93,4983.733,52.731,-4954.851,96.154,4954.851,0.0,51.53,5070.261,2.876,-4999.62,1666.667,4999.62,0.0,3.0,4793.183,9.14,-4992.75,555.556,4992.75,0.0,8.987,5077.778,4.778,-4994.88,1000.0,4994.88,0.0,4.995,4777.941,21.832,-4988.032,238.095,4988.032,0.0,20.95,5197.985,7.867,-4998.685,625.0,4998.685,0.0,7.998,4916.88,83.448,-4973.362,60.976,4973.362,0.0,81.563,5088.302,9.9,-4995.5,500.0,4995.5,0.0,9.991,4950.0,3.46,-4997.68,1666.667,4997.68,0.0,2.999,5766.667,36.73,-4987.17,131.579,4987.17,0.0,37.902,4832.895,28.73,-4992.9,166.667,4992.9,0.0,29.957,4788.333,20.635,-4989.552,250.0,4989.552,0.0,19.958,5158.696,4.197,-4996.814,1666.667,4996.814,0.0,2.998,6995.406,7.39,-4999.152,714.286,4999.152,0.0,6.999,5278.378,17.463,-4986.314,294.118,4986.314,0.0,16.953,5136.154,27.68,-4997.41,185.185,4997.41,0.0,26.986,5125.926,5.069,-4995.6,1000.0,4995.6,0.0,4.996,5069.292,18.636,-4991.69,263.158,4991.69,0.0,18.968,4904.231,10.66,-4997.2,416.667,4997.2,0.0,11.993,4441.667,5.83,-4995.33,833.333,4995.33,0.0,5.994,4858.333,3.16,-4998.0,1666.667,4998.0,0.0,2.999,5266.667,2.4,-4997.9,2500.0,4997.9,0.0,1.999,6000.0
2020-01-08,218.0,-4878.3,23.585,4878.3,0.0,206.84,5141.509,1891.97,-3695.68,2.707,3695.68,0.0,1365.184,5121.738,129.934,-4946.837,38.462,4946.837,0.0,128.618,4997.455,43.77,-4957.86,116.279,4957.86,0.0,42.638,5089.535,1405.04,-4018.17,3.734,4018.17,0.0,1076.066,5246.602,1404.32,-4011.06,3.74,4011.06,0.0,1072.557,5251.757,1.528,-4999.376,5000.0,4999.376,0.0,1.0,7640.678,6.779,-4994.34,714.286,4994.34,0.0,6.992,4841.941,61.125,-4988.651,79.365,4988.651,0.0,62.857,4851.16,35.682,-4987.496,131.579,4987.496,0.0,37.905,4694.998,38.399,-4964.4,121.951,4964.4,0.0,40.708,4682.795,5.029,-4995.678,1000.0,4995.678,0.0,4.996,5029.47,47.519,-4992.51,106.383,4992.51,0.0,46.93,5055.245,53.149,-4954.851,96.154,4954.851,0.0,51.53,5110.457,2.857,-4999.62,1666.667,4999.62,0.0,3.0,4762.359,9.02,-4992.75,555.556,4992.75,0.0,8.987,5011.111,4.852,-4994.88,1000.0,4994.88,0.0,4.995,4852.161,22.069,-4988.032,238.095,4988.032,0.0,20.95,5254.461,7.957,-4998.685,625.0,4998.685,0.0,7.998,4973.008,83.959,-4973.362,60.976,4973.362,0.0,81.563,5119.434,9.8,-4995.5,500.0,4995.5,0.0,9.991,4900.0,3.41,-4997.68,1666.667,4997.68,0.0,2.999,5683.333,36.35,-4987.17,131.579,4987.17,0.0,37.902,4782.895,27.74,-4992.9,166.667,4992.9,0.0,29.957,4623.333,20.616,-4989.552,250.0,4989.552,0.0,19.958,5154.08,4.236,-4996.814,1666.667,4996.814,0.0,2.998,7060.329,7.698,-4999.152,714.286,4999.152,0.0,6.999,5498.311,16.973,-4986.314,294.118,4986.314,0.0,16.953,4992.097,27.8,-4997.41,185.185,4997.41,0.0,26.986,5148.148,5.06,-4995.6,1000.0,4995.6,0.0,4.996,5059.852,18.665,-4991.69,263.158,4991.69,0.0,18.968,4911.736,9.5,-4997.2,416.667,4997.2,0.0,11.993,3958.333,5.374,-4995.33,833.333,4995.33,0.0,5.994,4478.333,3.13,-4998.0,1666.667,4998.0,0.0,2.999,5216.667,2.4,-4997.9,2500.0,4997.9,0.0,1.999,6000.0
2020-01-09,221.78,-4878.3,23.585,4878.3,0.0,206.84,5230.66,1901.05,-3695.68,2.707,3695.68,0.0,1365.184,5146.318,131.988,-4946.837,38.462,4946.837,0.0,128.618,5076.445,44.54,-4957.86,116.279,4957.86,0.0,42.638,5179.07,1419.79,-4018.17,3.734,4018.17,0.0,1076.066,5301.681,1419.83,-4011.06,3.74,4011.06,0.0,1072.557,5309.76,1.519,-4999.376,5000.0,4999.376,0.0,1.0,7593.22,6.76,-4994.34,714.286,4994.34,0.0,6.992,4828.872,62.3,-4988.651,79.365,4988.651,0.0,62.857,4944.482,35.682,-4987.496,131.579,4987.496,0.0,37.905,4694.998,38.457,-4964.4,121.951,4964.4,0.0,40.708,4689.832,5.167,-4995.678,1000.0,4995.678,0.0,4.996,5166.994,46.866,-4992.51,106.383,4992.51,0.0,46.93,4985.747,51.752,-4954.851,96.154,4954.851,0.0,51.53,4976.164,2.867,-4999.62,1666.667,4999.62,0.0,3.0,4777.771,8.99,-4992.75,555.556,4992.75,0.0,8.987,4994.444,4.861,-4994.88,1000.0,4994.88,0.0,4.995,4861.438,22.078,-4988.032,238.095,4988.032,0.0,20.95,5256.634,7.948,-4998.685,625.0,4998.685,0.0,7.998,4967.397,85.385,-4973.362,60.976,4973.362,0.0,81.563,5206.374,9.8,-4995.5,500.0,4995.5,0.0,9.991,4900.0,3.42,-4997.68,1666.667,4997.68,0.0,2.999,5700.0,36.33,-4987.17,131.579,4987.17,0.0,37.902,4780.263,27.62,-4992.9,166.667,4992.9,0.0,29.957,4603.333,20.579,-4989.552,250.0,4989.552,0.0,19.958,5144.847,4.197,-4996.814,1666.667,4996.814,0.0,2.998,6995.406,7.689,-4999.152,714.286,4999.152,0.0,6.999,5492.027,17.369,-4986.314,294.118,4986.314,0.0,16.953,5108.451,27.15,-4997.41,185.185,4997.41,0.0,26.986,5027.778,5.041,-4995.6,1000.0,4995.6,0.0,4.996,5040.972,18.817,-4991.69,263.158,4991.69,0.0,18.968,4951.772,9.24,-4997.2,416.667,4997.2,0.0,11.993,3850.0,5.19,-4995.33,833.333,4995.33,0.0,5.994,4325.0,3.16,-4998.0,1666.667,4998.0,0.0,2.999,5266.667,2.4,-4997.9,2500.0,4997.9,0.0,1.999,6000.0
2020-01-10,223.83,-4878.3,23.585,4878.3,0.0,206.84,5279.009,1883.16,-3695.68,2.707,3695.68,0.0,1365.184,5097.889,132.716,-4946.837,38.462,4946.837,0.0,128.618,5104.473,44.06,-4957.86,116.279,4957.86,0.0,42.638,5123.256,1428.96,-4018.17,3.734,4018.17,0.0,1076.066,5335.922,1429.73,-4011.06,3.74,4011.06,0.0,1072.557,5346.784,1.538,-4999.376,5000.0,4999.376,0.0,1.0,7688.136,6.696,-4994.34,714.286,4994.34,0.0,6.992,4783.132,61.683,-4988.651,79.365,4988.651,0.0,62.857,4895.448,35.618,-4987.496,131.579,4987.496,0.0,37.905,4686.542,38.293,-4964.4,121.951,4964.4,0.0,40.708,4669.895,5.069,-4995.678,1000.0,4995.678,0.0,4.996,5068.762,45.9,-4992.51,106.383,4992.51,0.0,46.93,4883.01,51.306,-4954.851,96.154,4954.851,0.0,51.53,4933.226,2.83,-4999.62,1666.667,4999.62,0.0,3.0,4716.123,8.84,-4992.75,555.556,4992.75,0.0,8.987,4911.111,4.899,-4994.88,1000.0,4994.88,0.0,4.995,4898.549,21.804,-4988.032,238.095,4988.032,0.0,20.95,5191.469,7.939,-4998.685,625.0,4998.685,0.0,7.998,4961.783,86.203,-4973.362,60.976,4973.362,0.0,81.563,5256.306,10.0,-4995.5,500.0,4995.5,0.0,9.991,5000.0,3.45,-4997.68,1666.667,4997.68,0.0,2.999,5750.0,35.65,-4987.17,131.579,4987.17,0.0,37.902,4690.79,27.15,-4992.9,166.667,4992.9,0.0,29.957,4525.0,20.681,-4989.552,250.0,4989.552,0.0,19.958,5170.237,4.217,-4996.814,1666.667,4996.814,0.0,2.998,7027.867,7.592,-4999.152,714.286,4999.152,0.0,6.999,5422.906,17.557,-4986.314,294.118,4986.314,0.0,16.953,5163.856,27.44,-4997.41,185.185,4997.41,0.0,26.986,5081.482,4.956,-4995.6,1000.0,4995.6,0.0,4.996,4956.012,18.94,-4991.69,263.158,4991.69,0.0,18.968,4984.3,10.0,-4997.2,416.667,4997.2,0.0,11.993,4166.667,5.13,-4995.33,833.333,4995.33,0.0,5.994,4275.0,3.09,-4998.0,1666.667,4998.0,0.0,2.999,5150.0,2.4,-4997.9,2500.0,4997.9,0.0,1.999,6000.0
2020-01-13,230.48,-4878.3,23.585,4878.3,0.0,206.84,5435.849,1891.3,-3695.68,2.707,3695.68,0.0,1365.184,5119.924,133.35,-4946.837,38.462,4946.837,0.0,128.618,5128.863,44.3,-4957.86,116.279,4957.86,0.0,42.638,5151.163,1440.03,-4018.17,3.734,4018.17,0.0,1076.066,5377.259,1439.23,-4011.06,3.74,4011.06,0.0,1072.557,5382.311,1.5,-4999.376,5000.0,4999.376,0.0,1.0,7498.305,6.76,-4994.34,714.286,4994.34,0.0,6.992,4828.872,62.629,-4988.651,79.365,4988.651,0.0,62.857,4970.58,36.405,-4987.496,131.579,4987.496,0.0,37.905,4790.124,38.678,-4964.4,121.951,4964.4,0.0,40.708,4716.805,5.508,-4995.678,1000.0,4995.678,0.0,4.996,5507.531,44.414,-4992.51,106.383,4992.51,0.0,46.93,4724.877,51.781,-4954.851,96.154,4954.851,0.0,51.53,4978.904,2.811,-4999.62,1666.667,4999.62,0.0,3.0,4685.298,8.93,-4992.75,555.556,4992.75,0.0,8.987,4961.111,4.917,-4994.88,1000.0,4994.88,0.0,4.995,4917.104,21.576,-4988.032,238.095,4988.032,0.0,20.95,5137.164,7.948,-4998.685,625.0,4998.685,0.0,7.998,4967.397,86.791,-4973.362,60.976,4973.362,0.0,81.563,5292.138,10.0,-4995.5,500.0,4995.5,0.0,9.991,5000.0,3.62,-4997.68,1666.667,4997.68,0.0,2.999,6033.333,36.08,-4987.17,131.579,4987.17,0.0,37.902,4747.369,27.54,-4992.9,166.667,4992.9,0.0,29.957,4590.0,20.542,-4989.552,250.0,4989.552,0.0,19.958,5135.614,4.119,-4996.814,1666.667,4996.814,0.0,2.998,6865.561,7.39,-4999.152,714.286,4999.152,0.0,6.999,5278.378,17.576,-4986.314,294.118,4986.314,0.0,16.953,5169.397,27.5,-4997.41,185.185,4997.41,0.0,26.986,5092.593,5.013,-4995.6,1000.0,4995.6,0.0,4.996,5012.651,18.969,-4991.69,263.158,4991.69,0.0,18.968,4991.806,9.33,-4997.2,416.667,4997.2,0.0,11.993,3887.5,4.89,-4995.33,833.333,4995.33,0.0,5.994,4075.0,3.05,-4998.0,1666.667,4998.0,0.0,2.999,5083.333,2.4,-4997.9,2500.0,4997.9,0.0,1.999,6000.0
2020-01-14,226.49,-4878.3,23.585,4878.3,0.0,206.84,5341.745,1869.44,-3695.68,2.707,3695.68,0.0,1365.184,5060.747,133.436,-4946.837,38.462,4946.837,0.0,128.618,5132.139,43.53,-4957.86,116.279,4957.86,0.0,42.638,5061.628,1430.59,-4018.17,3.734,4018.17,0.0,1076.066,5342.009,1430.88,-4011.06,3.74,4011.06,0.0,1072.557,5351.085,1.623,-4999.376,5000.0,4999.376,0.0,1.0,8115.254,6.641,-4994.34,714.286,4994.34,0.0,6.992,4743.926,62.589,-4988.651,79.365,4988.651,0.0,62.857,4967.417,36.566,-4987.496,131.579,4987.496,0.0,37.905,4811.262,39.236,-4964.4,121.951,4964.4,0.0,40.708,4784.824,5.665,-4995.678,1000.0,4995.678,0.0,4.996,5664.702,44.594,-4992.51,106.383,4992.51,0.0,46.93,4744.013,51.439,-4954.851,96.154,4954.851,0.0,51.53,4946.017,2.783,-4999.62,1666.667,4999.62,0.0,3.0,4639.062,9.08,-4992.75,555.556,4992.75,0.0,8.987,5044.444,4.899,-4994.88,1000.0,4994.88,0.0,4.995,4898.549,21.257,-4988.032,238.095,4988.032,0.0,20.95,5061.139,7.975,-4998.685,625.0,4998.685,0.0,7.998,4984.234,87.485,-4973.362,60.976,4973.362,0.0,81.563,5334.433,10.0,-4995.5,500.0,4995.5,0.0,9.991,5000.0,3.46,-4997.68,1666.667,4997.68,0.0,2.999,5766.667,35.88,-4987.17,131.579,4987.17,0.0,37.902,4721.053,27.45,-4992.9,166.667,4992.9,0.0,29.957,4575.0,20.349,-4989.552,250.0,4989.552,0.0,19.958,5087.144,3.964,-4996.814,1666.667,4996.814,0.0,2.998,6605.871,7.249,-4999.152,714.286,4999.152,0.0,6.999,5177.838,16.813,-4986.314,294.118,4986.314,0.0,16.953,4945.002,27.32,-4997.41,185.185,4997.41,0.0,26.986,5059.259,4.975,-4995.6,1000.0,4995.6,0.0,4.996,4974.892,18.997,-4991.69,263.158,4991.69,0.0,18.968,4999.312,9.73,-4997.2,416.667,4997.2,0.0,11.993,4054.166,4.91,-4995.33,833.333,4995.33,0.0,5.994,4091.667,3.02,-4998.0,1666.667,4998.0,0.0,2.999,5033.333,2.4,-4997.9,2500.0,4997.9,0.0,1.999,6000.0
