,0
522,EVR
523,CMS
524,XLB
525,DOX
526,RIO
527,HMHC
528,NMRK
529,PDM
530,KMT
531,SRNE
532,HP
533,FLR
534,JHG
535,FDX
536,EMN
537,OPK
538,LNG
539,EWZ
540,WU
541,BAX
542,CARS
543,NUAN
544,TEL
545,MLM
546,GWW
547,PBF
548,GT
549,EA
550,GPRO
551,BW
552,CMI
553,CNQ
554,HCA
555,VRTX
556,SAN
557,CNHI
558,CNX
559,INFO
560,YY
561,ES
562,DXJ
563,FWONK
564,ARMK
565,OII
566,NOW
567,APTV
568,HOMB
569,QD
570,NSC
571,NKTR
572,PSX
573,GAB
574,CERN
575,UPRO
576,MCHI
577,AKAM
578,IEF
579,PNW
580,AMH
581,CDNS
582,LABD
583,FOE
584,A
585,MDRX
586,MOS
587,LPL
588,SKX
589,HST
590,UE
591,PHM
592,MT
593,ISBC
594,WRE
595,RRC
596,FL
597,NTAP
598,AGO
599,DRE
600,BBBY
601,CCJ
602,MAR
603,AXTA
604,VIAV
605,SHOO
606,CONE
607,AEM
608,BB
609,CB
610,PRU
611,RUN
612,PVG
613,HA
614,INDA
615,PBCT
616,UCBI
617,LBTYA
618,AVYA
619,CBSH
620,SC
621,ANF
622,HIG
623,ITW
624,AZN
625,YELP
626,MTOR
627,EVC
628,SPXS
629,IRM
630,TSCO
631,EWC
632,POST
633,EL
634,ING
635,UBS
636,KRG
637,VSH
638,TER
639,EMB
640,SPSB
641,TWLO
642,TRUE
643,RLGY
644,HPP
645,CNO
646,JNPR
647,SMH
648,URBN
649,ROKU
650,FEDU
651,AUD
652,BANC
653,INVH
654,OMF
655,LW
656,CTRE
657,NHI
658,FE
659,NOC
660,ASH
661,MCHP
662,KLIC
663,O
664,XLV
665,FET
666,TPH
667,AMX
668,FLO
669,SHO
670,TEAM
671,COF
672,EWL
673,FLT
674,PLUG
675,HIMX
676,IGT
677,IBB
678,FANG
679,XLRE
680,TROW
681,ARLP
682,OSK
683,DHR
684,BLMN
685,BNDX
686,AMN
687,PPC
688,GNTX
689,RCL
690,INTU
691,W
692,PCAR
693,IR
694,PEG
695,FBP
696,WEC
697,MDC
698,TISI
699,YUMC
700,ALV
701,IWF
702,BHP
703,BXP
704,BYD
705,WGO
706,KSU
707,PUMP
708,XLNX
709,NOG
710,FOLD
711,JBHT
712,AGG
713,FBHS
714,TXT
715,EXPD
716,EXPE
717,WERN
718,AGI
719,ED
720,HCSG
721,DVAX
722,DLTR
723,VIXY
724,OUT
725,MTSI
726,DBD
727,CBT
728,STOR
729,VEU
730,BGCP
731,VCIT
732,ABB
733,GTE
734,SWKS
735,CP
736,PNR
737,PKI
738,IIVI
739,CROX
740,ASB
741,UHS
742,ENB
743,TDC
744,AG
745,ACHC
746,NAT
747,MLHR
748,SPG
749,EWA
750,QRTEA
751,TRIP
752,TRP
753,FAST
754,RH
755,IVV
756,CBRE
757,HGV
758,AEG
759,BTI
760,EWP
761,NVS
762,EWBC
763,QSR
764,GSAT
765,DBEU
766,VRAY
767,SGH
768,ALNY
769,SCHB
770,BMRN
771,CASA
772,CXP
773,SCZ
774,AGNC
775,HRTX
776,LDOS
777,MPW
778,TXMD
779,CIM
780,INSM
781,NG
782,BGFV
783,AEE
784,HCC
785,LAMR
786,EXEL
787,HZNP
788,ADI
789,FLOT
790,AKBA
791,OLED
792,EYE
793,MBT
794,TMO
795,LBRDA
796,OFC
797,STT
798,HLF
799,WRK
800,GREK
801,BR
802,MCD
803,PRO
804,SSNC
805,TWO
806,CHTR
807,AXL
808,ACAD
809,VLY
810,VOD
811,EXTR
812,SUN
813,VECO
814,ZEN
815,ATEN
816,ATUS
817,SIG
818,BDC
819,ERIC
820,XPO
821,APO
822,CRI
823,MANH
824,AGCO
825,TILE
826,MMC
827,GNW
828,CAKE
829,CAR
830,TMHC
831,URI
832,SPLK
833,VRSN
834,MCO
835,SLG
836,BZUN
837,L
838,NWSA
839,MBI
840,ARNA
841,VNO
842,PDS
843,BCC
844,ULTA
845,PRTY
846,JACK
847,OGE
848,QGEN
849,CPRT
850,EAT
851,DXC
852,UEC
853,CLVS
854,UDR
855,KBR
856,STM
857,AQUA
858,SBRA
859,EQT
860,FISV
861,SPIB
862,SRE
863,DIA
864,SAVE
865,DXLG
866,HTA
867,NPTN
868,SQM
869,SXT
870,OMC
